,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2021년05월_계_총인구수,"13,488,910","1,184,922","270,807","365,384","182,844","365,887","931,626","237,729","215,212","478,685","460,923","550,750","238,331","312,419","811,225","295,742","548,131","93,292","655,555","353,575","301,980","1,080,656","480,156","300,437","300,063","69,027","194,838","723,215","230,702","510,833","270,754","162,239","302,681","1,077,701","260,398","439,953","377,350","471,219","219,591","188,704","482,578","867,819","384,306","235,276","147,425","111,939","43,071","62,344","119,826"
2021년05월_계_연령구간인구수,"13,488,910","1,184,922","270,807","365,384","182,844","365,887","931,626","237,729","215,212","478,685","460,923","550,750","238,331","312,419","811,225","295,742","548,131","93,292","655,555","353,575","301,980","1,080,656","480,156","300,437","300,063","69,027","194,838","723,215","230,702","510,833","270,754","162,239","302,681","1,077,701","260,398","439,953","377,350","471,219","219,591","188,704","482,578","867,819","384,306","235,276","147,425","111,939","43,071","62,344","119,826"
2021년05월_계_0~9세,"1,126,119","94,269","17,475","31,224","10,352","35,218","66,940","15,310","13,018","38,612","33,671","38,944","15,123","23,821","55,150","22,549","49,419","6,040","43,386","23,031","20,355","80,779","38,275","20,591","21,913","5,964","14,596","64,403","22,927","49,027","19,697","12,838","30,485","98,357","20,809","41,382","36,166","43,603","18,358","13,641","55,201","102,843","34,193","20,211","8,321","7,208","2,643","3,272","7,184"
2021년05월_계_10~19세,"1,325,034","116,984","28,134","32,926","14,133","41,791","86,276","17,134","16,267","52,875","41,864","51,674","18,451","33,223","68,974","30,078","53,778","8,474","63,053","34,105","28,948","103,448","41,254","29,112","33,082","6,747","17,702","77,928","24,941","50,384","25,953","14,222","26,307","121,826","25,977","50,433","45,416","49,441","22,245","18,270","48,741","98,358","34,119","24,399","11,948","9,442","3,119","4,582","9,757"
2021년05월_계_20~29세,"1,812,032","186,314","43,624","53,715","30,394","58,581","130,218","34,667","30,842","64,709","64,786","76,924","34,110","42,814","115,465","37,732","75,712","11,166","107,079","59,020","48,059","149,418","62,559","44,739","42,120","9,301","26,837","85,855","31,583","70,324","37,711","23,090","37,535","138,436","34,773","56,978","46,685","57,809","30,447","22,950","53,055","107,105","45,226","27,791","17,910","12,143","5,288","6,219","10,603"
2021년05월_계_30~39세,"1,900,224","177,419","32,091","56,961","26,715","61,652","135,138","35,310","31,204","68,624","59,555","77,392","32,871","44,521","113,711","40,502","82,868","10,005","85,284","44,156","41,128","143,067","68,522","38,545","36,000","9,701","25,524","89,743","38,330","78,680","37,430","22,564","50,938","143,175","33,874","58,113","51,188","67,090","30,395","22,877","76,518","150,633","56,596","28,624","14,595","11,346","4,146","5,596","10,782"
2021년05월_계_40~49세,"2,295,083","200,875","44,174","60,910","28,088","67,703","154,427","36,766","32,541","85,120","73,829","86,990","34,559","52,431","127,142","50,709","95,107","13,941","106,273","57,048","49,225","180,309","78,705","50,710","50,894","10,378","32,192","131,202","43,623","92,108","43,520","24,109","53,569","198,677","43,497","82,880","72,300","81,335","34,708","30,252","90,606","167,039","67,299","40,059","20,017","15,826","4,841","7,859","16,262"
2021년05월_계_50~59세,"2,247,171","196,365","48,630","61,568","31,244","54,923","154,804","40,334","37,730","76,740","80,450","96,800","42,981","53,819","145,736","49,279","88,395","16,327","127,835","69,231","58,604","195,688","83,442","56,188","56,058","12,054","35,243","119,382","33,675","88,962","47,633","29,118","43,360","167,731","43,514","67,886","56,331","74,542","35,168","31,554","68,056","118,063","64,104","38,860","29,012","20,049","6,999","11,163","20,764"
2021년05월_계_60~69세,"1,600,436","126,204","31,983","41,762","23,912","28,547","116,606","34,049","31,602","50,955","59,164","73,541","35,561","37,980","114,707","38,526","57,849","13,569","75,527","40,203","35,324","127,020","59,463","34,450","33,107","8,510","25,367","87,081","20,989","50,676","34,693","22,172","36,791","110,211","32,964","42,517","34,730","51,775","27,282","26,592","51,698","74,146","50,340","30,320","25,622","19,382","7,768","12,538","23,770"
2021년05월_계_70~79세,"768,097","56,583","15,688","17,415","12,069","11,411","57,601","16,855","15,296","25,450","31,128","31,831","16,535","15,296","46,793","17,664","28,445","8,631","29,932","16,860","13,072","61,773","30,311","15,590","15,872","3,941","11,644","45,288","9,902","19,825","15,106","9,079","16,635","65,839","16,123","26,383","23,333","28,776","13,064","13,719","26,155","32,428","22,373","16,440","12,340","10,199","4,964","6,819","13,180"
