카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년05월_계_총인구수,"43,149","13,179","3,786","1,628","3,922","2,387","3,614","2,653","3,463","2,907","5,610"
2020년05월_계_연령구간인구수,"43,149","13,179","3,786","1,628","3,922","2,387","3,614","2,653","3,463","2,907","5,610"
2020년05월_계_0~9세,"1,626",891,78,36,127,96,80,53,77,51,137
2020년05월_계_10~19세,"3,016","1,454",197,103,188,180,224,94,163,123,290
2020년05월_계_20~29세,"3,273","1,489",241,94,211,191,205,131,216,170,325
2020년05월_계_30~39세,"2,562","1,171",172,75,214,145,161,109,156,116,243
2020년05월_계_40~49세,"4,687","1,953",351,140,390,262,334,227,312,217,501
2020년05월_계_50~59세,"7,463","2,221",667,314,669,497,587,426,574,497,"1,011"
2020년05월_계_60~69세,"8,022","1,882",751,308,823,486,707,534,666,647,"1,218"
2020년05월_계_70~79세,"6,820","1,251",710,282,698,322,701,534,668,556,"1,098"
2020년05월_계_80~89세,"4,838",732,534,247,501,174,527,474,528,433,688
2020년05월_계_90~99세,824,134,84,29,98,33,83,70,101,94,98
2020년05월_계_100세 이상,18,1,1,0,3,1,5,1,2,3,1
2020년05월_남_총인구수,"20,747","6,449","1,797",791,"1,888","1,224","1,689","1,266","1,615","1,378","2,650"
2020년05월_남_연령구간인구수,"20,747","6,449","1,797",791,"1,888","1,224","1,689","1,266","1,615","1,378","2,650"
2020년05월_남_0~9세,875,464,37,22,77,44,52,29,42,29,79
2020년05월_남_10~19세,"1,614",774,112,54,105,96,105,58,98,60,152
2020년05월_남_20~29세,"1,970",887,143,62,121,130,119,91,117,108,192
2020년05월_남_30~39세,"1,338",576,94,40,115,80,87,63,85,62,136
2020년05월_남_40~49세,"2,542",942,196,79,220,147,195,140,189,128,306
2020년05월_남_50~59세,"3,950","1,118",370,177,371,268,317,249,295,264,521
2020년05월_남_60~69세,"3,910",895,357,149,407,241,337,262,324,329,609
2020년05월_남_70~79세,"2,954",545,307,123,310,159,312,228,288,245,437
2020년05월_남_80~89세,"1,450",232,160,80,147,54,145,137,153,138,204
2020년05월_남_90~99세,143,16,21,5,14,5,20,9,24,15,14
2020년05월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년05월_여_총인구수,"22,402","6,730","1,989",837,"2,034","1,163","1,925","1,387","1,848","1,529","2,960"
2020년05월_여_연령구간인구수,"22,402","6,730","1,989",837,"2,034","1,163","1,925","1,387","1,848","1,529","2,960"
2020년05월_여_0~9세,751,427,41,14,50,52,28,24,35,22,58
2020년05월_여_10~19세,"1,402",680,85,49,83,84,119,36,65,63,138
2020년05월_여_20~29세,"1,303",602,98,32,90,61,86,40,99,62,133
2020년05월_여_30~39세,"1,224",595,78,35,99,65,74,46,71,54,107
2020년05월_여_40~49세,"2,145","1,011",155,61,170,115,139,87,123,89,195
2020년05월_여_50~59세,"3,513","1,103",297,137,298,229,270,177,279,233,490
2020년05월_여_60~69세,"4,112",987,394,159,416,245,370,272,342,318,609
2020년05월_여_70~79세,"3,866",706,403,159,388,163,389,306,380,311,661
2020년05월_여_80~89세,"3,388",500,374,167,354,120,382,337,375,295,484
2020년05월_여_90~99세,681,118,63,24,84,28,63,61,77,79,84
2020년05월_여_100세 이상,17,1,1,0,2,1,5,1,2,3,1
