카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년01월_계_총인구수,"31,567","8,969",512,"4,154","8,497","5,084","2,812","1,539"
2020년01월_계_연령구간인구수,"31,567","8,969",512,"4,154","8,497","5,084","2,812","1,539"
2020년01월_계_0~9세,"2,556",738,18,392,677,411,269,51
2020년01월_계_10~19세,"2,351",791,26,283,662,337,160,92
2020년01월_계_20~29세,"4,222","1,153",43,558,"1,143",604,598,123
2020년01월_계_30~39세,"3,892","1,117",35,607,942,674,423,94
2020년01월_계_40~49세,"3,975","1,270",59,432,"1,154",631,269,160
2020년01월_계_50~59세,"5,442","1,518",118,643,"1,532",928,362,341
2020년01월_계_60~69세,"4,730","1,231",107,659,"1,254",770,359,350
2020년01월_계_70~79세,"2,749",730,74,327,724,447,238,209
2020년01월_계_80~89세,"1,410",360,28,223,343,239,121,96
2020년01월_계_90~99세,227,54,4,30,63,41,13,22
2020년01월_계_100세 이상,13,7,0,0,3,2,0,1
2020년01월_남_총인구수,"17,086","4,757",275,"2,233","4,606","2,733","1,654",828
2020년01월_남_연령구간인구수,"17,086","4,757",275,"2,233","4,606","2,733","1,654",828
2020년01월_남_0~9세,"1,340",398,8,193,345,218,150,28
2020년01월_남_10~19세,"1,205",412,13,136,351,162,80,51
2020년01월_남_20~29세,"2,814",722,28,376,761,378,465,84
2020년01월_남_30~39세,"2,222",610,24,355,524,396,254,59
2020년01월_남_40~49세,"2,218",682,35,250,646,353,162,90
2020년01월_남_50~59세,"2,884",801,63,331,826,477,206,180
2020년01월_남_60~69세,"2,559",644,55,361,683,436,185,195
2020년01월_남_70~79세,"1,295",347,39,152,328,222,107,100
2020년01월_남_80~89세,478,123,9,70,121,80,42,33
2020년01월_남_90~99세,67,16,1,9,20,10,3,8
2020년01월_남_100세 이상,4,2,0,0,1,1,0,0
2020년01월_여_총인구수,"14,481","4,212",237,"1,921","3,891","2,351","1,158",711
2020년01월_여_연령구간인구수,"14,481","4,212",237,"1,921","3,891","2,351","1,158",711
2020년01월_여_0~9세,"1,216",340,10,199,332,193,119,23
2020년01월_여_10~19세,"1,146",379,13,147,311,175,80,41
2020년01월_여_20~29세,"1,408",431,15,182,382,226,133,39
2020년01월_여_30~39세,"1,670",507,11,252,418,278,169,35
2020년01월_여_40~49세,"1,757",588,24,182,508,278,107,70
2020년01월_여_50~59세,"2,558",717,55,312,706,451,156,161
2020년01월_여_60~69세,"2,171",587,52,298,571,334,174,155
2020년01월_여_70~79세,"1,454",383,35,175,396,225,131,109
2020년01월_여_80~89세,932,237,19,153,222,159,79,63
2020년01월_여_90~99세,160,38,3,21,43,31,10,14
2020년01월_여_100세 이상,9,5,0,0,2,1,0,1
