카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년03월_계_총인구수,"577,320","41,954","24,192","20,668","31,106","52,083","18,202","21,494","20,952","34,467","24,822","24,826","34,130","14,254","15,314","36,768","43,308","28,768","43,653","23,215","23,144"
2021년03월_계_연령구간인구수,"577,320","41,954","24,192","20,668","31,106","52,083","18,202","21,494","20,952","34,467","24,822","24,826","34,130","14,254","15,314","36,768","43,308","28,768","43,653","23,215","23,144"
2021년03월_계_0~9세,"38,695","4,065","1,295","1,260","1,676","2,652","1,181","1,258","1,123","2,170","1,219","1,273","1,674",488,690,"3,274","3,684","3,147","4,072","1,171","1,323"
2021년03월_계_10~19세,"44,259","4,541","1,328","1,588","1,998","2,471","1,403","1,639","1,366","2,397","1,639","1,588","1,891",465,567,"4,890","5,456","1,922","4,195","1,443","1,472"
2021년03월_계_20~29세,"86,830","5,614","5,028","3,209","4,032","9,463","2,615","3,113","2,984","5,995","4,327","3,865","8,347","1,640","1,787","4,603","5,273","3,866","5,255","3,311","2,503"
2021년03월_계_30~39세,"98,376","7,349","6,050","3,476","4,606","10,450","2,865","3,087","3,310","6,336","4,184","4,096","8,396","2,367","3,065","4,247","5,424","5,414","6,331","3,664","3,659"
2021년03월_계_40~49세,"90,440","7,632","3,254","3,042","3,876","7,504","3,063","3,238","3,249","5,519","3,615","3,981","4,592","1,485","1,901","7,151","8,484","4,669","7,549","3,214","3,422"
2021년03월_계_50~59세,"85,259","5,968","3,021","3,343","5,270","7,381","2,857","3,258","3,370","4,836","3,913","3,694","4,191","2,115","2,252","5,688","6,559","3,924","6,433","3,653","3,533"
2021년03월_계_60~69세,"77,203","4,259","2,288","2,871","5,337","7,043","2,450","3,448","3,201","4,309","3,639","3,564","3,271","3,247","2,707","3,894","4,994","3,361","5,751","3,662","3,907"
2021년03월_계_70~79세,"38,774","1,733","1,123","1,342","2,545","3,762","1,326","1,767","1,659","2,093","1,639","2,071","1,177","1,540","1,566","2,121","2,549","1,700","2,813","2,089","2,159"
2021년03월_계_80~89세,"14,958",694,665,454,"1,458","1,195",383,588,603,692,555,611,500,768,661,764,761,664,"1,083",886,973
2021년03월_계_90~99세,"2,437",96,133,83,297,153,59,91,86,119,90,80,87,134,116,130,119,96,166,118,184
2021년03월_계_100세 이상,89,3,7,0,11,9,0,7,1,1,2,3,4,5,2,6,5,5,5,4,9
2021년03월_남_총인구수,"278,444","20,329","11,333","10,107","14,785","25,340","8,889","10,355","10,252","16,775","12,068","11,931","15,706","6,736","7,127","17,428","20,689","14,566","21,298","11,486","11,244"
2021년03월_남_연령구간인구수,"278,444","20,329","11,333","10,107","14,785","25,340","8,889","10,355","10,252","16,775","12,068","11,931","15,706","6,736","7,127","17,428","20,689","14,566","21,298","11,486","11,244"
