카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년06월_계_총인구수,"114,016","33,008","24,399","30,915","4,141","5,337","3,411","9,627","3,178"
2021년06월_계_연령구간인구수,"114,016","33,008","24,399","30,915","4,141","5,337","3,411","9,627","3,178"
2021년06월_계_0~9세,"9,090","2,252","1,833","4,230",72,126,69,295,213
2021년06월_계_10~19세,"11,419","3,309","3,119","3,773",112,171,124,641,170
2021년06월_계_20~29세,"11,752","3,794","2,915","2,910",290,400,222,"1,011",210
2021년06월_계_30~39세,"14,245","3,347","2,425","6,718",252,332,201,653,317
2021년06월_계_40~49세,"20,540","5,328","5,130","7,164",356,466,340,"1,344",412
2021년06월_계_50~59세,"19,712","6,256","4,900","3,237",778,"1,085",706,"2,197",553
2021년06월_계_60~69세,"14,463","4,598","2,410","1,713","1,046","1,400",897,"1,783",616
2021년06월_계_70~79세,"7,629","2,422","1,056",744,691,777,530,"1,038",371
2021년06월_계_80~89세,"4,503","1,499",542,380,470,487,265,594,266
2021년06월_계_90~99세,641,192,69,45,72,91,57,68,47
2021년06월_계_100세 이상,22,11,0,1,2,2,0,3,3
2021년06월_남_총인구수,"59,430","16,562","12,682","16,701","2,228","2,723","1,861","5,019","1,654"
2021년06월_남_연령구간인구수,"59,430","16,562","12,682","16,701","2,228","2,723","1,861","5,019","1,654"
2021년06월_남_0~9세,"4,692","1,144",958,"2,187",37,62,36,148,120
2021년06월_남_10~19세,"6,012","1,716","1,622","2,009",66,90,64,349,96
2021년06월_남_20~29세,"6,724","2,186","1,701","1,511",169,263,148,615,131
2021년06월_남_30~39세,"7,755","1,780","1,253","3,670",156,200,128,399,169
2021년06월_남_40~49세,"11,044","2,713","2,528","4,085",243,292,210,729,244
2021년06월_남_50~59세,"10,674","3,183","2,665","1,947",464,552,401,"1,168",294
2021년06월_남_60~69세,"7,550","2,301","1,291",845,596,736,501,944,336
2021년06월_남_70~79세,"3,354","1,004",464,320,314,371,261,456,164
2021년06월_남_80~89세,"1,473",482,182,117,167,147,95,196,87
2021년06월_남_90~99세,150,52,18,10,16,10,17,15,12
2021년06월_남_100세 이상,2,1,0,0,0,0,0,0,1
2021년06월_여_총인구수,"54,586","16,446","11,717","14,214","1,913","2,614","1,550","4,608","1,524"
2021년06월_여_연령구간인구수,"54,586","16,446","11,717","14,214","1,913","2,614","1,550","4,608","1,524"
2021년06월_여_0~9세,"4,398","1,108",875,"2,043",35,64,33,147,93
2021년06월_여_10~19세,"5,407","1,593","1,497","1,764",46,81,60,292,74
2021년06월_여_20~29세,"5,028","1,608","1,214","1,399",121,137,74,396,79
2021년06월_여_30~39세,"6,490","1,567","1,172","3,048",96,132,73,254,148
2021년06월_여_40~49세,"9,496","2,615","2,602","3,079",113,174,130,615,168
2021년06월_여_50~59세,"9,038","3,073","2,235","1,290",314,533,305,"1,029",259
2021년06월_여_60~69세,"6,913","2,297","1,119",868,450,664,396,839,280
2021년06월_여_70~79세,"4,275","1,418",592,424,377,406,269,582,207
2021년06월_여_80~89세,"3,030","1,017",360,263,303,340,170,398,179
2021년06월_여_90~99세,491,140,51,35,56,81,40,53,35
2021년06월_여_100세 이상,20,10,0,1,2,2,0,3,2
