,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년03월_계_총인구수,"174,042","8,872","10,467","17,305","10,007","9,854","10,232","6,535","7,943","11,049","8,056","8,311","10,392","18,490","2,079","5,460","20,859","8,131"
2020년03월_계_연령구간인구수,"174,042","8,872","10,467","17,305","10,007","9,854","10,232","6,535","7,943","11,049","8,056","8,311","10,392","18,490","2,079","5,460","20,859","8,131"
2020년03월_계_0~9세,"8,147",366,373,821,331,322,407,210,225,385,297,659,364,"1,424",94,173,"1,396",300
2020년03월_계_10~19세,"11,641",551,585,"1,348",674,537,665,389,522,625,512,604,676,"1,248",125,352,"1,767",461
2020년03월_계_20~29세,"22,328","1,367","1,333","2,472","1,183","1,088","1,332",722,"1,055","1,349","1,070",956,"1,341","2,392",251,671,"2,733","1,013"
2020년03월_계_30~39세,"18,355","1,012","1,006","2,040",933,831,"1,020",629,739,"1,047",772,"1,021","1,053","2,446",211,493,"2,345",757
2020년03월_계_40~49세,"23,793","1,107","1,360","2,362","1,409","1,219","1,355",830,"1,074","1,498","1,062","1,253","1,431","2,624",274,732,"3,072","1,131"
2020년03월_계_50~59세,"35,321","1,730","2,078","3,257","2,155","1,979","2,093","1,323","1,719","2,483","1,687","1,547","2,300","3,551",444,"1,209","4,076","1,690"
2020년03월_계_60~69세,"30,071","1,539","1,934","2,805","1,753","1,876","1,845","1,262","1,423","2,017","1,428","1,307","1,825","2,833",409,"1,065","3,323","1,427"
2020년03월_계_70~79세,"16,935",821,"1,250","1,525","1,093","1,360","1,038",804,817,"1,189",846,685,987,"1,362",202,520,"1,506",930
2020년03월_계_80~89세,"6,608",338,495,600,414,561,428,338,333,417,342,247,363,525,56,222,541,388
2020년03월_계_90~99세,744,32,45,73,54,63,38,27,29,35,34,31,50,81,7,23,88,34
2020년03월_계_100세 이상,99,9,8,2,8,18,11,1,7,4,6,1,2,4,6,0,12,0
2020년03월_남_총인구수,"87,337","4,387","5,148","8,402","5,103","4,940","5,047","3,351","3,946","5,851","4,070","4,078","5,255","9,150","1,089","2,899","10,480","4,141"
2020년03월_남_연령구간인구수,"87,337","4,387","5,148","8,402","5,103","4,940","5,047","3,351","3,946","5,851","4,070","4,078","5,255","9,150","1,089","2,899","10,480","4,141"
2020년03월_남_0~9세,"4,179",205,197,418,169,179,195,115,114,202,155,341,195,698,49,84,728,135
2020년03월_남_10~19세,"6,097",295,308,688,361,291,352,206,282,320,279,295,367,646,65,188,920,234
2020년03월_남_20~29세,"12,289",722,706,"1,346",663,608,714,391,589,797,606,511,732,"1,300",143,398,"1,489",574
2020년03월_남_30~39세,"10,376",557,603,"1,143",543,494,620,383,441,581,452,531,600,"1,286",121,315,"1,267",439
2020년03월_남_40~49세,"12,736",567,760,"1,153",811,696,714,461,547,898,581,653,787,"1,347",154,425,"1,548",634
2020년03월_남_50~59세,"17,700",818,"1,041","1,477","1,108","1,034","1,008",724,857,"1,375",874,745,"1,150","1,724",226,636,"2,021",882
2020년03월_남_60~69세,"14,150",721,866,"1,265",836,893,841,586,651,990,664,608,882,"1,342",204,548,"1,577",676
2020년03월_남_70~79세,"7,375",373,493,687,459,534,447,354,345,539,336,301,421,629,97,224,722,414
2020년03월_남_80~89세,"2,271",121,163,205,143,197,150,122,114,144,114,88,113,165,28,74,185,145
2020년03월_남_90~99세,141,6,9,20,7,14,3,9,4,4,6,4,8,13,1,7,18,8
2020년03월_남_100세 이상,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020년03월_여_총인구수,"86,705","4,485","5,319","8,903","4,904","4,914","5,185","3,184","3,997","5,198","3,986","4,233","5,137","9,340",990,"2,561","10,379","3,990"
2020년03월_여_연령구간인구수,"86,705","4,485","5,319","8,903","4,904","4,914","5,185","3,184","3,997","5,198","3,986","4,233","5,137","9,340",990,"2,561","10,379","3,990"
2020년03월_여_0~9세,"3,968",161,176,403,162,143,212,95,111,183,142,318,169,726,45,89,668,165
2020년03월_여_10~19세,"5,544",256,277,660,313,246,313,183,240,305,233,309,309,602,60,164,847,227
2020년03월_여_20~29세,"10,039",645,627,"1,126",520,480,618,331,466,552,464,445,609,"1,092",108,273,"1,244",439
2020년03월_여_30~39세,"7,979",455,403,897,390,337,400,246,298,466,320,490,453,"1,160",90,178,"1,078",318
2020년03월_여_40~49세,"11,057",540,600,"1,209",598,523,641,369,527,600,481,600,644,"1,277",120,307,"1,524",497
2020년03월_여_50~59세,"17,621",912,"1,037","1,780","1,047",945,"1,085",599,862,"1,108",813,802,"1,150","1,827",218,573,"2,055",808
2020년03월_여_60~69세,"15,921",818,"1,068","1,540",917,983,"1,004",676,772,"1,027",764,699,943,"1,491",205,517,"1,746",751
2020년03월_여_70~79세,"9,560",448,757,838,634,826,591,450,472,650,510,384,566,733,105,296,784,516
2020년03월_여_80~89세,"4,337",217,332,395,271,364,278,216,219,273,228,159,250,360,28,148,356,243
2020년03월_여_90~99세,603,26,36,53,47,49,35,18,25,31,28,27,42,68,6,16,70,26
2020년03월_여_100세 이상,76,7,6,2,5,18,8,1,5,3,3,0,2,4,5,0,7,0
