카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년05월_계_총인구수,"35,991","10,536","4,457","4,707","1,820","1,585","3,218","2,531","3,499","1,654","1,984"
2021년05월_계_연령구간인구수,"35,991","10,536","4,457","4,707","1,820","1,585","3,218","2,531","3,499","1,654","1,984"
2021년05월_계_0~9세,"1,700",626,266,277,63,41,146,97,97,42,45
2021년05월_계_10~19세,"2,469",975,236,360,125,100,181,170,148,87,87
2021년05월_계_20~29세,"2,704",969,327,394,114,116,204,174,180,110,116
2021년05월_계_30~39세,"2,935",904,682,438,95,90,273,136,162,60,95
2021년05월_계_40~49세,"4,751","1,614",691,728,204,156,422,290,294,167,185
2021년05월_계_50~59세,"6,808","1,892",737,901,357,315,626,485,741,378,376
2021년05월_계_60~69세,"7,629","1,826",828,938,435,365,798,560,899,428,552
2021년05월_계_70~79세,"4,430","1,091",499,478,265,259,367,349,559,243,320
2021년05월_계_80~89세,"2,227",536,174,174,149,125,182,226,363,118,180
2021년05월_계_90~99세,320,99,17,14,13,14,18,43,54,21,27
2021년05월_계_100세 이상,18,4,0,5,0,4,1,1,2,0,1
2021년05월_남_총인구수,"18,743","5,403","2,337","2,481",933,801,"1,717","1,284","1,850",891,"1,046"
2021년05월_남_연령구간인구수,"18,743","5,403","2,337","2,481",933,801,"1,717","1,284","1,850",891,"1,046"
2021년05월_남_0~9세,875,328,136,144,32,17,74,50,44,23,27
2021년05월_남_10~19세,"1,275",511,105,185,60,56,92,86,78,50,52
2021년05월_남_20~29세,"1,563",569,174,234,68,68,118,109,99,68,56
2021년05월_남_30~39세,"1,636",464,397,228,54,60,168,77,103,30,55
2021년05월_남_40~49세,"2,757",852,429,409,123,98,262,160,193,102,129
2021년05월_남_50~59세,"3,784","1,031",414,511,200,177,334,272,415,227,203
2021년05월_남_60~69세,"4,031",971,390,480,240,184,437,285,499,241,304
2021년05월_남_70~79세,"1,980",483,226,217,100,99,168,159,267,108,153
2021년05월_남_80~89세,776,176,63,69,53,37,61,77,138,40,62
2021년05월_남_90~99세,58,17,3,0,3,2,3,9,14,2,5
2021년05월_남_100세 이상,8,1,0,4,0,3,0,0,0,0,0
2021년05월_여_총인구수,"17,248","5,133","2,120","2,226",887,784,"1,501","1,247","1,649",763,938
2021년05월_여_연령구간인구수,"17,248","5,133","2,120","2,226",887,784,"1,501","1,247","1,649",763,938
2021년05월_여_0~9세,825,298,130,133,31,24,72,47,53,19,18
2021년05월_여_10~19세,"1,194",464,131,175,65,44,89,84,70,37,35
2021년05월_여_20~29세,"1,141",400,153,160,46,48,86,65,81,42,60
2021년05월_여_30~39세,"1,299",440,285,210,41,30,105,59,59,30,40
2021년05월_여_40~49세,"1,994",762,262,319,81,58,160,130,101,65,56
2021년05월_여_50~59세,"3,024",861,323,390,157,138,292,213,326,151,173
2021년05월_여_60~69세,"3,598",855,438,458,195,181,361,275,400,187,248
2021년05월_여_70~79세,"2,450",608,273,261,165,160,199,190,292,135,167
2021년05월_여_80~89세,"1,451",360,111,105,96,88,121,149,225,78,118
2021년05월_여_90~99세,262,82,14,14,10,12,15,34,40,19,22
2021년05월_여_100세 이상,10,3,0,1,0,1,1,1,2,0,1
