카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년02월_계_총인구수,"62,339","19,500","9,629","14,024","5,574","9,715","3,897"
2021년02월_계_연령구간인구수,"62,339","19,500","9,629","14,024","5,574","9,715","3,897"
2021년02월_계_0~9세,"3,298","1,142",542,622,150,691,151
2021년02월_계_10~19세,"4,541","1,665",778,991,250,655,202
2021년02월_계_20~29세,"6,234","2,219",896,"1,322",534,"1,022",241
2021년02월_계_30~39세,"5,674","1,887",817,"1,169",380,"1,149",272
2021년02월_계_40~49세,"7,893","2,664","1,130","1,930",560,"1,221",388
2021년02월_계_50~59세,"11,305","3,431","1,730","2,680","1,114","1,636",714
2021년02월_계_60~69세,"12,255","3,313","2,044","2,712","1,412","1,797",977
2021년02월_계_70~79세,"6,841","1,912",991,"1,658",736,980,564
2021년02월_계_80~89세,"3,711","1,099",584,816,383,495,334
2021년02월_계_90~99세,535,152,112,113,50,59,49
2021년02월_계_100세 이상,52,16,5,11,5,10,5
2021년02월_남_총인구수,"32,128","9,916","4,937","7,166","2,941","5,168","2,000"
2021년02월_남_연령구간인구수,"32,128","9,916","4,937","7,166","2,941","5,168","2,000"
2021년02월_남_0~9세,"1,647",582,263,315,74,349,64
2021년02월_남_10~19세,"2,402",899,384,520,148,342,109
2021년02월_남_20~29세,"3,593","1,217",496,750,355,639,136
2021년02월_남_30~39세,"3,083",996,456,632,214,635,150
2021년02월_남_40~49세,"4,241","1,424",585,"1,027",320,660,225
2021년02월_남_50~59세,"5,970","1,813",919,"1,425",565,855,393
2021년02월_남_60~69세,"6,342","1,666","1,066","1,373",734,997,506
2021년02월_남_70~79세,"3,250",862,504,766,376,467,275
2021년02월_남_80~89세,"1,434",410,233,323,140,201,127
2021년02월_남_90~99세,145,43,28,30,12,19,13
2021년02월_남_100세 이상,21,4,3,5,3,4,2
2021년02월_여_총인구수,"30,211","9,584","4,692","6,858","2,633","4,547","1,897"
2021년02월_여_연령구간인구수,"30,211","9,584","4,692","6,858","2,633","4,547","1,897"
2021년02월_여_0~9세,"1,651",560,279,307,76,342,87
2021년02월_여_10~19세,"2,139",766,394,471,102,313,93
2021년02월_여_20~29세,"2,641","1,002",400,572,179,383,105
2021년02월_여_30~39세,"2,591",891,361,537,166,514,122
2021년02월_여_40~49세,"3,652","1,240",545,903,240,561,163
2021년02월_여_50~59세,"5,335","1,618",811,"1,255",549,781,321
2021년02월_여_60~69세,"5,913","1,647",978,"1,339",678,800,471
2021년02월_여_70~79세,"3,591","1,050",487,892,360,513,289
2021년02월_여_80~89세,"2,277",689,351,493,243,294,207
2021년02월_여_90~99세,390,109,84,83,38,40,36
2021년02월_여_100세 이상,31,12,2,6,2,6,3
