카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년03월_계_총인구수,"9,019","6,386",872,437,"1,324"
2021년03월_계_연령구간인구수,"9,019","6,386",872,437,"1,324"
2021년03월_계_0~9세,392,289,38,14,51
2021년03월_계_10~19세,452,354,39,16,43
2021년03월_계_20~29세,808,590,80,20,118
2021년03월_계_30~39세,855,652,62,32,109
2021년03월_계_40~49세,"1,257",953,97,30,177
2021년03월_계_50~59세,"1,817","1,306",183,86,242
2021년03월_계_60~69세,"1,778","1,224",172,101,281
2021년03월_계_70~79세,"1,057",684,115,89,169
2021년03월_계_80~89세,509,284,78,32,115
2021년03월_계_90~99세,80,36,8,17,19
2021년03월_계_100세 이상,14,14,0,0,0
2021년03월_남_총인구수,"4,944","3,501",478,236,729
2021년03월_남_연령구간인구수,"4,944","3,501",478,236,729
2021년03월_남_0~9세,202,149,17,8,28
2021년03월_남_10~19세,230,170,27,11,22
2021년03월_남_20~29세,493,346,64,8,75
2021년03월_남_30~39세,524,402,35,21,66
2021년03월_남_40~49세,765,572,59,21,113
2021년03월_남_50~59세,"1,072",773,105,49,145
2021년03월_남_60~69세,940,642,96,53,149
2021년03월_남_70~79세,491,318,48,47,78
2021년03월_남_80~89세,200,114,24,13,49
2021년03월_남_90~99세,22,10,3,5,4
2021년03월_남_100세 이상,5,5,0,0,0
2021년03월_여_총인구수,"4,075","2,885",394,201,595
2021년03월_여_연령구간인구수,"4,075","2,885",394,201,595
2021년03월_여_0~9세,190,140,21,6,23
2021년03월_여_10~19세,222,184,12,5,21
2021년03월_여_20~29세,315,244,16,12,43
2021년03월_여_30~39세,331,250,27,11,43
2021년03월_여_40~49세,492,381,38,9,64
2021년03월_여_50~59세,745,533,78,37,97
2021년03월_여_60~69세,838,582,76,48,132
2021년03월_여_70~79세,566,366,67,42,91
2021년03월_여_80~89세,309,170,54,19,66
2021년03월_여_90~99세,58,26,5,12,15
2021년03월_여_100세 이상,9,9,0,0,0
