,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년06월_계_총인구수,"530,416","32,366","36,408","28,929","15,512","23,224","22,461","28,790","29,281","16,018","25,106","18,267","21,904","15,945","25,289","20,774","40,219","21,685","32,726","33,180","42,332"
2020년06월_계_연령구간인구수,"530,416","32,366","36,408","28,929","15,512","23,224","22,461","28,790","29,281","16,018","25,106","18,267","21,904","15,945","25,289","20,774","40,219","21,685","32,726","33,180","42,332"
2020년06월_계_0~9세,"44,007","3,393","3,735","1,625",745,"1,366","1,729","1,727","1,896",787,"1,908","1,396","1,590",724,"1,604","1,784","6,214","1,402","3,025","2,662","4,695"
2020년06월_계_10~19세,"50,825","3,059","4,517","1,740","1,141","1,701","2,173","2,222","2,393","1,100","2,503","1,712","2,023","1,043","2,447","2,259","3,615","2,023","3,709","3,491","5,954"
2020년06월_계_20~29세,"71,841","4,252","4,412","6,411","2,174","3,291","2,949","4,165","4,330","1,983","3,324","2,544","3,005","2,230","3,522","2,455","4,075","2,958","4,250","4,606","4,905"
2020년06월_계_30~39세,"75,110","5,030","4,732","5,526","1,797","3,351","2,873","3,884","4,248","1,956","3,194","2,354","2,934","1,952","3,034","2,589","8,099","2,386","4,718","4,735","5,718"
2020년06월_계_40~49세,"89,886","5,636","6,804","4,523","2,364","3,560","3,923","4,467","4,563","2,317","4,264","2,944","3,411","2,205","3,927","3,539","7,264","3,523","5,916","5,786","8,950"
2020년06월_계_50~59세,"90,849","5,166","5,857","4,395","3,153","4,138","3,825","5,474","5,330","3,098","4,400","3,323","3,880","3,162","4,954","3,556","4,975","4,384","5,539","5,576","6,664"
2020년06월_계_60~69세,"63,389","3,576","3,878","2,814","2,259","3,151","2,855","3,947","3,869","2,497","3,349","2,385","2,998","2,638","3,310","2,803","3,844","2,942","3,340","3,527","3,407"
2020년06월_계_70~79세,"30,295","1,517","1,776","1,329","1,270","1,805","1,491","2,000","1,786","1,443","1,539","1,152","1,341","1,422","1,583","1,227","1,554","1,408","1,489","1,810","1,353"
2020년06월_계_80~89세,"12,120",610,575,496,528,746,533,780,731,736,521,382,613,494,760,489,496,571,614,849,596
2020년06월_계_90~99세,"1,965",121,110,68,71,106,106,109,124,99,89,66,106,74,143,72,80,84,122,128,87
2020년06월_계_100세 이상,129,6,12,2,10,9,4,15,11,2,15,9,3,1,5,1,3,4,4,10,3
2020년06월_남_총인구수,"263,707","15,770","17,934","14,427","7,858","11,456","11,293","14,421","14,644","7,742","12,314","9,205","10,726","8,021","12,370","10,316","19,973","11,145","16,434","16,747","20,911"
2020년06월_남_연령구간인구수,"263,707","15,770","17,934","14,427","7,858","11,456","11,293","14,421","14,644","7,742","12,314","9,205","10,726","8,021","12,370","10,316","19,973","11,145","16,434","16,747","20,911"
2020년06월_남_0~9세,"22,673","1,722","1,946",872,396,734,896,858,976,403,962,723,801,389,839,900,"3,202",722,"1,531","1,379","2,422"
2020년06월_남_10~19세,"25,974","1,473","2,346",882,618,867,"1,143","1,116","1,206",574,"1,240",875,"1,054",519,"1,235","1,174","1,892","1,093","1,887","1,824","2,956"
2020년06월_남_20~29세,"37,170","2,123","2,303","2,904","1,137","1,690","1,563","2,146","2,223","1,012","1,740","1,324","1,609","1,208","1,868","1,319","2,027","1,652","2,272","2,486","2,564"
2020년06월_남_30~39세,"38,569","2,426","2,229","3,008","1,022","1,797","1,432","2,061","2,250","1,023","1,651","1,272","1,539","1,093","1,571","1,307","3,939","1,254","2,471","2,586","2,638"
2020년06월_남_40~49세,"45,731","2,919","3,264","2,434","1,265","1,855","2,031","2,352","2,308","1,229","2,128","1,505","1,648","1,206","1,884","1,770","3,808","1,839","3,009","2,952","4,325"
2020년06월_남_50~59세,"44,774","2,485","2,927","2,168","1,598","1,995","1,932","2,741","2,625","1,522","2,089","1,662","1,838","1,544","2,367","1,704","2,325","2,240","2,777","2,763","3,472"
2020년06월_남_60~69세,"30,614","1,701","1,839","1,352","1,086","1,467","1,379","1,924","1,939","1,180","1,568","1,179","1,407","1,236","1,654","1,368","1,870","1,486","1,598","1,665","1,716"
2020년06월_남_70~79세,"13,681",702,837,598,546,788,698,909,840,570,729,528,612,630,694,568,751,647,658,770,606
2020년06월_남_80~89세,"4,088",199,211,186,178,252,182,281,249,212,185,123,191,187,233,188,148,193,207,288,195
2020년06월_남_90~99세,403,20,28,22,11,10,36,27,26,17,18,10,27,9,25,18,10,17,23,32,17
2020년06월_남_100세 이상,30,0,4,1,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,2,0
2020년06월_여_총인구수,"266,709","16,596","18,474","14,502","7,654","11,768","11,168","14,369","14,637","8,276","12,792","9,062","11,178","7,924","12,919","10,458","20,246","10,540","16,292","16,433","21,421"
2020년06월_여_연령구간인구수,"266,709","16,596","18,474","14,502","7,654","11,768","11,168","14,369","14,637","8,276","12,792","9,062","11,178","7,924","12,919","10,458","20,246","10,540","16,292","16,433","21,421"
2020년06월_여_0~9세,"21,334","1,671","1,789",753,349,632,833,869,920,384,946,673,789,335,765,884,"3,012",680,"1,494","1,283","2,273"
2020년06월_여_10~19세,"24,851","1,586","2,171",858,523,834,"1,030","1,106","1,187",526,"1,263",837,969,524,"1,212","1,085","1,723",930,"1,822","1,667","2,998"
2020년06월_여_20~29세,"34,671","2,129","2,109","3,507","1,037","1,601","1,386","2,019","2,107",971,"1,584","1,220","1,396","1,022","1,654","1,136","2,048","1,306","1,978","2,120","2,341"
2020년06월_여_30~39세,"36,541","2,604","2,503","2,518",775,"1,554","1,441","1,823","1,998",933,"1,543","1,082","1,395",859,"1,463","1,282","4,160","1,132","2,247","2,149","3,080"
2020년06월_여_40~49세,"44,155","2,717","3,540","2,089","1,099","1,705","1,892","2,115","2,255","1,088","2,136","1,439","1,763",999,"2,043","1,769","3,456","1,684","2,907","2,834","4,625"
2020년06월_여_50~59세,"46,075","2,681","2,930","2,227","1,555","2,143","1,893","2,733","2,705","1,576","2,311","1,661","2,042","1,618","2,587","1,852","2,650","2,144","2,762","2,813","3,192"
