카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년04월_계_총인구수,"48,327","13,996","2,809","6,582",699,"2,737","2,533","1,733","6,438","7,507","1,276","2,017"
2021년04월_계_연령구간인구수,"48,327","13,996","2,809","6,582",699,"2,737","2,533","1,733","6,438","7,507","1,276","2,017"
2021년04월_계_0~9세,"2,824","1,075",58,748,6,105,53,48,299,363,22,47
2021년04월_계_10~19세,"3,664","1,606",221,465,23,114,89,59,396,566,42,83
2021년04월_계_20~29세,"4,383","1,580",170,715,47,203,181,103,650,607,33,94
2021년04월_계_30~39세,"4,181","1,370",156,"1,056",27,165,125,59,561,542,40,80
2021년04월_계_40~49세,"6,110","2,293",218,955,61,282,157,143,810,929,107,155
2021년04월_계_50~59세,"8,510","2,412",464,"1,028",140,486,420,262,"1,266","1,383",301,348
2021년04월_계_60~69세,"8,485","1,784",551,815,151,589,589,405,"1,255","1,584",316,446
2021년04월_계_70~79세,"5,606","1,084",517,456,126,378,440,327,704,990,223,361
2021년04월_계_80~89세,"3,879",673,385,298,102,349,395,281,429,461,170,336
2021년04월_계_90~99세,668,116,68,43,15,65,84,46,64,81,20,66
2021년04월_계_100세 이상,17,3,1,3,1,1,0,0,4,1,2,1
2021년04월_남_총인구수,"24,262","7,090","1,349","3,484",362,"1,371","1,210",841,"3,300","3,680",626,949
2021년04월_남_연령구간인구수,"24,262","7,090","1,349","3,484",362,"1,371","1,210",841,"3,300","3,680",626,949
2021년04월_남_0~9세,"1,463",570,34,382,4,59,28,22,146,186,11,21
2021년04월_남_10~19세,"1,970",843,155,250,11,57,42,34,215,298,23,42
2021년04월_남_20~29세,"2,629",920,102,437,28,113,120,65,404,362,22,56
2021년04월_남_30~39세,"2,284",718,85,571,19,100,79,35,317,283,24,53
2021년04월_남_40~49세,"3,352","1,150",129,542,42,175,95,79,472,511,55,102
2021년04월_남_50~59세,"4,643","1,278",258,590,90,281,234,159,682,706,163,202
2021년04월_남_60~69세,"4,174",896,245,406,84,303,289,202,631,733,169,216
2021년04월_남_70~79세,"2,432",465,206,217,49,155,188,142,311,442,100,157
2021년04월_남_80~89세,"1,202",234,119,87,33,116,122,94,110,146,49,92
2021년04월_남_90~99세,110,16,16,2,1,12,13,9,11,13,9,8
2021년04월_남_100세 이상,3,0,0,0,1,0,0,0,1,0,1,0
2021년04월_여_총인구수,"24,065","6,906","1,460","3,098",337,"1,366","1,323",892,"3,138","3,827",650,"1,068"
2021년04월_여_연령구간인구수,"24,065","6,906","1,460","3,098",337,"1,366","1,323",892,"3,138","3,827",650,"1,068"
2021년04월_여_0~9세,"1,361",505,24,366,2,46,25,26,153,177,11,26
2021년04월_여_10~19세,"1,694",763,66,215,12,57,47,25,181,268,19,41
2021년04월_여_20~29세,"1,754",660,68,278,19,90,61,38,246,245,11,38
2021년04월_여_30~39세,"1,897",652,71,485,8,65,46,24,244,259,16,27
2021년04월_여_40~49세,"2,758","1,143",89,413,19,107,62,64,338,418,52,53
2021년04월_여_50~59세,"3,867","1,134",206,438,50,205,186,103,584,677,138,146
2021년04월_여_60~69세,"4,311",888,306,409,67,286,300,203,624,851,147,230
2021년04월_여_70~79세,"3,174",619,311,239,77,223,252,185,393,548,123,204
2021년04월_여_80~89세,"2,677",439,266,211,69,233,273,187,319,315,121,244
2021년04월_여_90~99세,558,100,52,41,14,53,71,37,53,68,11,58
2021년04월_여_100세 이상,14,3,1,3,0,1,0,0,3,1,1,1
