,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년12월_계_총인구수,"53,699","8,251","14,965","6,486","1,853","2,076","3,782","3,581","2,279","3,200","1,924","3,015","2,287"
2020년12월_계_연령구간인구수,"53,699","8,251","14,965","6,486","1,853","2,076","3,782","3,581","2,279","3,200","1,924","3,015","2,287"
2020년12월_계_0~9세,"3,539",606,"1,560",582,64,52,115,112,71,99,74,135,69
2020년12월_계_10~19세,"4,443",797,"1,796",693,102,72,186,128,108,169,81,205,106
2020년12월_계_20~29세,"5,103",872,"1,612",892,117,115,284,252,182,245,121,256,155
2020년12월_계_30~39세,"4,778",735,"1,877",833,107,94,233,182,137,159,108,166,147
2020년12월_계_40~49세,"7,431","1,043","2,875","1,276",170,191,393,330,187,299,148,300,219
2020년12월_계_50~59세,"9,413","1,456","2,518","1,324",313,384,664,597,422,547,303,496,389
2020년12월_계_60~69세,"8,051","1,203","1,490",497,335,444,779,810,462,601,376,573,481
2020년12월_계_70~79세,"6,329",916,817,252,320,400,657,665,386,630,388,490,408
2020년12월_계_80~89세,"4,040",519,379,115,290,281,417,439,298,393,284,337,288
2020년12월_계_90~99세,537,101,37,21,31,43,48,63,23,55,37,54,24
2020년12월_계_100세 이상,35,3,4,1,4,0,6,3,3,3,4,3,1
2020년12월_남_총인구수,"27,595","4,087","7,948","3,712",904,"1,050","1,902","1,775","1,160","1,530",913,"1,459","1,155"
2020년12월_남_연령구간인구수,"27,595","4,087","7,948","3,712",904,"1,050","1,902","1,775","1,160","1,530",913,"1,459","1,155"
2020년12월_남_0~9세,"1,769",319,737,292,38,23,50,64,49,60,32,71,34
2020년12월_남_10~19세,"2,369",431,960,366,47,48,103,69,67,91,46,94,47
2020년12월_남_20~29세,"2,950",475,882,544,69,65,196,160,109,141,74,139,96
2020년12월_남_30~39세,"2,584",368,952,481,70,57,141,108,85,91,59,83,89
2020년12월_남_40~49세,"4,406",548,"1,693",787,105,116,227,217,118,177,96,176,146
2020년12월_남_50~59세,"5,366",758,"1,447",815,195,233,356,355,232,304,172,284,215
2020년12월_남_60~69세,"4,134",604,793,290,157,254,404,393,251,291,180,272,245
2020년12월_남_70~79세,"2,652",396,369,102,125,165,272,286,152,247,156,208,174
2020년12월_남_80~89세,"1,257",165,108,32,88,80,139,117,92,118,95,119,104
2020년12월_남_90~99세,100,22,6,3,9,9,11,6,5,9,2,13,5
2020년12월_남_100세 이상,8,1,1,0,1,0,3,0,0,1,1,0,0
2020년12월_여_총인구수,"26,104","4,164","7,017","2,774",949,"1,026","1,880","1,806","1,119","1,670","1,011","1,556","1,132"
2020년12월_여_연령구간인구수,"26,104","4,164","7,017","2,774",949,"1,026","1,880","1,806","1,119","1,670","1,011","1,556","1,132"
2020년12월_여_0~9세,"1,770",287,823,290,26,29,65,48,22,39,42,64,35
2020년12월_여_10~19세,"2,074",366,836,327,55,24,83,59,41,78,35,111,59
2020년12월_여_20~29세,"2,153",397,730,348,48,50,88,92,73,104,47,117,59
2020년12월_여_30~39세,"2,194",367,925,352,37,37,92,74,52,68,49,83,58
2020년12월_여_40~49세,"3,025",495,"1,182",489,65,75,166,113,69,122,52,124,73
2020년12월_여_50~59세,"4,047",698,"1,071",509,118,151,308,242,190,243,131,212,174
2020년12월_여_60~69세,"3,917",599,697,207,178,190,375,417,211,310,196,301,236
2020년12월_여_70~79세,"3,677",520,448,150,195,235,385,379,234,383,232,282,234
2020년12월_여_80~89세,"2,783",354,271,83,202,201,278,322,206,275,189,218,184
2020년12월_여_90~99세,437,79,31,18,22,34,37,57,18,46,35,41,19
2020년12월_여_100세 이상,27,2,3,1,3,0,3,3,3,2,3,3,1
