카테고리,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년05월_계_총인구수,"150,623","12,667","9,481","2,718","10,093","18,523","8,684","10,561","4,346","7,259","5,340","7,790","16,903","5,164","8,439","7,027","6,138","9,490"
2020년05월_계_연령구간인구수,"150,623","12,667","9,481","2,718","10,093","18,523","8,684","10,561","4,346","7,259","5,340","7,790","16,903","5,164","8,439","7,027","6,138","9,490"
2020년05월_계_0~9세,"7,948",886,597,105,601,"1,192",735,901,214,196,121,269,715,153,255,400,317,291
2020년05월_계_10~19세,"11,368","1,222",690,208,940,"1,660","1,027",860,340,224,242,450,"1,392",250,531,556,393,383
2020년05월_계_20~29세,"23,432","1,622","1,233",348,"1,375","2,517",949,"1,306",492,857,"1,102","1,701","4,488",595,"1,201",973,816,"1,857"
2020년05월_계_30~39세,"20,175","1,744","1,405",380,"1,243","2,257",981,"1,787",583,905,696,"1,288","2,129",522,918,990,845,"1,502"
2020년05월_계_40~49세,"22,720","2,190","1,498",368,"1,641","2,806","1,577","1,864",763,958,637,"1,042","2,294",670,"1,172",987,968,"1,285"
2020년05월_계_50~59세,"25,763","2,015","1,546",422,"1,734","3,321","1,396","1,612",699,"1,395",988,"1,148","2,311","1,166","1,867","1,305","1,140","1,698"
2020년05월_계_60~69세,"19,510","1,371","1,170",408,"1,276","2,424",996,"1,121",587,"1,399",762,912,"1,595",983,"1,311",979,865,"1,351"
2020년05월_계_70~79세,"12,571","1,017",778,288,805,"1,413",652,734,447,832,540,608,"1,247",564,819,546,528,753
2020년05월_계_80~89세,"5,825",503,454,154,391,750,304,314,176,366,203,311,620,209,306,236,223,305
2020년05월_계_90~99세,"1,044",78,91,29,76,158,50,47,35,88,40,48,90,43,46,44,34,47
2020년05월_계_100세 이상,267,19,19,8,11,25,17,15,10,39,9,13,22,9,13,11,9,18
2020년05월_남_총인구수,"73,407","5,907","4,267","1,301","4,789","8,678","4,028","4,916","2,007","4,348","2,893","3,673","8,181","2,802","4,339","3,443","2,989","4,846"
2020년05월_남_연령구간인구수,"73,407","5,907","4,267","1,301","4,789","8,678","4,028","4,916","2,007","4,348","2,893","3,673","8,181","2,802","4,339","3,443","2,989","4,846"
2020년05월_남_0~9세,"4,021",465,295,48,311,615,325,463,105,107,63,135,341,82,143,219,159,145
2020년05월_남_10~19세,"5,734",654,312,120,494,860,481,418,179,117,123,215,713,126,273,271,187,191
2020년05월_남_20~29세,"11,568",795,571,186,711,"1,293",428,610,234,450,563,806,"2,239",334,646,516,412,774
2020년05월_남_30~39세,"10,033",809,618,181,578,"1,055",444,842,280,507,411,612,"1,122",299,549,474,439,813
2020년05월_남_40~49세,"11,050",975,660,179,763,"1,239",749,877,357,583,370,521,"1,104",346,618,481,508,720
2020년05월_남_50~59세,"12,947",952,701,204,784,"1,492",730,773,320,980,561,565,"1,105",667,979,636,559,939
2020년05월_남_60~69세,"9,677",602,543,186,607,"1,159",454,492,266,892,434,440,772,570,642,486,403,729
2020년05월_남_70~79세,"5,600",416,336,133,361,630,260,296,182,490,265,249,508,278,347,250,220,379
2020년05월_남_80~89세,"2,325",205,192,51,156,284,128,126,73,173,86,111,241,80,123,82,85,129
2020년05월_남_90~99세,364,31,35,12,21,43,17,14,7,37,13,16,28,19,17,19,14,21
2020년05월_남_100세 이상,88,3,4,1,3,8,12,5,4,12,4,3,8,1,2,9,3,6
2020년05월_여_총인구수,"77,216","6,760","5,214","1,417","5,304","9,845","4,656","5,645","2,339","2,911","2,447","4,117","8,722","2,362","4,100","3,584","3,149","4,644"
2020년05월_여_연령구간인구수,"77,216","6,760","5,214","1,417","5,304","9,845","4,656","5,645","2,339","2,911","2,447","4,117","8,722","2,362","4,100","3,584","3,149","4,644"
2020년05월_여_0~9세,"3,927",421,302,57,290,577,410,438,109,89,58,134,374,71,112,181,158,146
2020년05월_여_10~19세,"5,634",568,378,88,446,800,546,442,161,107,119,235,679,124,258,285,206,192
2020년05월_여_20~29세,"11,864",827,662,162,664,"1,224",521,696,258,407,539,895,"2,249",261,555,457,404,"1,083"
2020년05월_여_30~39세,"10,142",935,787,199,665,"1,202",537,945,303,398,285,676,"1,007",223,369,516,406,689
2020년05월_여_40~49세,"11,670","1,215",838,189,878,"1,567",828,987,406,375,267,521,"1,190",324,554,506,460,565
2020년05월_여_50~59세,"12,816","1,063",845,218,950,"1,829",666,839,379,415,427,583,"1,206",499,888,669,581,759
2020년05월_여_60~69세,"9,833",769,627,222,669,"1,265",542,629,321,507,328,472,823,413,669,493,462,622
2020년05월_여_70~79세,"6,971",601,442,155,444,783,392,438,265,342,275,359,739,286,472,296,308,374
2020년05월_여_80~89세,"3,500",298,262,103,235,466,176,188,103,193,117,200,379,129,183,154,138,176
2020년05월_여_90~99세,680,47,56,17,55,115,33,33,28,51,27,32,62,24,29,25,20,26
2020년05월_여_100세 이상,179,16,15,7,8,17,5,10,6,27,5,10,14,8,11,2,6,12
