카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년06월_계_총인구수,"61,825","17,222","12,314","2,065","1,636","3,865","2,531","1,824","2,572","2,389","5,613","1,856","2,796","1,532","3,610"
2020년06월_계_연령구간인구수,"61,825","17,222","12,314","2,065","1,636","3,865","2,531","1,824","2,572","2,389","5,613","1,856","2,796","1,532","3,610"
2020년06월_계_0~9세,"3,459","1,428",990,69,30,109,68,44,147,70,223,43,105,35,98
2020년06월_계_10~19세,"4,200","1,585",941,121,59,174,249,63,172,77,359,55,159,53,133
2020년06월_계_20~29세,"5,052","1,793",951,125,100,267,138,98,209,181,525,88,215,97,265
2020년06월_계_30~39세,"5,319","1,945","1,256",105,102,240,150,107,197,148,424,115,201,77,252
2020년06월_계_40~49세,"7,177","2,395","1,748",142,139,386,180,146,294,203,652,148,296,139,309
2020년06월_계_50~59세,"11,155","2,902","2,190",338,306,726,432,292,436,482,"1,154",344,518,303,732
2020년06월_계_60~69세,"11,793","2,576","2,112",407,399,801,554,428,492,513,"1,138",411,639,401,922
2020년06월_계_70~79세,"8,075","1,586","1,310",408,266,677,422,388,358,400,712,366,387,250,545
2020년06월_계_80~89세,"4,935",901,726,299,210,430,304,222,231,275,381,255,233,152,316
2020년06월_계_90~99세,634,107,83,51,25,54,30,36,32,38,45,31,41,25,36
2020년06월_계_100세 이상,26,4,7,0,0,1,4,0,4,2,0,0,2,0,2
2020년06월_남_총인구수,"30,708","8,547","6,171","1,022",792,"1,977","1,200",890,"1,330","1,185","2,821",899,"1,362",764,"1,748"
2020년06월_남_연령구간인구수,"30,708","8,547","6,171","1,022",792,"1,977","1,200",890,"1,330","1,185","2,821",899,"1,362",764,"1,748"
2020년06월_남_0~9세,"1,790",736,516,29,17,52,36,25,85,38,110,25,54,18,49
2020년06월_남_10~19세,"2,265",829,510,74,45,111,102,27,102,38,209,34,75,32,77
2020년06월_남_20~29세,"2,904",989,542,75,60,169,83,59,128,110,317,55,110,58,149
2020년06월_남_30~39세,"2,924","1,033",657,60,61,140,87,71,110,91,241,69,124,49,131
2020년06월_남_40~49세,"4,011","1,254",987,91,76,235,116,89,178,113,361,90,158,86,177
2020년06월_남_50~59세,"5,898","1,491","1,134",177,158,441,221,169,253,281,595,187,272,142,377
2020년06월_남_60~69세,"5,897","1,233","1,039",232,205,406,273,214,251,260,571,214,328,210,461
2020년06월_남_70~79세,"3,442",693,557,171,116,281,184,162,140,167,302,143,165,127,234
2020년06월_남_80~89세,"1,470",270,218,101,47,135,88,68,78,83,108,76,71,39,88
2020년06월_남_90~99세,105,19,10,12,7,7,9,6,5,4,7,6,5,3,5
2020년06월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"31,117","8,675","6,143","1,043",844,"1,888","1,331",934,"1,242","1,204","2,792",957,"1,434",768,"1,862"
2020년06월_여_연령구간인구수,"31,117","8,675","6,143","1,043",844,"1,888","1,331",934,"1,242","1,204","2,792",957,"1,434",768,"1,862"
2020년06월_여_0~9세,"1,669",692,474,40,13,57,32,19,62,32,113,18,51,17,49
2020년06월_여_10~19세,"1,935",756,431,47,14,63,147,36,70,39,150,21,84,21,56
2020년06월_여_20~29세,"2,148",804,409,50,40,98,55,39,81,71,208,33,105,39,116
2020년06월_여_30~39세,"2,395",912,599,45,41,100,63,36,87,57,183,46,77,28,121
2020년06월_여_40~49세,"3,166","1,141",761,51,63,151,64,57,116,90,291,58,138,53,132
2020년06월_여_50~59세,"5,257","1,411","1,056",161,148,285,211,123,183,201,559,157,246,161,355
2020년06월_여_60~69세,"5,896","1,343","1,073",175,194,395,281,214,241,253,567,197,311,191,461
2020년06월_여_70~79세,"4,633",893,753,237,150,396,238,226,218,233,410,223,222,123,311
2020년06월_여_80~89세,"3,465",631,508,198,163,295,216,154,153,192,273,179,162,113,228
2020년06월_여_90~99세,529,88,73,39,18,47,21,30,27,34,38,25,36,22,31
2020년06월_여_100세 이상,24,4,6,0,0,1,3,0,4,2,0,0,2,0,2
