,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년01월_계_총인구수,"76,382","8,462","6,733","5,083","4,564","5,144","8,118","5,094","4,327","7,036","11,830","7,636","2,355"
2021년01월_계_연령구간인구수,"76,382","8,462","6,733","5,083","4,564","5,144","8,118","5,094","4,327","7,036","11,830","7,636","2,355"
2021년01월_계_0~9세,"5,085",314,439,167,135,591,875,266,261,567,873,521,76
2021년01월_계_10~19세,"5,054",479,373,228,191,224,558,314,274,539,"1,062",662,150
2021년01월_계_20~29세,"11,860","1,425","1,886","1,478",808,623,821,877,648,708,"1,330","1,003",253
2021년01월_계_30~39세,"10,744","1,155","1,248",761,536,"1,023","1,394",645,633,922,"1,352",875,200
2021년01월_계_40~49세,"10,728","1,104",889,560,497,699,"1,176",668,596,"1,143","1,871","1,176",349
2021년01월_계_50~59세,"11,272","1,304",707,615,759,718,"1,211",791,672,"1,085","1,814","1,215",381
2021년01월_계_60~69세,"10,244","1,237",603,595,783,656,"1,087",713,535,983,"1,710",961,381
2021년01월_계_70~79세,"7,359",929,361,434,565,409,660,538,447,725,"1,168",742,381
2021년01월_계_80~89세,"3,439",434,189,192,231,171,285,263,212,326,569,414,153
2021년01월_계_90~99세,493,69,30,46,45,25,39,17,34,33,71,59,25
2021년01월_계_100세 이상,104,12,8,7,14,5,12,2,15,5,10,8,6
2021년01월_남_총인구수,"36,724","4,194","3,182","2,442","2,320","2,577","3,958","2,425","2,070","3,234","5,566","3,608","1,148"
2021년01월_남_연령구간인구수,"36,724","4,194","3,182","2,442","2,320","2,577","3,958","2,425","2,070","3,234","5,566","3,608","1,148"
2021년01월_남_0~9세,"2,628",145,224,84,69,291,435,141,125,322,480,274,38
2021년01월_남_10~19세,"2,601",246,185,115,94,121,314,149,140,266,564,318,89
2021년01월_남_20~29세,"5,682",695,818,638,384,319,426,412,311,330,692,517,140
2021년01월_남_30~39세,"5,548",636,655,432,341,512,675,320,316,455,672,428,106
2021년01월_남_40~49세,"5,449",608,477,286,266,378,616,350,291,546,897,561,173
2021년01월_남_50~59세,"5,570",693,334,332,410,360,571,404,353,508,829,583,193
2021년01월_남_60~69세,"4,729",600,254,298,393,333,528,329,247,404,730,435,178
2021년01월_남_70~79세,"3,109",395,153,175,256,194,275,230,198,288,489,294,162
2021년01월_남_80~89세,"1,268",156,73,66,94,62,108,86,81,107,196,176,63
2021년01월_남_90~99세,119,18,8,12,10,6,9,3,5,8,14,20,6
2021년01월_남_100세 이상,21,2,1,4,3,1,1,1,3,0,3,2,0
2021년01월_여_총인구수,"39,658","4,268","3,551","2,641","2,244","2,567","4,160","2,669","2,257","3,802","6,264","4,028","1,207"
2021년01월_여_연령구간인구수,"39,658","4,268","3,551","2,641","2,244","2,567","4,160","2,669","2,257","3,802","6,264","4,028","1,207"
2021년01월_여_0~9세,"2,457",169,215,83,66,300,440,125,136,245,393,247,38
2021년01월_여_10~19세,"2,453",233,188,113,97,103,244,165,134,273,498,344,61
2021년01월_여_20~29세,"6,178",730,"1,068",840,424,304,395,465,337,378,638,486,113
2021년01월_여_30~39세,"5,196",519,593,329,195,511,719,325,317,467,680,447,94
2021년01월_여_40~49세,"5,279",496,412,274,231,321,560,318,305,597,974,615,176
2021년01월_여_50~59세,"5,702",611,373,283,349,358,640,387,319,577,985,632,188
2021년01월_여_60~69세,"5,515",637,349,297,390,323,559,384,288,579,980,526,203
2021년01월_여_70~79세,"4,250",534,208,259,309,215,385,308,249,437,679,448,219
2021년01월_여_80~89세,"2,171",278,116,126,137,109,177,177,131,219,373,238,90
2021년01월_여_90~99세,374,51,22,34,35,19,30,14,29,25,57,39,19
2021년01월_여_100세 이상,83,10,7,3,11,4,11,1,12,5,7,6,6
