카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021년04월_계_총인구수,"115,520","8,129","13,418","4,109","4,224","2,991","3,572","3,527","6,050","2,424","6,231","3,368","3,974","2,246","35,014","16,243"
2021년04월_계_연령구간인구수,"115,520","8,129","13,418","4,109","4,224","2,991","3,572","3,527","6,050","2,424","6,231","3,368","3,974","2,246","35,014","16,243"
2021년04월_계_0~9세,"7,083",312,865,119,107,106,71,87,193,69,387,57,107,60,"3,302","1,241"
2021년04월_계_10~19세,"9,647",630,"1,092",172,243,142,165,154,316,97,421,119,205,129,"3,945","1,817"
2021년04월_계_20~29세,"11,151",703,"1,258",281,276,191,215,250,362,121,461,210,425,147,"4,469","1,782"
2021년04월_계_30~39세,"10,487",525,"1,235",226,245,211,209,202,333,110,539,156,249,125,"4,566","1,556"
2021년04월_계_40~49세,"15,056",941,"1,640",355,398,294,376,347,532,222,623,294,437,198,"5,855","2,544"
2021년04월_계_50~59세,"19,356","1,427","2,089",658,747,480,678,638,"1,174",429,"1,045",587,707,366,"5,470","2,861"
2021년04월_계_60~69세,"20,426","1,698","2,418",965,976,667,857,852,"1,499",608,"1,181",875,843,543,"4,083","2,361"
2021년04월_계_70~79세,"12,910","1,158","1,601",707,702,499,540,550,938,437,866,592,552,366,"2,103","1,299"
2021년04월_계_80~89세,"8,157",630,"1,051",562,484,343,397,384,605,279,620,412,378,252,"1,066",694
2021년04월_계_90~99세,"1,199",101,166,62,45,55,61,60,92,51,87,66,67,56,146,84
2021년04월_계_100세 이상,48,4,3,2,1,3,3,3,6,1,1,0,4,4,9,4
2021년04월_남_총인구수,"57,810","3,990","6,693","2,087","2,138","1,506","1,781","1,798","3,154","1,234","3,178","1,711","2,108","1,073","17,453","7,906"
2021년04월_남_연령구간인구수,"57,810","3,990","6,693","2,087","2,138","1,506","1,781","1,798","3,154","1,234","3,178","1,711","2,108","1,073","17,453","7,906"
2021년04월_남_0~9세,"3,619",166,440,62,53,54,38,45,104,30,202,33,55,31,"1,681",625
2021년04월_남_10~19세,"4,976",318,558,94,122,77,92,74,176,55,240,64,91,60,"2,030",925
2021년04월_남_20~29세,"6,250",406,719,162,158,114,120,141,223,64,270,124,267,81,"2,400","1,001"
2021년04월_남_30~39세,"5,576",277,682,149,143,119,109,119,183,71,282,99,167,68,"2,353",755
2021년04월_남_40~49세,"7,983",500,897,239,248,165,204,212,300,135,334,168,281,110,"2,931","1,259"
2021년04월_남_50~59세,"10,234",731,"1,115",342,405,287,376,362,653,251,571,317,410,203,"2,762","1,449"
2021년04월_남_60~69세,"10,320",836,"1,207",507,524,335,447,445,817,317,628,469,449,274,"1,959","1,106"
2021년04월_남_70~79세,"5,778",498,706,298,326,234,251,262,452,212,393,275,250,148,936,537
2021년04월_남_80~89세,"2,766",229,335,214,150,109,123,128,220,85,233,142,124,80,360,234
2021년04월_남_90~99세,299,27,34,20,9,12,21,10,25,14,25,20,13,17,38,14
2021년04월_남_100세 이상,9,2,0,0,0,0,0,0,1,0,0,0,1,1,3,1
2021년04월_여_총인구수,"57,710","4,139","6,725","2,022","2,086","1,485","1,791","1,729","2,896","1,190","3,053","1,657","1,866","1,173","17,561","8,337"
2021년04월_여_연령구간인구수,"57,710","4,139","6,725","2,022","2,086","1,485","1,791","1,729","2,896","1,190","3,053","1,657","1,866","1,173","17,561","8,337"
2021년04월_여_0~9세,"3,464",146,425,57,54,52,33,42,89,39,185,24,52,29,"1,621",616
2021년04월_여_10~19세,"4,671",312,534,78,121,65,73,80,140,42,181,55,114,69,"1,915",892
2021년04월_여_20~29세,"4,901",297,539,119,118,77,95,109,139,57,191,86,158,66,"2,069",781
2021년04월_여_30~39세,"4,911",248,553,77,102,92,100,83,150,39,257,57,82,57,"2,213",801
2021년04월_여_40~49세,"7,073",441,743,116,150,129,172,135,232,87,289,126,156,88,"2,924","1,285"
2021년04월_여_50~59세,"9,122",696,974,316,342,193,302,276,521,178,474,270,297,163,"2,708","1,412"
2021년04월_여_60~69세,"10,106",862,"1,211",458,452,332,410,407,682,291,553,406,394,269,"2,124","1,255"
2021년04월_여_70~79세,"7,132",660,895,409,376,265,289,288,486,225,473,317,302,218,"1,167",762
2021년04월_여_80~89세,"5,391",401,716,348,334,234,274,256,385,194,387,270,254,172,706,460
2021년04월_여_90~99세,900,74,132,42,36,43,40,50,67,37,62,46,54,39,108,70
2021년04월_여_100세 이상,39,2,3,2,1,3,3,3,5,1,1,0,3,3,6,3
