,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2021년02월_계_총인구수,"306,639","24,452","22,159","30,182","27,250","31,797","18,922","16,342","17,358","21,245","21,435","23,505","20,918","31,074"
2021년02월_계_연령구간인구수,"306,639","24,452","22,159","30,182","27,250","31,797","18,922","16,342","17,358","21,245","21,435","23,505","20,918","31,074"
2021년02월_계_0~9세,"15,366","1,276",775,"1,514","1,043","2,944",680,669,938,"1,045","1,060",817,"1,076","1,529"
2021년02월_계_10~19세,"21,701","1,960","1,336","2,024","1,605","3,959","1,083","1,066","1,325","1,319","1,429","1,110","1,391","2,094"
2021년02월_계_20~29세,"42,541","3,143","3,849","4,231","3,653","3,344","3,221","2,212","1,906","3,091","2,957","4,253","2,650","4,031"
2021년02월_계_30~39세,"38,312","2,974","2,857","4,066","3,240","3,783","2,765","1,778","1,715","2,814","2,538","3,393","2,580","3,809"
2021년02월_계_40~49세,"46,308","3,640","3,092","4,573","3,877","6,463","2,902","2,407","2,618","2,974","3,040","3,291","2,975","4,456"
2021년02월_계_50~59세,"52,537","4,367","3,837","5,188","5,020","4,993","3,134","2,754","2,805","3,619","3,803","4,037","3,598","5,382"
2021년02월_계_60~69세,"46,246","3,802","3,346","4,605","4,605","3,360","2,638","2,675","2,679","3,382","3,343","3,470","3,327","5,014"
2021년02월_계_70~79세,"30,076","2,267","2,103","2,822","2,910","2,006","1,776","1,995","2,501","1,989","2,154","2,164","2,188","3,201"
2021년02월_계_80~89세,"11,775",862,852,"1,004","1,128",819,636,701,773,859,976,855,958,"1,352"
2021년02월_계_90~99세,"1,524",130,102,123,141,102,79,81,87,115,131,101,145,187
2021년02월_계_100세 이상,253,31,10,32,28,24,8,4,11,38,4,14,30,19
2021년02월_남_총인구수,"149,427","12,179","10,687","14,523","13,544","15,271","9,519","7,917","8,154","10,520","10,262","11,655","10,164","15,032"
2021년02월_남_연령구간인구수,"149,427","12,179","10,687","14,523","13,544","15,271","9,519","7,917","8,154","10,520","10,262","11,655","10,164","15,032"
2021년02월_남_0~9세,"7,970",673,411,785,531,"1,523",359,355,479,531,547,412,572,792
2021년02월_남_10~19세,"11,150","1,020",704,984,818,"2,005",573,559,671,675,763,598,733,"1,047"
2021년02월_남_20~29세,"20,878","1,621","1,689","2,066","1,870","1,661","1,588","1,154",978,"1,553","1,419","2,026","1,239","2,014"
2021년02월_남_30~39세,"20,094","1,584","1,507","2,047","1,735","1,755","1,483",976,886,"1,542","1,335","1,853","1,388","2,003"
2021년02월_남_40~49세,"23,742","1,857","1,616","2,340","2,037","3,122","1,547","1,231","1,331","1,589","1,520","1,742","1,525","2,285"
2021년02월_남_50~59세,"25,839","2,203","1,872","2,462","2,540","2,498","1,629","1,348","1,350","1,765","1,802","2,057","1,739","2,574"
2021년02월_남_60~69세,"21,549","1,791","1,621","2,125","2,246","1,539","1,246","1,219","1,187","1,582","1,544","1,599","1,538","2,312"
2021년02월_남_70~79세,"12,991","1,032",898,"1,237","1,267",853,801,798,954,897,913,974,957,"1,410"
2021년02월_남_80~89세,"4,725",348,341,429,448,287,269,255,296,350,380,358,419,545
2021년02월_남_90~99세,423,38,27,35,47,22,23,20,20,31,38,33,45,44
2021년02월_남_100세 이상,66,12,1,13,5,6,1,2,2,5,1,3,9,6
2021년02월_여_총인구수,"157,212","12,273","11,472","15,659","13,706","16,526","9,403","8,425","9,204","10,725","11,173","11,850","10,754","16,042"
2021년02월_여_연령구간인구수,"157,212","12,273","11,472","15,659","13,706","16,526","9,403","8,425","9,204","10,725","11,173","11,850","10,754","16,042"
2021년02월_여_0~9세,"7,396",603,364,729,512,"1,421",321,314,459,514,513,405,504,737
2021년02월_여_10~19세,"10,551",940,632,"1,040",787,"1,954",510,507,654,644,666,512,658,"1,047"
2021년02월_여_20~29세,"21,663","1,522","2,160","2,165","1,783","1,683","1,633","1,058",928,"1,538","1,538","2,227","1,411","2,017"
2021년02월_여_30~39세,"18,218","1,390","1,350","2,019","1,505","2,028","1,282",802,829,"1,272","1,203","1,540","1,192","1,806"
2021년02월_여_40~49세,"22,566","1,783","1,476","2,233","1,840","3,341","1,355","1,176","1,287","1,385","1,520","1,549","1,450","2,171"
2021년02월_여_50~59세,"26,698","2,164","1,965","2,726","2,480","2,495","1,505","1,406","1,455","1,854","2,001","1,980","1,859","2,808"
2021년02월_여_60~69세,"24,697","2,011","1,725","2,480","2,359","1,821","1,392","1,456","1,492","1,800","1,799","1,871","1,789","2,702"
2021년02월_여_70~79세,"17,085","1,235","1,205","1,585","1,643","1,153",975,"1,197","1,547","1,092","1,241","1,190","1,231","1,791"
2021년02월_여_80~89세,"7,050",514,511,575,680,532,367,446,477,509,596,497,539,807
2021년02월_여_90~99세,"1,101",92,75,88,94,80,56,61,67,84,93,68,100,143
2021년02월_여_100세 이상,187,19,9,19,23,18,7,2,9,33,3,11,21,13
