카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년12월_계_총인구수,"537,307","27,696","43,668","24,010","26,705","11,401","3,683","23,052","6,717","5,311","43,954","25,454","19,859","12,571","22,042","7,446","5,770","22,779","10,686","4,087","85,171","53,769","25,034","26,442"
2020년12월_계_연령구간인구수,"537,307","27,696","43,668","24,010","26,705","11,401","3,683","23,052","6,717","5,311","43,954","25,454","19,859","12,571","22,042","7,446","5,770","22,779","10,686","4,087","85,171","53,769","25,034","26,442"
2020년12월_계_0~9세,"49,153","1,554","4,017","1,932","4,080",498,118,"2,692",312,157,"2,927","1,325","2,332",712,"1,622",590,169,"1,063",543,122,"10,970","5,745","3,404","2,269"
2020년12월_계_10~19세,"53,214","1,715","5,836","1,966","3,137",829,208,"1,860",489,295,"4,933","2,334","1,836",908,"2,221",497,301,"1,753",654,204,"9,274","6,198","3,088","2,678"
2020년12월_계_20~29세,"73,430","2,955","5,762","3,042","2,325","1,498",360,"3,496",698,445,"7,099","3,649","2,631","2,421","2,935","1,043",730,"3,944","1,618",614,"11,398","7,385","3,368","4,014"
2020년12월_계_30~39세,"80,697","2,995","5,652","3,902","4,912","1,344",347,"4,463",611,355,"5,363","3,089","3,372","2,210","2,591","1,265",635,"2,875","1,497",421,"16,465","8,089","4,633","3,611"
2020년12월_계_40~49세,"93,800","3,940","8,652","4,626","5,385","1,709",476,"3,671",900,622,"7,638","4,134","3,631","2,095","3,716","1,208",790,"3,481","1,601",505,"16,241","9,447","5,096","4,236"
2020년12월_계_50~59세,"86,913","5,154","6,893","3,880","2,945","2,140",683,"3,327","1,313",980,"8,120","4,841","3,206","1,952","4,087","1,151","1,003","4,275","1,893",810,"11,496","8,618","3,191","4,955"
2020년12월_계_60~69세,"55,209","4,714","3,778","2,607","2,145","1,811",738,"1,964","1,154","1,135","4,482","3,242","1,711","1,226","2,713",877,998,"2,962","1,510",739,"5,731","4,863","1,443","2,666"
2020년12월_계_70~79세,"28,554","2,863","1,937","1,318","1,102","1,024",458,980,719,786,"2,205","1,839",723,699,"1,388",512,706,"1,576",877,454,"2,381","2,198",534,"1,275"
2020년12월_계_80~89세,"14,096","1,547",984,631,554,484,268,513,451,457,"1,033",867,356,297,651,247,354,752,419,188,"1,064","1,085",244,650
2020년12월_계_90~99세,"2,008",210,149,102,114,60,25,81,68,76,136,117,55,46,104,45,61,87,59,26,143,128,33,83
2020년12월_계_100세 이상,233,49,8,4,6,4,2,5,2,3,18,17,6,5,14,11,23,11,15,4,8,13,0,5
2020년12월_남_총인구수,"277,617","14,138","22,449","14,361","14,106","6,245","2,020","12,173","3,581","2,792","22,573","12,896","10,353","6,734","10,984","3,721","2,927","11,725","5,546","2,137","43,224","26,641","13,024","13,267"
2020년12월_남_연령구간인구수,"277,617","14,138","22,449","14,361","14,106","6,245","2,020","12,173","3,581","2,792","22,573","12,896","10,353","6,734","10,984","3,721","2,927","11,725","5,546","2,137","43,224","26,641","13,024","13,267"
2020년12월_남_0~9세,"25,032",802,"1,992",959,"2,114",246,52,"1,341",171,90,"1,502",659,"1,182",338,818,304,92,562,259,62,"5,623","2,934","1,783","1,147"
2020년12월_남_10~19세,"27,450",893,"2,956","1,054","1,612",455,123,923,247,149,"2,547","1,216",907,438,"1,120",257,166,928,341,119,"4,792","3,263","1,572","1,372"
2020년12월_남_20~29세,"40,268","1,711","3,119","1,953","1,300",905,227,"2,037",408,260,"3,986","1,995","1,422","1,372","1,597",575,407,"2,141",910,356,"5,892","3,785","1,794","2,116"
2020년12월_남_30~39세,"43,848","1,674","3,060","2,592","2,547",845,207,"2,439",370,208,"2,994","1,742","1,777","1,323","1,314",692,384,"1,631",885,253,"8,488","4,071","2,419","1,933"
2020년12월_남_40~49세,"49,886","2,198","4,419","3,020","3,048",998,305,"2,038",543,387,"3,866","2,205","1,996","1,182","1,910",668,474,"1,836",837,275,"8,312","4,541","2,696","2,132"
2020년12월_남_50~59세,"45,684","2,810","3,761","2,443","1,658","1,184",386,"1,730",754,567,"4,159","2,438","1,667","1,060","2,065",588,531,"2,195","1,016",433,"5,836","4,239","1,698","2,466"
2020년12월_남_60~69세,"27,424","2,204","1,936","1,448","1,075",942,406,996,585,579,"2,195","1,522",930,613,"1,328",370,462,"1,435",737,356,"2,827","2,413",740,"1,325"
2020년12월_남_70~79세,"12,461","1,211",827,645,550,483,218,475,326,376,952,766,327,282,563,167,264,690,391,207,"1,060",927,242,512
2020년12월_남_80~89세,"4,989",569,346,223,176,173,90,179,153,160,332,301,130,116,233,83,122,278,152,67,361,433,74,238
2020년12월_남_90~99세,502,50,33,24,26,13,5,12,24,16,33,43,13,9,30,12,15,26,14,8,31,34,6,25
2020년12월_남_100세 이상,73,16,0,0,0,1,1,3,0,0,7,9,2,1,6,5,10,3,4,1,2,1,0,1
2020년12월_여_총인구수,"259,690","13,558","21,219","9,649","12,599","5,156","1,663","10,879","3,136","2,519","21,381","12,558","9,506","5,837","11,058","3,725","2,843","11,054","5,140","1,950","41,947","27,128","12,010","13,175"
2020년12월_여_연령구간인구수,"259,690","13,558","21,219","9,649","12,599","5,156","1,663","10,879","3,136","2,519","21,381","12,558","9,506","5,837","11,058","3,725","2,843","11,054","5,140","1,950","41,947","27,128","12,010","13,175"
2020년12월_여_0~9세,"24,121",752,"2,025",973,"1,966",252,66,"1,351",141,67,"1,425",666,"1,150",374,804,286,77,501,284,60,"5,347","2,811","1,621","1,122"
2020년12월_여_10~19세,"25,764",822,"2,880",912,"1,525",374,85,937,242,146,"2,386","1,118",929,470,"1,101",240,135,825,313,85,"4,482","2,935","1,516","1,306"
2020년12월_여_20~29세,"33,162","1,244","2,643","1,089","1,025",593,133,"1,459",290,185,"3,113","1,654","1,209","1,049","1,338",468,323,"1,803",708,258,"5,506","3,600","1,574","1,898"
2020년12월_여_30~39세,"36,849","1,321","2,592","1,310","2,365",499,140,"2,024",241,147,"2,369","1,347","1,595",887,"1,277",573,251,"1,244",612,168,"7,977","4,018","2,214","1,678"
2020년12월_여_40~49세,"43,914","1,742","4,233","1,606","2,337",711,171,"1,633",357,235,"3,772","1,929","1,635",913,"1,806",540,316,"1,645",764,230,"7,929","4,906","2,400","2,104"
2020년12월_여_50~59세,"41,229","2,344","3,132","1,437","1,287",956,297,"1,597",559,413,"3,961","2,403","1,539",892,"2,022",563,472,"2,080",877,377,"5,660","4,379","1,493","2,489"
2020년12월_여_60~69세,"27,785","2,510","1,842","1,159","1,070",869,332,968,569,556,"2,287","1,720",781,613,"1,385",507,536,"1,527",773,383,"2,904","2,450",703,"1,341"
2020년12월_여_70~79세,"16,093","1,652","1,110",673,552,541,240,505,393,410,"1,253","1,073",396,417,825,345,442,886,486,247,"1,321","1,271",292,763
2020년12월_여_80~89세,"9,107",978,638,408,378,311,178,334,298,297,701,566,226,181,418,164,232,474,267,121,703,652,170,412
2020년12월_여_90~99세,"1,506",160,116,78,88,47,20,69,44,60,103,74,42,37,74,33,46,61,45,18,112,94,27,58
2020년12월_여_100세 이상,160,33,8,4,6,3,1,2,2,3,11,8,4,4,8,6,13,8,11,3,6,12,0,4
