카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년04월_계_총인구수,"41,758","8,617","1,670",845,"1,627","5,365","5,676","3,101","8,906","5,951"
2020년04월_계_연령구간인구수,"41,758","8,617","1,670",845,"1,627","5,365","5,676","3,101","8,906","5,951"
2020년04월_계_0~9세,"1,986",450,41,29,49,242,283,122,457,313
2020년04월_계_10~19세,"2,993",737,87,41,76,352,441,214,685,360
2020년04월_계_20~29세,"3,394",775,100,44,89,409,428,217,753,579
2020년04월_계_30~39세,"3,293",734,76,43,88,361,505,181,663,642
2020년04월_계_40~49세,"5,443","1,131",193,73,147,656,780,396,"1,166",901
2020년04월_계_50~59세,"8,186","1,607",361,179,364,"1,003","1,149",671,"1,727","1,125"
2020년04월_계_60~69세,"8,485","1,635",409,219,452,"1,169","1,155",674,"1,729","1,043"
2020년04월_계_70~79세,"5,032",911,264,137,234,713,614,367,"1,133",659
2020년04월_계_80~89세,"2,557",556,113,71,112,393,294,232,495,291
2020년04월_계_90~99세,349,73,26,9,15,62,27,26,80,31
2020년04월_계_100세 이상,40,8,0,0,1,5,0,1,18,7
2020년04월_남_총인구수,"21,394","4,385",885,434,855,"2,718","2,974","1,568","4,476","3,099"
2020년04월_남_연령구간인구수,"21,394","4,385",885,434,855,"2,718","2,974","1,568","4,476","3,099"
2020년04월_남_0~9세,997,231,18,19,22,121,131,61,240,154
2020년04월_남_10~19세,"1,580",377,48,22,34,176,247,112,354,210
2020년04월_남_20~29세,"1,955",445,60,29,55,241,245,122,422,336
2020년04월_남_30~39세,"1,793",386,48,17,48,195,281,91,347,380
2020년04월_남_40~49세,"2,999",604,124,38,81,377,419,222,632,502
2020년04월_남_50~59세,"4,361",860,198,92,197,529,614,359,900,612
2020년04월_남_60~69세,"4,386",845,232,125,259,599,606,349,879,492
2020년04월_남_70~79세,"2,326",433,120,59,116,324,315,162,513,284
2020년04월_남_80~89세,904,187,34,32,41,137,109,81,167,116
2020년04월_남_90~99세,82,15,3,1,2,18,7,8,17,11
2020년04월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년04월_여_총인구수,"20,364","4,232",785,411,772,"2,647","2,702","1,533","4,430","2,852"
2020년04월_여_연령구간인구수,"20,364","4,232",785,411,772,"2,647","2,702","1,533","4,430","2,852"
2020년04월_여_0~9세,989,219,23,10,27,121,152,61,217,159
2020년04월_여_10~19세,"1,413",360,39,19,42,176,194,102,331,150
2020년04월_여_20~29세,"1,439",330,40,15,34,168,183,95,331,243
2020년04월_여_30~39세,"1,500",348,28,26,40,166,224,90,316,262
2020년04월_여_40~49세,"2,444",527,69,35,66,279,361,174,534,399
2020년04월_여_50~59세,"3,825",747,163,87,167,474,535,312,827,513
2020년04월_여_60~69세,"4,099",790,177,94,193,570,549,325,850,551
2020년04월_여_70~79세,"2,706",478,144,78,118,389,299,205,620,375
2020년04월_여_80~89세,"1,653",369,79,39,71,256,185,151,328,175
2020년04월_여_90~99세,267,58,23,8,13,44,20,18,63,20
2020년04월_여_100세 이상,29,6,0,0,1,4,0,0,13,5
