,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년05월_계_총인구수,"176,411","52,645","8,560","81,717","25,518","7,971"
2021년05월_계_연령구간인구수,"176,411","52,645","8,560","81,717","25,518","7,971"
2021년05월_계_0~9세,"18,872","3,073",410,"11,758","3,276",355
2021년05월_계_10~19세,"17,745","4,329",407,"10,761","1,812",436
2021년05월_계_20~29세,"17,148","6,259","1,015","6,640","2,537",697
2021년05월_계_30~39세,"24,698","5,553","1,027","12,850","4,610",658
2021년05월_계_40~49세,"32,714","8,064",956,"18,653","4,046",995
2021년05월_계_50~59세,"24,502","9,331","1,518","8,568","3,705","1,380"
2021년05월_계_60~69세,"22,033","8,409","1,657","6,971","3,190","1,806"
2021년05월_계_70~79세,"12,572","5,007",958,"3,932","1,583","1,092"
2021년05월_계_80~89세,"5,358","2,307",517,"1,393",652,489
2021년05월_계_90~99세,737,299,90,187,102,59
2021년05월_계_100세 이상,32,14,5,4,5,4
2021년05월_남_총인구수,"87,367","25,694","4,592","40,376","12,678","4,027"
2021년05월_남_연령구간인구수,"87,367","25,694","4,592","40,376","12,678","4,027"
2021년05월_남_0~9세,"9,629","1,625",213,"5,990","1,633",168
2021년05월_남_10~19세,"9,215","2,255",229,"5,585",920,226
2021년05월_남_20~29세,"9,083","3,328",605,"3,337","1,389",424
2021년05월_남_30~39세,"12,297","2,928",604,"6,116","2,302",347
2021년05월_남_40~49세,"16,723","4,029",562,"9,503","2,081",548
2021년05월_남_50~59세,"12,451","4,620",864,"4,442","1,818",707
2021년05월_남_60~69세,"10,264","3,942",857,"3,031","1,563",871
2021년05월_남_70~79세,"5,724","2,112",481,"1,835",745,551
2021년05월_남_80~89세,"1,836",799,157,504,205,171
2021년05월_남_90~99세,143,55,19,33,22,14
2021년05월_남_100세 이상,2,1,1,0,0,0
2021년05월_여_총인구수,"89,044","26,951","3,968","41,341","12,840","3,944"
2021년05월_여_연령구간인구수,"89,044","26,951","3,968","41,341","12,840","3,944"
2021년05월_여_0~9세,"9,243","1,448",197,"5,768","1,643",187
2021년05월_여_10~19세,"8,530","2,074",178,"5,176",892,210
2021년05월_여_20~29세,"8,065","2,931",410,"3,303","1,148",273
2021년05월_여_30~39세,"12,401","2,625",423,"6,734","2,308",311
2021년05월_여_40~49세,"15,991","4,035",394,"9,150","1,965",447
2021년05월_여_50~59세,"12,051","4,711",654,"4,126","1,887",673
2021년05월_여_60~69세,"11,769","4,467",800,"3,940","1,627",935
2021년05월_여_70~79세,"6,848","2,895",477,"2,097",838,541
2021년05월_여_80~89세,"3,522","1,508",360,889,447,318
2021년05월_여_90~99세,594,244,71,154,80,45
2021년05월_여_100세 이상,30,13,4,4,5,4
