,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년06월_계_총인구수,"68,055","24,689","2,905","3,189","2,782","6,080","2,795","1,995","2,955","2,110","2,405","4,816","3,741","4,001","3,592"
2021년06월_계_연령구간인구수,"68,055","24,689","2,905","3,189","2,782","6,080","2,795","1,995","2,955","2,110","2,405","4,816","3,741","4,001","3,592"
2021년06월_계_0~9세,"3,788","2,218",86,121,63,276,92,42,80,68,72,179,177,186,128
2021년06월_계_10~19세,"5,084","2,886",145,125,126,350,164,88,149,80,123,238,192,225,193
2021년06월_계_20~29세,"5,531","2,762",215,201,146,461,176,127,200,84,136,285,234,258,246
2021년06월_계_30~39세,"4,804","2,464",151,187,123,370,127,74,120,100,104,266,253,237,228
2021년06월_계_40~49세,"7,847","3,778",261,285,232,627,242,161,308,195,233,405,376,374,370
2021년06월_계_50~59세,"11,423","4,099",552,519,482,"1,057",463,330,492,291,417,820,609,681,611
2021년06월_계_60~69세,"12,627","3,354",621,676,633,"1,236",584,417,580,469,473,"1,175",747,869,793
2021년06월_계_70~79세,"9,882","2,009",519,641,563,982,557,412,538,406,460,825,687,708,575
2021년06월_계_80~89세,"6,146",969,301,395,358,647,348,302,411,362,326,548,405,398,376
2021년06월_계_90~99세,882,148,52,38,51,71,41,42,70,54,56,70,60,63,66
2021년06월_계_100세 이상,41,2,2,1,5,3,1,0,7,1,5,5,1,2,6
2021년06월_남_총인구수,"33,683","12,141","1,463","1,587","1,388","2,978","1,356",948,"1,482",988,"1,219","2,365","1,912","2,003","1,853"
2021년06월_남_연령구간인구수,"33,683","12,141","1,463","1,587","1,388","2,978","1,356",948,"1,482",988,"1,219","2,365","1,912","2,003","1,853"
2021년06월_남_0~9세,"1,914","1,110",42,67,34,136,42,24,44,30,43,86,90,99,67
2021년06월_남_10~19세,"2,639","1,478",81,64,67,175,87,45,83,44,70,130,98,121,96
2021년06월_남_20~29세,"3,117","1,501",117,100,95,284,100,70,104,54,87,178,132,165,130
2021년06월_남_30~39세,"2,560","1,215",91,119,80,215,63,40,73,46,60,153,143,120,142
2021년06월_남_40~49세,"4,386","1,825",162,187,138,369,147,104,190,125,154,244,269,220,252
2021년06월_남_50~59세,"6,331","2,149",299,305,281,553,258,191,290,162,260,460,357,393,373
2021년06월_남_60~69세,"6,339","1,629",332,329,331,592,288,210,311,230,241,587,405,434,420
2021년06월_남_70~79세,"4,330",905,225,287,243,437,247,161,235,177,195,352,293,325,248
2021년06월_남_80~89세,"1,908",299,102,121,112,209,111,98,139,107,97,164,120,117,112
2021년06월_남_90~99세,159,30,12,8,7,8,13,5,13,13,12,11,5,9,13
2021년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"34,372","12,548","1,442","1,602","1,394","3,102","1,439","1,047","1,473","1,122","1,186","2,451","1,829","1,998","1,739"
2021년06월_여_연령구간인구수,"34,372","12,548","1,442","1,602","1,394","3,102","1,439","1,047","1,473","1,122","1,186","2,451","1,829","1,998","1,739"
2021년06월_여_0~9세,"1,874","1,108",44,54,29,140,50,18,36,38,29,93,87,87,61
2021년06월_여_10~19세,"2,445","1,408",64,61,59,175,77,43,66,36,53,108,94,104,97
2021년06월_여_20~29세,"2,414","1,261",98,101,51,177,76,57,96,30,49,107,102,93,116
2021년06월_여_30~39세,"2,244","1,249",60,68,43,155,64,34,47,54,44,113,110,117,86
2021년06월_여_40~49세,"3,461","1,953",99,98,94,258,95,57,118,70,79,161,107,154,118
2021년06월_여_50~59세,"5,092","1,950",253,214,201,504,205,139,202,129,157,360,252,288,238
2021년06월_여_60~69세,"6,288","1,725",289,347,302,644,296,207,269,239,232,588,342,435,373
2021년06월_여_70~79세,"5,552","1,104",294,354,320,545,310,251,303,229,265,473,394,383,327
2021년06월_여_80~89세,"4,238",670,199,274,246,438,237,204,272,255,229,384,285,281,264
2021년06월_여_90~99세,723,118,40,30,44,63,28,37,57,41,44,59,55,54,53
2021년06월_여_100세 이상,41,2,2,1,5,3,1,0,7,1,5,5,1,2,6
