카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년07월_계_총인구수,"132,269","6,709","1,911","1,272","2,016","2,183",702,"3,288","4,609","18,723","9,955","5,822","4,908","10,212","18,011","11,143","15,511","15,294"
2021년07월_계_연령구간인구수,"132,269","6,709","1,911","1,272","2,016","2,183",702,"3,288","4,609","18,723","9,955","5,822","4,908","10,212","18,011","11,143","15,511","15,294"
2021년07월_계_0~9세,"8,381",251,37,24,36,71,19,74,98,"1,519",784,241,199,770,"1,308",704,647,"1,599"
2021년07월_계_10~19세,"11,492",337,88,42,66,190,33,134,206,"2,291","1,092",392,288,903,"1,790","1,159","1,099","1,382"
2021년07월_계_20~29세,"14,626",480,110,69,74,72,34,165,351,"2,285","1,271",662,558,"1,047","2,686","1,347","1,863","1,552"
2021년07월_계_30~39세,"12,626",394,94,62,79,79,37,133,229,"1,911","1,012",461,411,"1,101","2,143","1,001","1,396","2,083"
2021년07월_계_40~49세,"17,922",681,135,78,131,168,65,232,386,"3,195","1,603",714,529,"1,429","2,661","1,712","1,849","2,354"
2021년07월_계_50~59세,"23,521","1,262",358,262,386,358,141,587,859,"3,459","1,782","1,000",895,"1,735","3,080","2,146","2,832","2,379"
2021년07월_계_60~69세,"23,923","1,754",560,366,606,600,194,"1,029","1,278","2,419","1,404","1,239","1,119","1,692","2,544","1,664","3,332","2,123"
2021년07월_계_70~79세,"12,361",922,275,213,380,386,93,526,702,"1,083",616,742,629,972,"1,090",902,"1,679","1,151"
2021년07월_계_80~89세,"6,537",551,214,145,237,222,71,360,429,505,336,327,259,491,638,442,710,600
2021년07월_계_90~99세,822,76,34,11,21,37,14,48,66,51,52,40,20,56,69,62,98,67
2021년07월_계_100세 이상,58,1,6,0,0,0,1,0,5,5,3,4,1,16,2,4,6,4
2021년07월_남_총인구수,"66,444","3,442","1,021",655,"1,050","1,113",358,"1,686","2,423","9,222","4,912","2,896","2,449","5,118","8,980","5,580","7,806","7,733"
2021년07월_남_연령구간인구수,"66,444","3,442","1,021",655,"1,050","1,113",358,"1,686","2,423","9,222","4,912","2,896","2,449","5,118","8,980","5,580","7,806","7,733"
2021년07월_남_0~9세,"4,296",137,25,16,19,42,8,42,46,776,425,110,103,408,649,361,321,808
2021년07월_남_10~19세,"5,960",170,53,20,34,102,17,73,119,"1,160",554,207,149,480,909,610,602,701
2021년07월_남_20~29세,"8,142",270,70,38,51,44,24,98,216,"1,229",675,347,324,591,"1,475",757,"1,066",867
2021년07월_남_30~39세,"6,669",225,58,42,54,41,21,79,153,951,502,268,228,548,"1,145",518,794,"1,042"
2021년07월_남_40~49세,"9,219",383,76,48,82,106,38,135,241,"1,531",781,369,288,761,"1,313",821,975,"1,271"
2021년07월_남_50~59세,"12,007",679,202,137,204,190,80,304,446,"1,724",890,514,454,875,"1,535","1,129","1,382","1,262"
2021년07월_남_60~69세,"11,965",915,315,195,326,311,100,544,682,"1,209",695,583,508,823,"1,307",842,"1,580","1,030"
2021년07월_남_70~79세,"5,602",439,136,102,188,192,40,263,337,457,264,350,290,430,439,370,801,504
2021년07월_남_80~89세,"2,388",209,76,56,87,79,25,138,161,176,113,137,100,182,192,159,265,233
2021년07월_남_90~99세,180,15,9,1,5,6,4,10,20,9,12,9,5,13,16,12,19,15
2021년07월_남_100세 이상,16,0,1,0,0,0,1,0,2,0,1,2,0,7,0,1,1,0
2021년07월_여_총인구수,"65,825","3,267",890,617,966,"1,070",344,"1,602","2,186","9,501","5,043","2,926","2,459","5,094","9,031","5,563","7,705","7,561"
2021년07월_여_연령구간인구수,"65,825","3,267",890,617,966,"1,070",344,"1,602","2,186","9,501","5,043","2,926","2,459","5,094","9,031","5,563","7,705","7,561"
2021년07월_여_0~9세,"4,085",114,12,8,17,29,11,32,52,743,359,131,96,362,659,343,326,791
2021년07월_여_10~19세,"5,532",167,35,22,32,88,16,61,87,"1,131",538,185,139,423,881,549,497,681
2021년07월_여_20~29세,"6,484",210,40,31,23,28,10,67,135,"1,056",596,315,234,456,"1,211",590,797,685
2021년07월_여_30~39세,"5,957",169,36,20,25,38,16,54,76,960,510,193,183,553,998,483,602,"1,041"
2021년07월_여_40~49세,"8,703",298,59,30,49,62,27,97,145,"1,664",822,345,241,668,"1,348",891,874,"1,083"
2021년07월_여_50~59세,"11,514",583,156,125,182,168,61,283,413,"1,735",892,486,441,860,"1,545","1,017","1,450","1,117"
2021년07월_여_60~69세,"11,958",839,245,171,280,289,94,485,596,"1,210",709,656,611,869,"1,237",822,"1,752","1,093"
2021년07월_여_70~79세,"6,759",483,139,111,192,194,53,263,365,626,352,392,339,542,651,532,878,647
2021년07월_여_80~89세,"4,149",342,138,89,150,143,46,222,268,329,223,190,159,309,446,283,445,367
2021년07월_여_90~99세,642,61,25,10,16,31,10,38,46,42,40,31,15,43,53,50,79,52
2021년07월_여_100세 이상,42,1,5,0,0,0,0,0,3,5,2,2,1,9,2,3,5,4
