카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년10월_계_총인구수,"106,814","5,391","4,209","2,810","2,081","2,760","1,752","1,776","2,045","2,511","3,394","2,789","1,668","2,282","1,202","2,091","17,148","2,965","20,377","3,223","10,279","6,050","4,073","3,938"
2021년10월_계_연령구간인구수,"106,814","5,391","4,209","2,810","2,081","2,760","1,752","1,776","2,045","2,511","3,394","2,789","1,668","2,282","1,202","2,091","17,148","2,965","20,377","3,223","10,279","6,050","4,073","3,938"
2021년10월_계_0~9세,"5,915",220,165,55,58,70,45,34,35,72,63,59,43,78,26,55,"1,326",145,"1,524",148,922,465,185,122
2021년10월_계_10~19세,"9,338",351,258,132,81,111,69,100,88,101,163,65,69,139,52,86,"1,917",273,"2,685",245,"1,325",506,302,220
2021년10월_계_20~29세,"10,254",371,372,181,109,147,103,126,112,145,222,127,78,141,65,109,"2,137",315,"2,429",327,"1,201",599,405,433
2021년10월_계_30~39세,"8,445",341,292,133,118,180,85,83,96,139,163,164,100,103,47,95,"1,847",232,"1,774",230,"1,022",604,281,316
2021년10월_계_40~49세,"14,140",591,443,228,164,252,145,175,168,206,312,214,142,221,79,179,"3,009",461,"3,338",351,"1,674",911,464,413
2021년10월_계_50~59세,"18,140",853,826,519,350,423,246,325,318,443,545,421,256,397,231,363,"3,032",539,"3,410",519,"1,710",968,763,683
2021년10월_계_60~69세,"17,718","1,048",826,625,427,623,396,381,446,549,744,679,361,450,290,464,"2,045",435,"2,634",628,"1,249",913,784,721
2021년10월_계_70~79세,"13,119",936,571,478,402,513,353,295,393,457,598,580,325,397,232,401,"1,180",327,"1,636",488,774,719,507,557
2021년10월_계_80~89세,"8,445",595,395,400,333,378,263,214,335,350,499,415,246,315,157,297,576,210,825,242,364,302,336,398
2021년10월_계_90~99세,"1,240",81,57,57,38,61,45,42,53,48,81,59,46,41,21,41,71,27,119,45,37,61,39,70
2021년10월_계_100세 이상,60,4,4,2,1,2,2,1,1,1,4,6,2,0,2,1,8,1,3,0,1,2,7,5
2021년10월_남_총인구수,"53,040","2,648","2,133","1,409","1,075","1,374",861,891,"1,008","1,269","1,693","1,406",847,"1,173",608,"1,050","8,679","1,453","9,827","1,561","5,077","3,014","1,950","2,034"
2021년10월_남_연령구간인구수,"53,040","2,648","2,133","1,409","1,075","1,374",861,891,"1,008","1,269","1,693","1,406",847,"1,173",608,"1,050","8,679","1,453","9,827","1,561","5,077","3,014","1,950","2,034"
2021년10월_남_0~9세,"3,033",106,73,30,34,32,25,16,19,43,36,36,21,34,13,25,673,71,779,80,503,230,87,67
2021년10월_남_10~19세,"4,949",210,135,75,46,55,38,57,61,47,92,41,37,87,30,39,"1,030",133,"1,335",123,737,260,161,120
2021년10월_남_20~29세,"5,704",209,220,110,69,96,55,73,70,91,127,69,44,88,39,54,"1,196",166,"1,286",195,669,323,216,239
