,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년03월_계_총인구수,"28,155","10,262","1,583","2,071","1,777","1,766","1,477","2,018","2,254","1,354","1,191","2,402"
2020년03월_계_연령구간인구수,"28,155","10,262","1,583","2,071","1,777","1,766","1,477","2,018","2,254","1,354","1,191","2,402"
2020년03월_계_0~9세,"1,619",910,59,81,68,57,69,75,131,45,54,70
2020년03월_계_10~19세,"2,280","1,324",100,110,96,74,75,123,140,47,62,129
2020년03월_계_20~29세,"2,154",986,103,110,106,115,88,149,139,119,95,144
2020년03월_계_30~39세,"2,127","1,070",101,120,115,106,113,101,143,82,71,105
2020년03월_계_40~49세,"3,416","1,644",142,217,205,151,121,204,241,127,130,234
2020년03월_계_50~59세,"4,652","1,536",300,358,269,328,257,378,410,219,168,429
2020년03월_계_60~69세,"4,623","1,257",287,382,327,382,263,410,419,240,199,457
2020년03월_계_70~79세,"4,200",943,261,399,328,291,262,342,401,266,224,483
2020년03월_계_80~89세,"2,690",507,199,255,232,234,204,209,194,182,172,302
2020년03월_계_90~99세,365,79,27,36,29,26,23,27,33,24,15,46
2020년03월_계_100세 이상,29,6,4,3,2,2,2,0,3,3,1,3
2020년03월_남_총인구수,"13,671","4,972",768,"1,016",872,869,726,"1,001","1,078",655,554,"1,160"
2020년03월_남_연령구간인구수,"13,671","4,972",768,"1,016",872,869,726,"1,001","1,078",655,554,"1,160"
2020년03월_남_0~9세,840,480,30,42,33,28,39,33,71,14,35,35
2020년03월_남_10~19세,"1,162",668,51,56,50,41,37,73,68,24,28,66
2020년03월_남_20~29세,"1,174",518,62,60,60,71,51,76,82,75,41,78
2020년03월_남_30~39세,"1,038",482,47,68,73,59,54,56,59,46,37,57
2020년03월_남_40~49세,"1,942",860,77,148,129,99,78,121,131,76,80,143
2020년03월_남_50~59세,"2,535",809,181,191,153,175,155,197,216,125,95,238
2020년03월_남_60~69세,"2,331",589,149,220,167,210,132,223,214,114,94,219
2020년03월_남_70~79세,"1,684",378,111,138,134,111,104,143,167,110,96,192
2020년03월_남_80~89세,865,163,54,87,67,67,71,71,57,63,47,118
2020년03월_남_90~99세,99,24,6,6,6,8,5,8,13,8,1,14
2020년03월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"14,484","5,290",815,"1,055",905,897,751,"1,017","1,176",699,637,"1,242"
2020년03월_여_연령구간인구수,"14,484","5,290",815,"1,055",905,897,751,"1,017","1,176",699,637,"1,242"
2020년03월_여_0~9세,779,430,29,39,35,29,30,42,60,31,19,35
2020년03월_여_10~19세,"1,118",656,49,54,46,33,38,50,72,23,34,63
2020년03월_여_20~29세,980,468,41,50,46,44,37,73,57,44,54,66
2020년03월_여_30~39세,"1,089",588,54,52,42,47,59,45,84,36,34,48
2020년03월_여_40~49세,"1,474",784,65,69,76,52,43,83,110,51,50,91
2020년03월_여_50~59세,"2,117",727,119,167,116,153,102,181,194,94,73,191
2020년03월_여_60~69세,"2,292",668,138,162,160,172,131,187,205,126,105,238
2020년03월_여_70~79세,"2,516",565,150,261,194,180,158,199,234,156,128,291
2020년03월_여_80~89세,"1,825",344,145,168,165,167,133,138,137,119,125,184
2020년03월_여_90~99세,266,55,21,30,23,18,18,19,20,16,14,32
2020년03월_여_100세 이상,28,5,4,3,2,2,2,0,3,3,1,3
