,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년10월_계_총인구수,"294,852","25,649","29,078","19,371","15,813","19,117","23,179","27,924","19,986","35,036","20,889","33,248","25,562"
2021년10월_계_연령구간인구수,"294,852","25,649","29,078","19,371","15,813","19,117","23,179","27,924","19,986","35,036","20,889","33,248","25,562"
2021년10월_계_0~9세,"17,340","1,349","1,752",743,595,827,"1,435","1,671",962,"2,580","1,339","1,545","2,542"
2021년10월_계_10~19세,"25,653","2,236","2,605","1,188",904,"1,426","2,502","2,669","1,378","3,579","1,722","2,574","2,870"
2021년10월_계_20~29세,"42,481","3,533","4,114","2,874","2,388","3,210","3,721","4,115","2,843","5,176","2,879","4,872","2,756"
2021년10월_계_30~39세,"37,626","3,050","3,393","2,443","2,151","2,788","2,540","3,404","2,763","4,776","2,503","4,298","3,517"
2021년10월_계_40~49세,"44,549","3,622","4,287","2,640","1,962","2,440","3,820","4,284","2,638","5,822","3,094","4,796","5,144"
2021년10월_계_50~59세,"59,457","5,133","5,837","4,152","3,345","4,127","5,153","5,620","3,989","7,011","4,157","6,960","3,973"
2021년10월_계_60~69세,"43,000","4,220","4,526","3,348","2,887","3,008","2,742","4,037","3,393","3,892","3,143","4,812","2,992"
2021년10월_계_70~79세,"15,729","1,619","1,734","1,309","1,052",767,649,"1,357","1,328","1,317","1,291","2,117","1,189"
2021년10월_계_80~89세,"7,780",768,734,596,449,453,500,670,603,754,649,"1,109",495
2021년10월_계_90~99세,"1,206",114,92,76,80,70,113,96,88,124,111,158,84
2021년10월_계_100세 이상,31,5,4,2,0,1,4,1,1,5,1,7,0
2021년10월_남_총인구수,"146,853","12,871","14,711","10,204","7,867","9,138","11,729","13,687","9,869","17,448","10,331","16,415","12,583"
2021년10월_남_연령구간인구수,"146,853","12,871","14,711","10,204","7,867","9,138","11,729","13,687","9,869","17,448","10,331","16,415","12,583"
2021년10월_남_0~9세,"8,826",689,903,403,289,420,732,836,473,"1,307",713,779,"1,282"
2021년10월_남_10~19세,"13,121","1,179","1,336",614,474,747,"1,261","1,357",707,"1,777",879,"1,293","1,497"
2021년10월_남_20~29세,"22,280","1,885","2,266","1,545","1,204","1,627","1,956","2,155","1,478","2,743","1,464","2,581","1,376"
2021년10월_남_30~39세,"19,666","1,576","1,814","1,390","1,178","1,423","1,315","1,729","1,484","2,504","1,272","2,285","1,696"
2021년10월_남_40~49세,"22,262","1,820","2,137","1,450","1,017","1,105","1,884","2,083","1,366","2,827","1,556","2,350","2,667"
2021년10월_남_50~59세,"28,887","2,526","2,838","2,214","1,592","1,823","2,545","2,683","1,886","3,434","2,014","3,406","1,926"
2021년10월_남_60~69세,"21,881","2,148","2,304","1,755","1,449","1,510","1,566","2,004","1,649","2,039","1,600","2,462","1,395"
2021년10월_남_70~79세,"7,142",760,833,623,491,339,308,617,594,561,579,895,542
2021년10월_남_80~89세,"2,525",258,263,191,155,128,144,198,213,230,237,330,178
2021년10월_남_90~99세,256,29,17,19,18,15,17,24,19,25,17,32,24
2021년10월_남_100세 이상,7,1,0,0,0,1,1,1,0,1,0,2,0
2021년10월_여_총인구수,"147,999","12,778","14,367","9,167","7,946","9,979","11,450","14,237","10,117","17,588","10,558","16,833","12,979"
2021년10월_여_연령구간인구수,"147,999","12,778","14,367","9,167","7,946","9,979","11,450","14,237","10,117","17,588","10,558","16,833","12,979"
2021년10월_여_0~9세,"8,514",660,849,340,306,407,703,835,489,"1,273",626,766,"1,260"
2021년10월_여_10~19세,"12,532","1,057","1,269",574,430,679,"1,241","1,312",671,"1,802",843,"1,281","1,373"
2021년10월_여_20~29세,"20,201","1,648","1,848","1,329","1,184","1,583","1,765","1,960","1,365","2,433","1,415","2,291","1,380"
2021년10월_여_30~39세,"17,960","1,474","1,579","1,053",973,"1,365","1,225","1,675","1,279","2,272","1,231","2,013","1,821"
2021년10월_여_40~49세,"22,287","1,802","2,150","1,190",945,"1,335","1,936","2,201","1,272","2,995","1,538","2,446","2,477"
2021년10월_여_50~59세,"30,570","2,607","2,999","1,938","1,753","2,304","2,608","2,937","2,103","3,577","2,143","3,554","2,047"
2021년10월_여_60~69세,"21,119","2,072","2,222","1,593","1,438","1,498","1,176","2,033","1,744","1,853","1,543","2,350","1,597"
2021년10월_여_70~79세,"8,587",859,901,686,561,428,341,740,734,756,712,"1,222",647
2021년10월_여_80~89세,"5,255",510,471,405,294,325,356,472,390,524,412,779,317
2021년10월_여_90~99세,950,85,75,57,62,55,96,72,69,99,94,126,60
2021년10월_여_100세 이상,24,4,4,2,0,0,3,0,1,4,1,5,0
