카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년12월_계_총인구수,"652,726","350,668","24,691","23,874","32,603","32,581","41,279","37,238","26,186","19,572","21,624","38,102","26,272","17,516","9,130","302,058","38,243","21,554","24,506","43,745","6,045","21,344","22,471","46,921","17,672","15,948","34,549","9,060"
2021년12월_계_연령구간인구수,"652,726","350,668","24,691","23,874","32,603","32,581","41,279","37,238","26,186","19,572","21,624","38,102","26,272","17,516","9,130","302,058","38,243","21,554","24,506","43,745","6,045","21,344","22,471","46,921","17,672","15,948","34,549","9,060"
2021년12월_계_0~9세,"41,776","21,870","1,561",968,"1,652","2,288","4,380","2,358","1,397",835,"1,352","2,059","1,576","1,010",434,"19,906","2,419","1,086","1,445","3,311",265,"1,579","1,506","3,675","1,260",825,"2,232",303
2021년12월_계_10~19세,"61,237","33,057","2,370","1,524","2,681","3,436","5,150","3,821","2,606","1,579","2,061","3,446","2,420","1,213",750,"28,180","3,709","1,784","1,974","5,072",309,"1,908","2,400","4,481","1,357","1,446","3,382",358
2021년12월_계_20~29세,"105,330","57,795","3,719","4,359","5,936","5,247","7,200","5,815","4,281","3,387","3,302","6,964","4,414","2,062","1,109","47,535","5,833","4,076","5,139","7,207",443,"3,150","3,050","7,308","2,609","2,442","5,571",707
2021년12월_계_30~39세,"85,216","43,876","3,015","3,674","4,566","4,129","5,658","4,472","2,884","2,360","2,355","4,476","3,289","2,079",919,"41,340","4,889","3,136","3,859","5,425",605,"3,229","2,769","7,305","2,942","1,787","4,720",674
2021년12월_계_40~49세,"103,891","55,489","4,277","3,806","5,243","5,302","7,113","6,519","4,063","2,933","3,406","5,646","3,381","2,511","1,289","48,402","6,826","3,080","3,549","6,979",920,"3,101","3,916","7,851","2,694","2,641","5,863",982
2021년12월_계_50~59세,"128,126","69,321","4,743","4,560","6,402","6,325","6,907","7,408","5,484","4,145","4,750","8,062","5,501","3,168","1,866","58,805","7,582","4,129","4,300","8,873","1,567","4,124","4,383","8,310","3,273","3,487","6,824","1,953"
2021년12월_계_60~69세,"79,223","42,156","2,822","2,913","3,190","3,761","3,567","4,059","3,204","2,526","2,671","4,783","3,811","3,161","1,688","37,067","4,303","2,597","2,955","4,816","1,074","2,878","2,854","4,884","2,306","2,078","3,967","2,355"
2021년12월_계_70~79세,"30,184","16,881","1,424","1,322","1,562","1,301",867,"1,758","1,420","1,098","1,070","1,622","1,156","1,573",708,"13,303","1,724","1,072",826,"1,256",570,977,"1,022","1,941",794,798,"1,245","1,078"
2021년12월_계_80~89세,"15,378","8,853",667,641,"1,158",686,364,918,735,637,588,910,591,638,320,"6,525",831,527,381,679,271,358,493,998,381,391,656,559
2021년12월_계_90~99세,"2,287","1,326",90,102,204,103,73,108,108,72,66,127,129,98,46,961,121,66,77,125,20,35,77,163,54,49,87,87
2021년12월_계_100세 이상,78,44,3,5,9,3,0,2,4,0,3,7,4,3,1,34,6,1,1,2,1,5,1,5,2,4,2,4
2021년12월_남_총인구수,"334,646","178,943","12,606","12,812","17,137","16,491","20,790","19,342","12,989","9,743","11,108","19,447","12,847","8,837","4,794","155,703","20,194","10,787","12,227","21,946","3,471","10,723","12,061","24,090","9,070","8,620","17,758","4,756"
2021년12월_남_연령구간인구수,"334,646","178,943","12,606","12,812","17,137","16,491","20,790","19,342","12,989","9,743","11,108","19,447","12,847","8,837","4,794","155,703","20,194","10,787","12,227","21,946","3,471","10,723","12,061","24,090","9,070","8,620","17,758","4,756"
2021년12월_남_0~9세,"21,370","11,174",793,484,859,"1,197","2,162","1,243",708,435,681,"1,059",832,501,220,"10,196","1,236",544,747,"1,676",134,813,776,"1,887",661,404,"1,144",174
2021년12월_남_10~19세,"31,490","16,928","1,142",791,"1,396","1,763","2,607","1,999","1,285",798,"1,026","1,847","1,254",633,387,"14,562","1,951",923,"1,001","2,610",157,949,"1,230","2,285",715,790,"1,761",190
2021년12월_남_20~29세,"55,970","30,744","1,927","2,311","3,282","2,771","3,841","3,122","2,214","1,756","1,746","3,718","2,304","1,120",632,"25,226","3,229","2,030","2,543","3,721",278,"1,606","1,760","3,950","1,404","1,303","2,998",404
2021년12월_남_30~39세,"46,519","23,853","1,645","2,184","2,670","2,188","2,771","2,434","1,546","1,291","1,317","2,439","1,699","1,139",530,"22,666","2,772","1,762","2,078","2,735",359,"1,725","1,579","4,051","1,652","1,018","2,550",385
2021년12월_남_40~49세,"53,374","28,364","2,289","2,162","2,838","2,668","3,437","3,407","1,966","1,455","1,767","2,791","1,538","1,353",693,"25,010","3,679","1,557","1,737","3,278",553,"1,561","2,189","4,017","1,411","1,473","2,993",562
