카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년05월_계_총인구수,"3,351,347","1,040,773","262,729","217,430","175,239","192,751","192,624","347,519","129,997","111,268","543,072","105,139","247,096","351,373","26,954","64,775","61,873","51,876","43,149","45,628","35,152","39,353","61,729","44,621"
2020년05월_계_연령구간인구수,"3,351,347","1,040,773","262,729","217,430","175,239","192,751","192,624","347,519","129,997","111,268","543,072","105,139","247,096","351,373","26,954","64,775","61,873","51,876","43,149","45,628","35,152","39,353","61,729","44,621"
2020년05월_계_0~9세,"278,992","86,079","22,031","17,354","12,691","13,921","20,082","29,055","10,343","8,478","51,151","5,819","27,979","35,747","1,135","4,381","3,496","2,780","1,626","2,003","1,464","1,912","3,861","1,683"
2020년05월_계_10~19세,"328,148","101,411","24,096","23,771","13,892","18,668","20,984","35,793","12,941","10,403","62,130","8,025","27,969","34,115","1,576","6,008","4,203","4,111","3,016","3,004","2,152","3,013","5,740","2,538"
2020년05월_계_20~29세,"382,204","132,030","36,432","33,160","19,262","22,756","20,420","44,840","11,494","10,844","69,270","9,279","24,770","41,056","2,059","5,650","5,067","4,005","3,273","3,671","2,528","3,217","5,994","3,157"
2020년05월_계_30~39세,"413,442","137,557","35,880","30,221","20,803","22,589","28,064","42,221","14,829","12,367","71,794","9,137","38,752","51,003","1,844","5,995","5,366","4,174","2,562","2,934","2,276","2,723","5,163","2,745"
2020년05월_계_40~49세,"540,178","169,124","41,325","36,675","25,605","30,672","34,847","54,667","21,616","17,807","99,343","13,152","47,480","60,307","2,935","9,546","7,185","6,578","4,687","5,273","3,604","4,502","7,937","4,435"
2020년05월_계_50~59세,"584,327","188,082","50,907","43,970","29,826","35,063","28,316","57,852","22,829","18,520","95,858","19,159","38,780","58,399","4,692","11,391","11,195","9,244","7,463","8,631","6,658","7,015","10,614","7,945"
2020년05월_계_60~69세,"442,255","135,480","32,654","22,249","29,081","28,954","22,542","43,899","19,630","15,788","55,184","20,336","25,048","40,750","5,220","10,624","11,716","9,385","8,022","8,597","6,981","7,032","9,795","8,768"
2020년05월_계_70~79세,"242,664","62,000","13,035","6,695","16,266","14,413","11,591","25,348","11,065","10,670","25,797","12,467","10,594","20,493","4,068","6,660","8,047","6,824","6,820","6,441","5,323","5,570","7,128","7,349"
2020년05월_계_80~89세,"121,840","25,559","5,588","2,884","6,811","5,118","5,158","12,067","4,607","5,581","11,136","6,835","4,906","8,415","2,980","3,979","4,936","4,146","4,838","4,357","3,618","3,795","4,775","5,310"
2020년05월_계_90~99세,"16,527","3,273",747,430,936,559,601,"1,685",616,784,"1,332",888,777,"1,031",436,530,636,613,824,693,531,541,681,656
2020년05월_계_100세 이상,770,178,34,21,66,38,19,92,27,26,77,42,41,57,9,11,26,16,18,24,17,33,41,35
2020년05월_남_총인구수,"1,687,289","527,377","133,709","111,068","87,221","96,813","98,566","172,037","65,363","56,099","274,740","51,488","129,761","176,340","13,180","32,826","30,755","26,048","20,747","22,723","17,246","18,973","30,135","21,451"
2020년05월_남_연령구간인구수,"1,687,289","527,377","133,709","111,068","87,221","96,813","98,566","172,037","65,363","56,099","274,740","51,488","129,761","176,340","13,180","32,826","30,755","26,048","20,747","22,723","17,246","18,973","30,135","21,451"
2020년05월_남_0~9세,"143,574","44,533","11,363","8,865","6,614","7,231","10,460","15,114","5,203","4,420","26,104","2,964","14,434","18,280",577,"2,194","1,802","1,407",875,"1,057",776,972,"2,000",862
2020년05월_남_10~19세,"171,960","53,229","12,697","12,613","7,235","9,811","10,873","18,894","6,712","5,364","32,422","4,224","14,713","17,537",850,"3,213","2,262","2,240","1,614","1,597","1,142","1,552","3,068","1,327"
2020년05월_남_20~29세,"212,058","73,297","20,220","18,379","10,669","12,506","11,523","24,744","6,318","6,479","37,545","5,342","13,882","21,988","1,165","3,252","2,920","2,369","1,970","2,181","1,444","1,840","3,503","1,819"
2020년05월_남_30~39세,"215,883","72,551","18,850","16,089","11,033","11,950","14,629","21,489","7,673","6,579","36,918","4,813","20,614","26,164",984,"3,066","2,961","2,287","1,338","1,629","1,235","1,414","2,647","1,521"
2020년05월_남_40~49세,"278,340","85,735","20,818","17,470","13,451","15,554","18,442","27,263","11,707","9,532","49,373","6,973","25,933","30,646","1,708","5,182","4,016","3,688","2,542","2,945","2,009","2,460","4,101","2,527"
2020년05월_남_50~59세,"297,968","93,532","25,136","21,620","14,766","17,476","14,534","28,480","11,630","9,734","49,401","9,684","20,572","29,471","2,569","6,242","5,929","4,997","3,950","4,691","3,579","3,713","5,447","4,347"
2020년05월_남_60~69세,"219,855","67,146","16,624","11,964","13,793","13,797","10,968","21,030","9,607","7,610","28,127","9,866","13,053","20,024","2,729","5,494","5,859","4,695","3,910","4,417","3,602","3,492","4,784","4,410"
2020년05월_남_70~79세,"106,545","28,368","6,148","3,174","7,239","6,575","5,232","11,038","4,978","4,530","11,121","5,372","4,967","9,121","1,649","2,878","3,433","2,983","2,954","2,738","2,285","2,269","2,921","2,940"
2020년05월_남_80~89세,"37,787","8,305","1,721",803,"2,217","1,793","1,771","3,656","1,415","1,722","3,443","2,085","1,466","2,882",854,"1,191","1,465","1,265","1,450","1,322","1,063","1,140","1,505","1,558"
2020년05월_남_90~99세,"3,163",640,126,85,188,112,129,308,112,123,263,160,122,218,93,111,106,113,143,142,109,114,150,136
2020년05월_남_100세 이상,156,41,6,6,16,8,5,21,8,6,23,5,5,9,2,3,2,4,1,4,2,7,9,4
2020년05월_여_총인구수,"1,664,058","513,396","129,020","106,362","88,018","95,938","94,058","175,482","64,634","55,169","268,332","53,651","117,335","175,033","13,774","31,949","31,118","25,828","22,402","22,905","17,906","20,380","31,594","23,170"
2020년05월_여_연령구간인구수,"1,664,058","513,396","129,020","106,362","88,018","95,938","94,058","175,482","64,634","55,169","268,332","53,651","117,335","175,033","13,774","31,949","31,118","25,828","22,402","22,905","17,906","20,380","31,594","23,170"
2020년05월_여_0~9세,"135,418","41,546","10,668","8,489","6,077","6,690","9,622","13,941","5,140","4,058","25,047","2,855","13,545","17,467",558,"2,187","1,694","1,373",751,946,688,940,"1,861",821
2020년05월_여_10~19세,"156,188","48,182","11,399","11,158","6,657","8,857","10,111","16,899","6,229","5,039","29,708","3,801","13,256","16,578",726,"2,795","1,941","1,871","1,402","1,407","1,010","1,461","2,672","1,211"
2020년05월_여_20~29세,"170,146","58,733","16,212","14,781","8,593","10,250","8,897","20,096","5,176","4,365","31,725","3,937","10,888","19,068",894,"2,398","2,147","1,636","1,303","1,490","1,084","1,377","2,491","1,338"
2020년05월_여_30~39세,"197,559","65,006","17,030","14,132","9,770","10,639","13,435","20,732","7,156","5,788","34,876","4,324","18,138","24,839",860,"2,929","2,405","1,887","1,224","1,305","1,041","1,309","2,516","1,224"
2020년05월_여_40~49세,"261,838","83,389","20,507","19,205","12,154","15,118","16,405","27,404","9,909","8,275","49,970","6,179","21,547","29,661","1,227","4,364","3,169","2,890","2,145","2,328","1,595","2,042","3,836","1,908"
2020년05월_여_50~59세,"286,359","94,550","25,771","22,350","15,060","17,587","13,782","29,372","11,199","8,786","46,457","9,475","18,208","28,928","2,123","5,149","5,266","4,247","3,513","3,940","3,079","3,302","5,167","3,598"
2020년05월_여_60~69세,"222,400","68,334","16,030","10,285","15,288","15,157","11,574","22,869","10,023","8,178","27,057","10,470","11,995","20,726","2,491","5,130","5,857","4,690","4,112","4,180","3,379","3,540","5,011","4,358"
2020년05월_여_70~79세,"136,119","33,632","6,887","3,521","9,027","7,838","6,359","14,310","6,087","6,140","14,676","7,095","5,627","11,372","2,419","3,782","4,614","3,841","3,866","3,703","3,038","3,301","4,207","4,409"
2020년05월_여_80~89세,"84,053","17,254","3,867","2,081","4,594","3,325","3,387","8,411","3,192","3,859","7,693","4,750","3,440","5,533","2,126","2,788","3,471","2,881","3,388","3,035","2,555","2,655","3,270","3,752"
2020년05월_여_90~99세,"13,364","2,633",621,345,748,447,472,"1,377",504,661,"1,069",728,655,813,343,419,530,500,681,551,422,427,531,520
2020년05월_여_100세 이상,614,137,28,15,50,30,14,71,19,20,54,37,36,48,7,8,24,12,17,20,15,26,32,31
