카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년07월_계_총인구수,"308,390","7,600","6,660","44,770","15,901","19,222","25,790","30,077","2,767","24,666","24,907","3,938","3,614","50,720","47,758"
2021년07월_계_연령구간인구수,"308,390","7,600","6,660","44,770","15,901","19,222","25,790","30,077","2,767","24,666","24,907","3,938","3,614","50,720","47,758"
2021년07월_계_0~9세,"31,258",338,298,"3,664",990,"1,084","2,073","4,398",85,"3,463","3,301",130,165,"4,814","6,455"
2021년07월_계_10~19세,"27,024",397,403,"3,722","1,043","1,111","2,524","3,015",140,"2,319","2,657",196,175,"3,987","5,335"
2021년07월_계_20~29세,"37,943",929,975,"5,056","2,089","2,462","3,169","3,256",342,"2,864","2,773",474,471,"9,071","4,012"
2021년07월_계_30~39세,"51,491","1,023","1,026","6,471","2,247","2,945","3,341","5,297",364,"4,775","4,042",426,474,"11,727","7,333"
2021년07월_계_40~49세,"54,833",988,940,"7,078","2,191","2,541","4,445","6,055",376,"4,307","4,972",505,443,"9,445","10,547"
2021년07월_계_50~59세,"44,130","1,433","1,186","6,944","2,805","3,376","4,189","3,896",568,"3,210","3,721",782,717,"5,391","5,912"
2021년07월_계_60~69세,"37,589","1,564","1,077","6,991","2,771","3,478","3,557","2,632",520,"2,319","2,395",783,716,"3,864","4,922"
2021년07월_계_70~79세,"16,887",607,526,"3,456","1,242","1,543","1,719","1,016",242,973,748,400,298,"1,753","2,364"
2021년07월_계_80~89세,"6,117",250,197,"1,208",459,591,658,394,110,361,252,206,146,550,735
2021년07월_계_90~99세,"1,061",64,30,172,60,87,111,109,19,69,45,33,8,116,138
2021년07월_계_100세 이상,57,7,2,8,4,4,4,9,1,6,1,3,1,2,5
2021년07월_남_총인구수,"154,574","4,209","3,441","22,157","8,067","9,684","12,807","14,910","1,539","12,366","12,190","2,215","2,063","25,394","23,532"
2021년07월_남_연령구간인구수,"154,574","4,209","3,441","22,157","8,067","9,684","12,807","14,910","1,539","12,366","12,190","2,215","2,063","25,394","23,532"
2021년07월_남_0~9세,"15,997",165,152,"1,889",511,546,"1,105","2,200",48,"1,811","1,634",67,80,"2,492","3,297"
2021년07월_남_10~19세,"13,687",211,212,"1,917",559,572,"1,272","1,517",73,"1,172","1,325",107,88,"1,953","2,709"
2021년07월_남_20~29세,"19,184",543,529,"2,607","1,165","1,344","1,680","1,638",209,"1,439","1,384",266,271,"4,071","2,038"
2021년07월_남_30~39세,"26,028",605,597,"3,337","1,207","1,616","1,707","2,473",218,"2,333","1,809",252,298,"6,240","3,336"
2021년07월_남_40~49세,"28,613",609,522,"3,603","1,148","1,337","2,226","3,153",223,"2,223","2,517",308,280,"4,985","5,479"
2021년07월_남_50~59세,"22,065",825,603,"3,305","1,343","1,658","2,055","1,939",314,"1,609","1,804",497,417,"2,751","2,945"
2021년07월_남_60~69세,"18,149",837,518,"3,290","1,316","1,669","1,662","1,286",288,"1,142","1,224",431,411,"1,789","2,286"
2021년07월_남_70~79세,"8,416",301,235,"1,700",615,737,818,543,118,508,399,192,159,908,"1,183"
2021년07월_남_80~89세,"2,190",96,68,464,188,191,259,135,39,114,80,89,56,181,230
2021년07월_남_90~99세,233,14,5,42,14,12,23,24,9,15,14,5,3,24,29
2021년07월_남_100세 이상,12,3,0,3,1,2,0,2,0,0,0,1,0,0,0
2021년07월_여_총인구수,"153,816","3,391","3,219","22,613","7,834","9,538","12,983","15,167","1,228","12,300","12,717","1,723","1,551","25,326","24,226"
2021년07월_여_연령구간인구수,"153,816","3,391","3,219","22,613","7,834","9,538","12,983","15,167","1,228","12,300","12,717","1,723","1,551","25,326","24,226"
2021년07월_여_0~9세,"15,261",173,146,"1,775",479,538,968,"2,198",37,"1,652","1,667",63,85,"2,322","3,158"
2021년07월_여_10~19세,"13,337",186,191,"1,805",484,539,"1,252","1,498",67,"1,147","1,332",89,87,"2,034","2,626"
2021년07월_여_20~29세,"18,759",386,446,"2,449",924,"1,118","1,489","1,618",133,"1,425","1,389",208,200,"5,000","1,974"
2021년07월_여_30~39세,"25,463",418,429,"3,134","1,040","1,329","1,634","2,824",146,"2,442","2,233",174,176,"5,487","3,997"
2021년07월_여_40~49세,"26,220",379,418,"3,475","1,043","1,204","2,219","2,902",153,"2,084","2,455",197,163,"4,460","5,068"
2021년07월_여_50~59세,"22,065",608,583,"3,639","1,462","1,718","2,134","1,957",254,"1,601","1,917",285,300,"2,640","2,967"
2021년07월_여_60~69세,"19,440",727,559,"3,701","1,455","1,809","1,895","1,346",232,"1,177","1,171",352,305,"2,075","2,636"
2021년07월_여_70~79세,"8,471",306,291,"1,756",627,806,901,473,124,465,349,208,139,845,"1,181"
2021년07월_여_80~89세,"3,927",154,129,744,271,400,399,259,71,247,172,117,90,369,505
2021년07월_여_90~99세,828,50,25,130,46,75,88,85,10,54,31,28,5,92,109
2021년07월_여_100세 이상,45,4,2,5,3,2,4,7,1,6,1,2,1,2,5
