,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년09월_계_총인구수,"458,273","31,472","31,296","36,239","35,293","20,740","44,268","46,876","37,225","33,843","46,321","27,201","26,134","19,170","22,195"
2020년09월_계_연령구간인구수,"458,273","31,472","31,296","36,239","35,293","20,740","44,268","46,876","37,225","33,843","46,321","27,201","26,134","19,170","22,195"
2020년09월_계_0~9세,"34,511","1,138","1,832","2,353","2,519","1,578","2,869","3,391","2,947","2,894","6,784","1,951","1,532","1,111","1,612"
2020년09월_계_10~19세,"42,677","1,624","2,174","2,835","3,474","2,094","4,178","5,174","3,312","4,340","5,098","2,550","2,037","1,639","2,148"
2020년09월_계_20~29세,"63,916","6,183","5,156","4,703","4,576","2,411","6,221","6,806","5,232","4,583","5,159","3,774","3,579","2,502","3,031"
2020년09월_계_30~39세,"59,835","4,697","4,660","4,694","4,122","2,383","5,301","5,143","5,132","3,799","8,494","3,201","3,313","2,225","2,671"
2020년09월_계_40~49세,"74,626","4,407","4,868","5,853","5,687","3,459","6,951","7,644","5,930","6,440","8,850","4,257","3,863","2,839","3,578"
2020년09월_계_50~59세,"79,939","5,522","5,565","5,822","5,969","3,450","8,579","8,762","6,596","5,885","5,972","5,134","5,100","3,616","3,967"
2020년09월_계_60~69세,"55,883","4,397","3,901","5,128","4,461","2,787","5,752","5,654","4,575","2,942","3,540","3,416","3,675","2,851","2,804"
2020년09월_계_70~79세,"31,029","2,269","2,132","3,418","3,006","1,701","2,962","2,796","2,178","1,904","1,659","1,867","2,066","1,530","1,541"
2020년09월_계_80~89세,"13,783","1,031",882,"1,274","1,318",755,"1,279","1,300","1,155",915,675,913,849,717,720
2020년09월_계_90~99세,"1,857",144,114,141,151,111,165,197,157,137,89,119,107,105,120
2020년09월_계_100세 이상,217,60,12,18,10,11,11,9,11,4,1,19,13,35,3
2020년09월_남_총인구수,"225,715","16,073","15,511","17,712","17,113","9,891","21,804","22,752","18,478","16,726","22,544","13,298","13,036","9,703","11,074"
2020년09월_남_연령구간인구수,"225,715","16,073","15,511","17,712","17,113","9,891","21,804","22,752","18,478","16,726","22,544","13,298","13,036","9,703","11,074"
2020년09월_남_0~9세,"17,826",608,964,"1,235","1,306",783,"1,528","1,767","1,480","1,493","3,470",966,781,583,862
2020년09월_남_10~19세,"21,974",817,"1,168","1,438","1,751","1,065","2,134","2,702","1,727","2,205","2,543","1,340","1,058",866,"1,160"
2020년09월_남_20~29세,"32,515","2,931","2,514","2,305","2,316","1,217","3,246","3,465","2,717","2,431","2,577","1,988","1,866","1,345","1,597"
2020년09월_남_30~39세,"30,526","2,613","2,434","2,397","2,062","1,177","2,719","2,575","2,722","1,850","4,028","1,587","1,768","1,251","1,343"
2020년09월_남_40~49세,"37,427","2,459","2,488","3,066","2,771","1,710","3,382","3,663","2,929","3,105","4,455","2,090","1,985","1,497","1,827"
2020년09월_남_50~59세,"39,276","2,974","2,753","2,780","2,913","1,629","4,159","4,137","3,243","3,040","2,859","2,481","2,519","1,843","1,946"
2020년09월_남_60~69세,"26,978","2,244","1,870","2,348","2,087","1,314","2,822","2,722","2,259","1,424","1,647","1,691","1,829","1,368","1,353"
2020년09월_남_70~79세,"13,638",995,933,"1,555","1,312",725,"1,327","1,232",994,789,738,802,897,656,683
2020년09월_남_80~89세,"5,071",390,350,543,542,255,449,445,378,353,205,309,311,270,271
2020년09월_남_90~99세,438,30,33,41,52,15,35,41,27,34,22,34,21,21,32
2020년09월_남_100세 이상,46,12,4,4,1,1,3,3,2,2,0,10,1,3,0
2020년09월_여_총인구수,"232,558","15,399","15,785","18,527","18,180","10,849","22,464","24,124","18,747","17,117","23,777","13,903","13,098","9,467","11,121"
2020년09월_여_연령구간인구수,"232,558","15,399","15,785","18,527","18,180","10,849","22,464","24,124","18,747","17,117","23,777","13,903","13,098","9,467","11,121"
2020년09월_여_0~9세,"16,685",530,868,"1,118","1,213",795,"1,341","1,624","1,467","1,401","3,314",985,751,528,750
2020년09월_여_10~19세,"20,703",807,"1,006","1,397","1,723","1,029","2,044","2,472","1,585","2,135","2,555","1,210",979,773,988
2020년09월_여_20~29세,"31,401","3,252","2,642","2,398","2,260","1,194","2,975","3,341","2,515","2,152","2,582","1,786","1,713","1,157","1,434"
2020년09월_여_30~39세,"29,309","2,084","2,226","2,297","2,060","1,206","2,582","2,568","2,410","1,949","4,466","1,614","1,545",974,"1,328"
2020년09월_여_40~49세,"37,199","1,948","2,380","2,787","2,916","1,749","3,569","3,981","3,001","3,335","4,395","2,167","1,878","1,342","1,751"
2020년09월_여_50~59세,"40,663","2,548","2,812","3,042","3,056","1,821","4,420","4,625","3,353","2,845","3,113","2,653","2,581","1,773","2,021"
2020년09월_여_60~69세,"28,905","2,153","2,031","2,780","2,374","1,473","2,930","2,932","2,316","1,518","1,893","1,725","1,846","1,483","1,451"
