,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년03월_계_총인구수,"131,140","6,876","7,342","4,637","43,327","30,645","2,531","32,253","3,529"
2020년03월_계_연령구간인구수,"131,140","6,876","7,342","4,637","43,327","30,645","2,531","32,253","3,529"
2020년03월_계_0~9세,"19,462",192,530,94,"8,382","5,439",66,"4,638",121
2020년03월_계_10~19세,"10,673",314,496,158,"3,320","4,027",59,"2,150",149
2020년03월_계_20~29세,"11,877",643,857,408,"3,746","2,521",226,"3,205",271
2020년03월_계_30~39세,"26,565",579,919,381,"11,430","5,423",195,"7,332",306
2020년03월_계_40~49세,"21,672",753,929,405,"7,115","6,451",223,"5,381",415
2020년03월_계_50~59세,"16,501","1,327","1,193","1,019","4,227","3,348",524,"4,100",763
2020년03월_계_60~69세,"14,807","1,623","1,310","1,252","3,391","2,325",618,"3,474",814
2020년03월_계_70~79세,"6,578","1,005",709,602,"1,226",797,411,"1,381",447
2020년03월_계_80~89세,"2,529",381,333,256,410,267,177,509,196
2020년03월_계_90~99세,435,56,59,53,72,45,30,78,42
2020년03월_계_100세 이상,41,3,7,9,8,2,2,5,5
2020년03월_남_총인구수,"67,778","3,821","4,073","2,471","21,698","15,208","1,338","17,304","1,865"
2020년03월_남_연령구간인구수,"67,778","3,821","4,073","2,471","21,698","15,208","1,338","17,304","1,865"
2020년03월_남_0~9세,"9,979",95,271,45,"4,253","2,788",32,"2,431",64
2020년03월_남_10~19세,"5,457",183,276,86,"1,611","2,062",37,"1,124",78
2020년03월_남_20~29세,"6,329",381,559,241,"1,781","1,273",128,"1,806",160
2020년03월_남_30~39세,"13,590",346,537,237,"5,711","2,433",112,"4,031",183
2020년03월_남_40~49세,"12,173",454,564,250,"3,955","3,342",146,"3,210",252
2020년03월_남_50~59세,"8,464",788,683,548,"1,942","1,676",284,"2,131",412
2020년03월_남_60~69세,"7,598",905,709,685,"1,651","1,146",333,"1,760",409
2020년03월_남_70~79세,"3,249",511,349,274,639,386,208,649,233
2020년03월_남_80~89세,852,148,116,89,143,90,52,149,65
2020년03월_남_90~99세,76,9,7,13,9,11,6,12,9
2020년03월_남_100세 이상,11,1,2,3,3,1,0,1,0
2020년03월_여_총인구수,"63,362","3,055","3,269","2,166","21,629","15,437","1,193","14,949","1,664"
2020년03월_여_연령구간인구수,"63,362","3,055","3,269","2,166","21,629","15,437","1,193","14,949","1,664"
2020년03월_여_0~9세,"9,483",97,259,49,"4,129","2,651",34,"2,207",57
2020년03월_여_10~19세,"5,216",131,220,72,"1,709","1,965",22,"1,026",71
2020년03월_여_20~29세,"5,548",262,298,167,"1,965","1,248",98,"1,399",111
2020년03월_여_30~39세,"12,975",233,382,144,"5,719","2,990",83,"3,301",123
2020년03월_여_40~49세,"9,499",299,365,155,"3,160","3,109",77,"2,171",163
2020년03월_여_50~59세,"8,037",539,510,471,"2,285","1,672",240,"1,969",351
2020년03월_여_60~69세,"7,209",718,601,567,"1,740","1,179",285,"1,714",405
2020년03월_여_70~79세,"3,329",494,360,328,587,411,203,732,214
2020년03월_여_80~89세,"1,677",233,217,167,267,177,125,360,131
2020년03월_여_90~99세,359,47,52,40,63,34,24,66,33
2020년03월_여_100세 이상,30,2,5,6,5,1,2,4,5
