카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년12월_계_총인구수,"268,369","28,053","35,568","20,797","5,732","5,453","3,270","3,711","2,919","9,643","6,359","19,968","35,561","36,165","16,296","38,874"
2021년12월_계_연령구간인구수,"268,369","28,053","35,568","20,797","5,732","5,453","3,270","3,711","2,919","9,643","6,359","19,968","35,561","36,165","16,296","38,874"
2021년12월_계_0~9세,"19,729","1,937","2,138","2,211",132,130,63,115,83,485,184,"1,877","2,524","3,869",964,"3,017"
2021년12월_계_10~19세,"22,857","2,921","3,259","1,204",241,241,102,154,96,569,366,"2,006","3,809","2,947",758,"4,184"
2021년12월_계_20~29세,"36,271","4,208","5,300","3,093",447,419,189,247,231,"1,476",938,"2,021","4,224","4,424","3,779","5,275"
2021년12월_계_30~39세,"32,967","2,988","3,783","3,952",452,390,188,213,174,"1,128",682,"2,440","3,735","5,351","2,790","4,701"
2021년12월_계_40~49세,"41,676","4,423","5,905","3,114",570,563,257,367,258,"1,220",753,"3,568","6,049","5,736","2,168","6,725"
2021년12월_계_50~59세,"45,856","4,580","7,023","2,790","1,121",983,565,666,562,"1,821","1,213","3,020","6,196","6,123","2,473","6,720"
2021년12월_계_60~69세,"37,558","3,547","4,439","2,440","1,408","1,353",862,912,713,"1,760","1,177","2,714","5,035","4,444","1,941","4,813"
2021년12월_계_70~79세,"20,275","2,211","2,355","1,258",827,842,616,594,507,806,661,"1,573","2,613","2,229",951,"2,232"
2021년12월_계_80~89세,"9,888","1,112","1,223",643,472,465,377,377,247,340,352,660,"1,209",931,412,"1,068"
2021년12월_계_90~99세,"1,262",121,139,90,61,64,51,65,45,38,32,88,164,109,59,136
2021년12월_계_100세 이상,30,5,4,2,1,3,0,1,3,0,1,1,3,2,1,3
2021년12월_남_총인구수,"134,940","14,118","18,565","11,063","3,080","2,786","1,715","1,930","1,502","4,662","3,160","9,836","16,889","17,344","8,894","19,396"
2021년12월_남_연령구간인구수,"134,940","14,118","18,565","11,063","3,080","2,786","1,715","1,930","1,502","4,662","3,160","9,836","16,889","17,344","8,894","19,396"
2021년12월_남_0~9세,"10,037",985,"1,119","1,151",71,71,29,58,47,251,96,940,"1,218","1,918",519,"1,564"
2021년12월_남_10~19세,"11,884","1,576","1,635",653,131,129,50,79,49,288,193,"1,098","1,866","1,471",411,"2,255"
2021년12월_남_20~29세,"19,729","2,361","3,036","1,721",271,237,120,156,141,736,526,"1,092","2,157","2,320","2,040","2,815"
2021년12월_남_30~39세,"17,767","1,639","2,155","2,236",260,239,123,127,105,600,394,"1,259","1,818","2,633","1,711","2,468"
2021년12월_남_40~49세,"21,368","2,151","3,124","1,814",354,354,159,211,153,598,387,"1,788","2,903","2,788","1,268","3,316"
2021년12월_남_50~59세,"22,986","2,314","3,718","1,433",640,505,326,377,315,850,612,"1,470","2,978","2,778","1,344","3,326"
2021년12월_남_60~69세,"18,414","1,735","2,317","1,229",754,711,480,492,357,845,575,"1,242","2,366","2,064",962,"2,285"
2021년12월_남_70~79세,"9,043",938,"1,007",586,417,384,296,298,244,375,263,686,"1,099",996,477,977
2021년12월_남_80~89세,"3,425",389,415,220,169,149,122,117,78,111,103,243,448,343,151,367
2021년12월_남_90~99세,282,29,38,20,12,7,10,15,11,8,11,18,36,33,11,23
2021년12월_남_100세 이상,5,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0
2021년12월_여_총인구수,"133,429","13,935","17,003","9,734","2,652","2,667","1,555","1,781","1,417","4,981","3,199","10,132","18,672","18,821","7,402","19,478"
2021년12월_여_연령구간인구수,"133,429","13,935","17,003","9,734","2,652","2,667","1,555","1,781","1,417","4,981","3,199","10,132","18,672","18,821","7,402","19,478"
2021년12월_여_0~9세,"9,692",952,"1,019","1,060",61,59,34,57,36,234,88,937,"1,306","1,951",445,"1,453"
2021년12월_여_10~19세,"10,973","1,345","1,624",551,110,112,52,75,47,281,173,908,"1,943","1,476",347,"1,929"
2021년12월_여_20~29세,"16,542","1,847","2,264","1,372",176,182,69,91,90,740,412,929,"2,067","2,104","1,739","2,460"
2021년12월_여_30~39세,"15,200","1,349","1,628","1,716",192,151,65,86,69,528,288,"1,181","1,917","2,718","1,079","2,233"
2021년12월_여_40~49세,"20,308","2,272","2,781","1,300",216,209,98,156,105,622,366,"1,780","3,146","2,948",900,"3,409"
2021년12월_여_50~59세,"22,870","2,266","3,305","1,357",481,478,239,289,247,971,601,"1,550","3,218","3,345","1,129","3,394"
2021년12월_여_60~69세,"19,144","1,812","2,122","1,211",654,642,382,420,356,915,602,"1,472","2,669","2,380",979,"2,528"
2021년12월_여_70~79세,"11,232","1,273","1,348",672,410,458,320,296,263,431,398,887,"1,514","1,233",474,"1,255"
2021년12월_여_80~89세,"6,463",723,808,423,303,316,255,260,169,229,249,417,761,588,261,701
2021년12월_여_90~99세,980,92,101,70,49,57,41,50,34,30,21,70,128,76,48,113
2021년12월_여_100세 이상,25,4,3,2,0,3,0,1,1,0,1,1,3,2,1,3
