,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 상현3동,경기도 용인시 수지구 성복동
2021년10월_계_총인구수,"1,079,609","261,166","33,647","27,083","20,448","23,866","8,291","8,794","20,075","25,023","31,955","12,667","36,195","13,122","442,335","38,371","30,481","17,517","41,805","13,215","33,401","21,676","26,396","40,171","32,072","32,767","27,285","26,249","24,650","36,279","376,108","36,272","41,148","37,855","29,218","18,403","27,199","49,641","20,425","33,434","27,935","54,578"
2021년10월_계_연령구간인구수,"1,079,609","261,166","33,647","27,083","20,448","23,866","8,291","8,794","20,075","25,023","31,955","12,667","36,195","13,122","442,335","38,371","30,481","17,517","41,805","13,215","33,401","21,676","26,396","40,171","32,072","32,767","27,285","26,249","24,650","36,279","376,108","36,272","41,148","37,855","29,218","18,403","27,199","49,641","20,425","33,434","27,935","54,578"
2021년10월_계_0~9세,"95,778","20,185","2,156","1,847","1,466","3,130",334,235,"1,209","1,516","3,550","1,042","3,038",662,"40,392","3,198","3,234","1,845","4,143",892,"2,802","1,753","2,972","3,249","2,510","3,181","2,484","3,183","1,802","3,144","35,201","2,614","4,441","3,280","2,350","1,445","2,297","5,574","1,981","3,165","2,624","5,430"
2021년10월_계_10~19세,"121,521","25,718","3,741","2,444","1,789","2,061",586,815,"2,384","2,186","3,098","1,291","4,228","1,095","50,498","3,533","3,570","1,201","3,294","1,228","4,287","2,159","2,584","4,806","3,037","5,592","4,618","3,330","2,739","4,520","45,305","3,549","5,674","5,336","3,562","1,544","3,298","5,400","2,828","4,182","3,321","6,611"
2021년10월_계_20~29세,"138,543","34,903","4,855","3,494","2,158","1,839",720,906,"2,563","4,451","5,334","1,851","4,905","1,827","57,363","5,020","3,801","2,419","6,590","1,930","4,053","2,596","5,442","4,436","4,081","3,649","3,254","2,478","3,390","4,224","46,277","5,213","4,914","4,068","3,816","2,823","4,102","5,546","2,247","3,776","4,007","5,765"
2021년10월_계_30~39세,"141,399","33,501","3,843","3,098","2,333","4,017",717,731,"2,450","3,205","5,660","1,631","4,419","1,397","57,607","6,000","4,443","3,169","7,542","1,883","3,659","2,724","4,354","4,251","3,915","3,223","2,264","3,543","2,692","3,945","50,291","6,272","5,926","3,874","3,305","3,224","3,508","7,577","2,386","4,055","4,188","5,976"
2021년10월_계_40~49세,"197,787","43,477","5,934","4,540","3,329","4,389","1,036",968,"3,111","3,843","5,604","2,094","6,712","1,917","82,623","6,499","5,861","2,721","7,059","2,278","6,345","3,830","4,529","7,647","5,282","7,642","6,072","5,486","4,175","7,197","71,687","5,856","8,821","7,773","5,417","2,976","5,041","9,623","3,970","6,395","5,255","10,560"
2021년10월_계_50~59세,"170,489","43,938","6,060","4,838","3,745","3,077","1,558","1,558","3,474","4,270","4,193","2,295","6,311","2,559","69,399","6,230","5,044","2,788","6,640","2,261","5,433","3,552","3,276","6,250","5,203","4,952","4,518","3,176","4,596","5,480","57,152","5,475","5,930","5,962","4,814","2,897","4,204","7,246","3,099","5,163","4,110","8,252"
2021년10월_계_60~69세,"113,447","34,136","4,009","3,953","3,171","3,076","1,823","1,916","2,913","3,233","2,693","1,429","3,736","2,184","43,953","4,218","2,758","1,826","3,816","1,378","3,513","2,841","1,991","4,563","3,809","2,261","2,143","2,309","2,918","3,609","35,358","3,822","2,604","3,510","2,964","1,840","2,500","4,912","1,830","3,151","2,394","5,831"
2021년10월_계_70~79세,"65,916","16,220","1,957","1,877","1,514","1,533",928,920,"1,200","1,489","1,260",671,"1,870","1,001","26,440","2,377","1,196",761,"1,885",895,"2,204","1,468",852,"3,231","2,764","1,497","1,267","1,768","1,535","2,740","23,256","2,261","1,719","2,759","1,901","1,057","1,464","2,623","1,398","2,378","1,375","4,321"
