카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년01월_계_총인구수,"29,049","10,585","5,374","2,499","2,090","3,294","1,937","1,522","1,748"
2021년01월_계_연령구간인구수,"29,049","10,585","5,374","2,499","2,090","3,294","1,937","1,522","1,748"
2021년01월_계_0~9세,"1,184",633,255,59,58,78,46,20,35
2021년01월_계_10~19세,"1,970",939,409,102,132,172,78,36,102
2021년01월_계_20~29세,"2,201","1,112",458,119,100,149,90,70,103
2021년01월_계_30~39세,"2,009","1,049",408,96,84,139,77,73,83
2021년01월_계_40~49세,"3,296","1,491",686,187,188,328,149,126,141
2021년01월_계_50~59세,"5,629","1,948",988,537,401,701,408,293,353
2021년01월_계_60~69세,"6,400","1,844","1,023",660,552,834,567,449,471
2021년01월_계_70~79세,"3,900",981,741,432,371,540,314,259,262
2021년01월_계_80~89세,"2,153",517,363,257,181,306,185,174,170
2021년01월_계_90~99세,284,69,42,43,20,46,22,21,21
2021년01월_계_100세 이상,23,2,1,7,3,1,1,1,7
2021년01월_남_총인구수,"14,726","5,304","2,793","1,241","1,121","1,581","1,055",774,857
2021년01월_남_연령구간인구수,"14,726","5,304","2,793","1,241","1,121","1,581","1,055",774,857
2021년01월_남_0~9세,619,324,138,27,38,38,24,11,19
2021년01월_남_10~19세,"1,051",474,227,58,89,96,50,14,43
2021년01월_남_20~29세,"1,297",627,283,57,61,95,68,41,65
2021년01월_남_30~39세,"1,075",546,226,52,47,77,43,42,42
2021년01월_남_40~49세,"1,814",783,397,103,110,166,93,81,81
2021년01월_남_50~59세,"3,004","1,041",537,299,216,353,214,157,187
2021년01월_남_60~69세,"3,286",897,512,348,284,401,334,255,255
2021년01월_남_70~79세,"1,745",418,323,192,200,239,150,114,109
2021년01월_남_80~89세,752,181,137,91,70,106,69,52,46
2021년01월_남_90~99세,74,11,12,11,6,9,9,7,9
2021년01월_남_100세 이상,9,2,1,3,0,1,1,0,1
2021년01월_여_총인구수,"14,323","5,281","2,581","1,258",969,"1,713",882,748,891
2021년01월_여_연령구간인구수,"14,323","5,281","2,581","1,258",969,"1,713",882,748,891
2021년01월_여_0~9세,565,309,117,32,20,40,22,9,16
2021년01월_여_10~19세,919,465,182,44,43,76,28,22,59
2021년01월_여_20~29세,904,485,175,62,39,54,22,29,38
2021년01월_여_30~39세,934,503,182,44,37,62,34,31,41
2021년01월_여_40~49세,"1,482",708,289,84,78,162,56,45,60
2021년01월_여_50~59세,"2,625",907,451,238,185,348,194,136,166
2021년01월_여_60~69세,"3,114",947,511,312,268,433,233,194,216
2021년01월_여_70~79세,"2,155",563,418,240,171,301,164,145,153
2021년01월_여_80~89세,"1,401",336,226,166,111,200,116,122,124
2021년01월_여_90~99세,210,58,30,32,14,37,13,14,12
2021년01월_여_100세 이상,14,0,0,4,3,0,0,1,6
