카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년07월_계_총인구수,"53,440","21,834","4,777","7,010","1,819","1,803","1,384","2,385","2,416","4,108","5,312",408,184
2020년07월_계_연령구간인구수,"53,440","21,834","4,777","7,010","1,819","1,803","1,384","2,385","2,416","4,108","5,312",408,184
2020년07월_계_0~9세,"3,815","2,098",194,650,87,87,63,94,90,156,273,12,11
2020년07월_계_10~19세,"4,271","2,367",259,564,130,81,60,200,72,153,370,13,2
2020년07월_계_20~29세,"5,045","2,417",366,850,151,134,90,160,127,255,461,27,7
2020년07월_계_30~39세,"4,945","2,336",275,944,142,119,126,130,137,278,426,20,12
2020년07월_계_40~49세,"6,669","3,372",469,892,177,153,103,261,192,379,573,74,24
2020년07월_계_50~59세,"8,678","3,424",825,"1,154",288,293,244,386,349,676,920,83,36
2020년07월_계_60~69세,"8,369","2,822",848,869,323,338,289,410,458,918,938,105,51
2020년07월_계_70~79세,"7,137","1,933",926,704,292,317,244,428,537,842,837,44,33
2020년07월_계_80~89세,"3,931",909,541,340,188,245,148,273,408,401,448,23,7
2020년07월_계_90~99세,546,143,68,38,39,36,17,40,45,50,62,7,1
2020년07월_계_100세 이상,34,13,6,5,2,0,0,3,1,0,4,0,0
2020년07월_남_총인구수,"26,646","10,696","2,403","3,666",969,877,685,"1,210","1,159","2,018","2,606",250,107
2020년07월_남_연령구간인구수,"26,646","10,696","2,403","3,666",969,877,685,"1,210","1,159","2,018","2,606",250,107
2020년07월_남_0~9세,"1,942","1,063",93,352,46,49,23,44,51,66,143,6,6
2020년07월_남_10~19세,"2,226","1,222",138,275,97,38,27,110,45,77,188,7,2
2020년07월_남_20~29세,"2,825","1,291",231,492,90,63,48,94,70,157,268,18,3
2020년07월_남_30~39세,"2,550","1,115",165,514,78,59,64,79,74,156,227,13,6
2020년07월_남_40~49세,"3,800","1,714",306,518,119,99,71,173,120,260,344,57,19
2020년07월_남_50~59세,"4,746","1,741",490,656,167,165,139,249,205,374,480,56,24
2020년07월_남_60~69세,"4,195","1,351",421,451,185,180,155,201,229,450,482,63,27
2020년07월_남_70~79세,"3,046",877,372,298,126,136,107,170,212,364,341,24,19
2020년07월_남_80~89세,"1,214",293,170,105,52,81,47,83,147,105,124,6,1
2020년07월_남_90~99세,98,29,14,4,9,7,4,7,6,9,9,0,0
2020년07월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"26,794","11,138","2,374","3,344",850,926,699,"1,175","1,257","2,090","2,706",158,77
2020년07월_여_연령구간인구수,"26,794","11,138","2,374","3,344",850,926,699,"1,175","1,257","2,090","2,706",158,77
2020년07월_여_0~9세,"1,873","1,035",101,298,41,38,40,50,39,90,130,6,5
2020년07월_여_10~19세,"2,045","1,145",121,289,33,43,33,90,27,76,182,6,0
2020년07월_여_20~29세,"2,220","1,126",135,358,61,71,42,66,57,98,193,9,4
2020년07월_여_30~39세,"2,395","1,221",110,430,64,60,62,51,63,122,199,7,6
2020년07월_여_40~49세,"2,869","1,658",163,374,58,54,32,88,72,119,229,17,5
2020년07월_여_50~59세,"3,932","1,683",335,498,121,128,105,137,144,302,440,27,12
2020년07월_여_60~69세,"4,174","1,471",427,418,138,158,134,209,229,468,456,42,24
2020년07월_여_70~79세,"4,091","1,056",554,406,166,181,137,258,325,478,496,20,14
2020년07월_여_80~89세,"2,717",616,371,235,136,164,101,190,261,296,324,17,6
2020년07월_여_90~99세,448,114,54,34,30,29,13,33,39,41,53,7,1
2020년07월_여_100세 이상,30,13,3,4,2,0,0,3,1,0,4,0,0
