카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년02월_계_총인구수,"222,395","10,346","17,690","9,028","5,027","11,480","13,886","20,549","34,351","23,840","23,027","20,797","11,090","21,284"
2020년02월_계_연령구간인구수,"222,395","10,346","17,690","9,028","5,027","11,480","13,886","20,549","34,351","23,840","23,027","20,797","11,090","21,284"
2020년02월_계_0~9세,"17,765",475,"1,476",434,246,956,516,"1,466","3,705","1,202","1,543","2,165","1,361","2,220"
2020년02월_계_10~19세,"20,916",674,"1,375",669,342,"1,144",734,"1,686","3,650","2,323","2,449","1,928","1,332","2,610"
2020년02월_계_20~29세,"28,174","1,107","2,298","1,365",646,"1,554","1,698","2,604","4,065","3,371","3,170","2,419","1,400","2,477"
2020년02월_계_30~39세,"28,017","1,084","2,623","1,054",550,"1,683","1,406","2,603","4,703","2,231","2,418","3,004","1,746","2,912"
2020년02월_계_40~49세,"35,400","1,439","2,700","1,235",616,"1,815","1,770","3,032","6,048","3,781","3,485","3,365","1,850","4,264"
2020년02월_계_50~59세,"42,382","1,953","3,568","1,826","1,052","2,084","2,765","3,862","5,981","5,123","4,932","3,804","1,985","3,447"
2020년02월_계_60~69세,"30,399","1,974","2,343","1,445",936,"1,358","2,804","3,170","4,035","3,430","3,232","2,631",940,"2,101"
2020년02월_계_70~79세,"13,745","1,168",945,733,466,612,"1,526","1,468","1,566","1,660","1,318","1,069",336,878
2020년02월_계_80~89세,"4,923",421,311,234,146,234,579,596,524,646,421,368,128,315
2020년02월_계_90~99세,620,47,49,31,21,37,66,59,73,71,55,42,11,58
2020년02월_계_100세 이상,54,4,2,2,6,3,22,3,1,2,4,2,1,2
2020년02월_남_총인구수,"112,874","5,288","9,187","4,610","2,503","5,767","7,160","10,359","17,207","12,113","11,707","10,557","5,593","10,823"
2020년02월_남_연령구간인구수,"112,874","5,288","9,187","4,610","2,503","5,767","7,160","10,359","17,207","12,113","11,707","10,557","5,593","10,823"
2020년02월_남_0~9세,"9,185",247,759,234,136,473,268,788,"1,977",588,780,"1,095",701,"1,139"
2020년02월_남_10~19세,"11,218",345,727,351,173,634,384,900,"1,934","1,299","1,349","1,054",692,"1,376"
2020년02월_남_20~29세,"15,691",612,"1,255",745,349,841,983,"1,461","2,315","1,891","1,794","1,345",750,"1,350"
2020년02월_남_30~39세,"14,674",624,"1,430",592,309,910,842,"1,328","2,280","1,217","1,275","1,530",866,"1,471"
2020년02월_남_40~49세,"17,946",823,"1,444",626,309,887,974,"1,539","2,982","1,884","1,696","1,758",867,"2,157"
2020년02월_남_50~59세,"21,154","1,031","1,816",916,507,"1,011","1,408","1,923","2,835","2,554","2,455","1,869","1,028","1,801"
2020년02월_남_60~69세,"14,910",941,"1,180",712,451,638,"1,398","1,542","1,968","1,707","1,571","1,292",486,"1,024"
2020년02월_남_70~79세,"6,286",507,465,346,205,295,671,647,734,753,622,485,153,403
2020년02월_남_80~89세,"1,696",153,104,82,53,72,213,216,172,206,160,120,48,97
2020년02월_남_90~99세,104,4,7,6,8,6,15,15,10,13,5,8,2,5
2020년02월_남_100세 이상,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020년02월_여_총인구수,"109,521","5,058","8,503","4,418","2,524","5,713","6,726","10,190","17,144","11,727","11,320","10,240","5,497","10,461"
2020년02월_여_연령구간인구수,"109,521","5,058","8,503","4,418","2,524","5,713","6,726","10,190","17,144","11,727","11,320","10,240","5,497","10,461"
2020년02월_여_0~9세,"8,580",228,717,200,110,483,248,678,"1,728",614,763,"1,070",660,"1,081"
2020년02월_여_10~19세,"9,698",329,648,318,169,510,350,786,"1,716","1,024","1,100",874,640,"1,234"
2020년02월_여_20~29세,"12,483",495,"1,043",620,297,713,715,"1,143","1,750","1,480","1,376","1,074",650,"1,127"
2020년02월_여_30~39세,"13,343",460,"1,193",462,241,773,564,"1,275","2,423","1,014","1,143","1,474",880,"1,441"
2020년02월_여_40~49세,"17,454",616,"1,256",609,307,928,796,"1,493","3,066","1,897","1,789","1,607",983,"2,107"
2020년02월_여_50~59세,"21,228",922,"1,752",910,545,"1,073","1,357","1,939","3,146","2,569","2,477","1,935",957,"1,646"
2020년02월_여_60~69세,"15,489","1,033","1,163",733,485,720,"1,406","1,628","2,067","1,723","1,661","1,339",454,"1,077"
2020년02월_여_70~79세,"7,459",661,480,387,261,317,855,821,832,907,696,584,183,475
2020년02월_여_80~89세,"3,227",268,207,152,93,162,366,380,352,440,261,248,80,218
2020년02월_여_90~99세,516,43,42,25,13,31,51,44,63,58,50,34,9,53
2020년02월_여_100세 이상,44,3,2,2,3,3,18,3,1,1,4,1,1,2
