카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년09월_계_총인구수,"533,359","16,087","22,401","21,235","26,437","26,054","13,008","29,558","24,249","36,179","20,029","35,599","36,074","21,543","33,323","6,412","26,826","23,737","43,466","23,403","15,237","17,651","14,851"
2021년09월_계_연령구간인구수,"533,359","16,087","22,401","21,235","26,437","26,054","13,008","29,558","24,249","36,179","20,029","35,599","36,074","21,543","33,323","6,412","26,826","23,737","43,466","23,403","15,237","17,651","14,851"
2021년09월_계_0~9세,"35,118",925,677,"1,055","2,037","2,021",827,"2,216","1,766","1,948",685,964,"2,684","1,682","2,753",349,"2,253","1,673","4,022","2,031",697,"1,242",611
2021년09월_계_10~19세,"59,153","1,606",868,"1,304","2,747","2,200","1,232","3,489","5,418","6,047","2,521","1,495","5,509","2,351","4,758",577,"3,335","2,274","4,702","3,336","1,133","1,710",541
2021년09월_계_20~29세,"71,499","2,124","4,493","3,402","2,994","3,652","1,767","3,809","2,390","4,502","3,384","7,443","4,390","2,831","3,842",705,"3,410","3,262","5,243","2,499","2,097","1,802","1,458"
2021년09월_계_30~39세,"78,233","2,204","5,544","4,317","3,080","4,126","1,855","4,692","1,405","3,186","3,268","10,011","4,860","3,028","3,315",638,"3,130","3,637","6,296","2,764","2,199","2,539","2,139"
2021년09월_계_40~49세,"97,931","2,794","3,827","3,828","4,615","4,657","2,119","6,179","5,760","6,827","3,954","6,116","8,458","3,825","6,379",906,"4,675","3,961","7,849","4,431","2,073","3,055","1,643"
2021년09월_계_50~59세,"81,230","2,502","2,836","2,944","4,165","3,938","2,160","4,366","3,963","6,416","3,220","4,171","5,120","3,443","5,554","1,030","4,620","3,960","6,008","3,717","2,375","2,574","2,148"
2021년09월_계_60~69세,"61,076","1,811","2,226","2,271","3,208","3,024","1,692","2,493","1,998","4,390","1,574","3,080","2,640","2,577","3,631","1,187","3,403","3,129","5,133","2,980","2,597","2,623","3,409"
2021년09월_계_70~79세,"34,379","1,390","1,335","1,502","2,386","1,707",949,"1,662","1,109","2,170","1,051","1,633","1,753","1,231","2,150",716,"1,482","1,352","2,696","1,126","1,416","1,564","1,999"
2021년09월_계_80~89세,"12,386",628,512,524,"1,033",616,345,558,361,588,322,592,572,484,794,246,423,410,"1,245",402,535,460,736
2021년09월_계_90~99세,"2,221",98,78,83,163,106,59,85,74,101,49,84,81,87,139,51,89,74,265,111,108,75,161
2021년09월_계_100세 이상,133,5,5,5,9,7,3,9,5,4,1,10,7,4,8,7,6,5,7,6,7,7,6
2021년09월_남_총인구수,"255,264","7,483","10,527","9,920","12,208","12,166","6,403","14,138","12,211","18,359","9,440","17,305","16,912","10,198","15,464","3,126","13,021","11,504","20,570","11,541","7,478","8,547","6,743"
2021년09월_남_연령구간인구수,"255,264","7,483","10,527","9,920","12,208","12,166","6,403","14,138","12,211","18,359","9,440","17,305","16,912","10,198","15,464","3,126","13,021","11,504","20,570","11,541","7,478","8,547","6,743"
2021년09월_남_0~9세,"18,093",488,323,538,982,"1,098",439,"1,198",951,"1,051",330,488,"1,354",814,"1,381",185,"1,172",845,"2,019","1,112",354,656,315
2021년09월_남_10~19세,"30,853",797,408,669,"1,332","1,143",715,"1,937","3,047","3,593","1,344",750,"2,622","1,097","2,105",298,"1,645","1,136","2,328","1,926",638,"1,053",270
2021년09월_남_20~29세,"34,061",982,"1,993","1,518","1,408","1,647",929,"1,794","1,231","2,466","1,615","3,216","1,863","1,337","1,749",356,"1,734","1,638","2,474","1,305","1,073",970,763
2021년09월_남_30~39세,"35,963",981,"2,638","1,965","1,309","1,763",880,"2,032",563,"1,438","1,489","4,940","2,118","1,356","1,357",298,"1,453","1,761","2,901","1,274","1,161","1,215","1,071"
2021년09월_남_40~49세,"45,324","1,226","1,884","1,819","2,079","2,133",986,"2,796","2,487","2,922","1,692","3,124","3,898","1,786","2,801",427,"2,151","1,867","3,818","2,016","1,062","1,485",865
2021년09월_남_50~59세,"40,804","1,234","1,412","1,445","2,037","1,870","1,039","2,209","2,214","3,316","1,632","2,215","2,784","1,717","2,811",520,"2,282","1,961","2,920","1,812","1,153","1,258",963
2021년09월_남_60~69세,"28,037",828,995,999,"1,408","1,398",769,"1,142",947,"2,180",714,"1,500","1,181","1,251","1,732",550,"1,625","1,454","2,306","1,365","1,162","1,110","1,421"
