카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년02월_계_총인구수,"23,130","8,134","2,292","3,761","2,049","2,002","2,369","1,181","1,342"
2021년02월_계_연령구간인구수,"23,130","8,134","2,292","3,761","2,049","2,002","2,369","1,181","1,342"
2021년02월_계_0~9세,668,416,40,88,38,18,37,15,16
2021년02월_계_10~19세,947,575,48,128,45,40,66,22,23
2021년02월_계_20~29세,"1,475",693,102,251,145,107,93,32,52
2021년02월_계_30~39세,"1,288",620,102,181,105,81,101,45,53
2021년02월_계_40~49세,"2,115","1,090",138,296,140,131,166,69,85
2021년02월_계_50~59세,"4,258","1,493",453,697,404,356,400,209,246
2021년02월_계_60~69세,"5,410","1,499",558,995,526,513,604,319,396
2021년02월_계_70~79세,"3,985","1,046",441,667,357,415,509,259,291
2021년02월_계_80~89세,"2,637",621,363,408,253,303,347,188,154
2021년02월_계_90~99세,331,75,44,49,36,34,44,23,26
2021년02월_계_100세 이상,16,6,3,1,0,4,2,0,0
2021년02월_남_총인구수,"11,820","4,215","1,169","1,935","1,051","1,009","1,144",595,702
2021년02월_남_연령구간인구수,"11,820","4,215","1,169","1,935","1,051","1,009","1,144",595,702
2021년02월_남_0~9세,360,228,19,50,23,7,13,9,11
2021년02월_남_10~19세,515,321,28,59,30,18,34,11,14
2021년02월_남_20~29세,905,418,62,155,94,66,51,24,35
2021년02월_남_30~39세,735,342,54,97,65,52,58,32,35
2021년02월_남_40~49세,"1,252",586,88,190,88,94,110,45,51
2021년02월_남_50~59세,"2,394",821,264,388,224,200,224,132,141
2021년02월_남_60~69세,"2,847",778,298,547,273,270,291,165,225
2021년02월_남_70~79세,"1,849",491,210,310,159,193,234,113,139
2021년02월_남_80~89세,891,210,135,130,87,101,119,59,50
2021년02월_남_90~99세,71,19,11,9,8,8,10,5,1
2021년02월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년02월_여_총인구수,"11,310","3,919","1,123","1,826",998,993,"1,225",586,640
2021년02월_여_연령구간인구수,"11,310","3,919","1,123","1,826",998,993,"1,225",586,640
2021년02월_여_0~9세,308,188,21,38,15,11,24,6,5
2021년02월_여_10~19세,432,254,20,69,15,22,32,11,9
2021년02월_여_20~29세,570,275,40,96,51,41,42,8,17
2021년02월_여_30~39세,553,278,48,84,40,29,43,13,18
2021년02월_여_40~49세,863,504,50,106,52,37,56,24,34
2021년02월_여_50~59세,"1,864",672,189,309,180,156,176,77,105
2021년02월_여_60~69세,"2,563",721,260,448,253,243,313,154,171
2021년02월_여_70~79세,"2,136",555,231,357,198,222,275,146,152
2021년02월_여_80~89세,"1,746",411,228,278,166,202,228,129,104
2021년02월_여_90~99세,260,56,33,40,28,26,34,18,25
2021년02월_여_100세 이상,15,5,3,1,0,4,2,0,0
