카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2021년10월_계_총인구수,"21,731","7,284","2,044","2,299","4,343","2,070","2,119","1,572"
2021년10월_계_연령구간인구수,"21,731","7,284","2,044","2,299","4,343","2,070","2,119","1,572"
2021년10월_계_0~9세,"1,029",496,65,69,225,47,64,63
2021년10월_계_10~19세,"1,642",740,111,117,359,87,138,90
2021년10월_계_20~29세,"1,562",628,123,132,339,120,144,76
2021년10월_계_30~39세,"1,430",628,97,105,304,110,105,81
2021년10월_계_40~49세,"2,422",987,169,186,544,163,224,149
2021년10월_계_50~59세,"3,633","1,146",353,382,750,359,390,253
2021년10월_계_60~69세,"4,375","1,215",409,555,829,522,449,396
2021년10월_계_70~79세,"3,104",854,369,430,532,360,329,230
2021년10월_계_80~89세,"2,212",520,299,277,409,261,244,202
2021년10월_계_90~99세,311,68,48,43,51,39,31,31
2021년10월_계_100세 이상,11,2,1,3,1,2,1,1
2021년10월_남_총인구수,"10,830","3,597","1,029","1,157","2,190","1,012","1,051",794
2021년10월_남_연령구간인구수,"10,830","3,597","1,029","1,157","2,190","1,012","1,051",794
2021년10월_남_0~9세,541,264,35,41,117,20,34,30
2021년10월_남_10~19세,828,349,63,66,194,45,67,44
2021년10월_남_20~29세,894,354,79,71,196,70,79,45
2021년10월_남_30~39세,738,308,60,62,150,63,58,37
2021년10월_남_40~49세,"1,365",534,104,115,292,92,129,99
2021년10월_남_50~59세,"2,050",639,196,217,426,207,223,142
2021년10월_남_60~69세,"2,238",588,210,285,435,265,233,222
2021년10월_남_70~79세,"1,381",367,169,199,243,159,138,106
2021년10월_남_80~89세,717,180,94,94,125,81,84,59
2021년10월_남_90~99세,77,13,19,7,12,10,6,10
2021년10월_남_100세 이상,1,1,0,0,0,0,0,0
2021년10월_여_총인구수,"10,901","3,687","1,015","1,142","2,153","1,058","1,068",778
2021년10월_여_연령구간인구수,"10,901","3,687","1,015","1,142","2,153","1,058","1,068",778
2021년10월_여_0~9세,488,232,30,28,108,27,30,33
2021년10월_여_10~19세,814,391,48,51,165,42,71,46
2021년10월_여_20~29세,668,274,44,61,143,50,65,31
2021년10월_여_30~39세,692,320,37,43,154,47,47,44
2021년10월_여_40~49세,"1,057",453,65,71,252,71,95,50
2021년10월_여_50~59세,"1,583",507,157,165,324,152,167,111
2021년10월_여_60~69세,"2,137",627,199,270,394,257,216,174
2021년10월_여_70~79세,"1,723",487,200,231,289,201,191,124
2021년10월_여_80~89세,"1,495",340,205,183,284,180,160,143
2021년10월_여_90~99세,234,55,29,36,39,29,25,21
2021년10월_여_100세 이상,10,1,1,3,1,2,1,1
