,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년09월_계_총인구수,"8,887","6,312",875,427,"1,273"
2021년09월_계_연령구간인구수,"8,887","6,312",875,427,"1,273"
2021년09월_계_0~9세,383,285,40,13,45
2021년09월_계_10~19세,448,351,40,18,39
2021년09월_계_20~29세,821,622,66,24,109
2021년09월_계_30~39세,801,619,65,28,89
2021년09월_계_40~49세,"1,237",932,101,35,169
2021년09월_계_50~59세,"1,764","1,266",178,82,238
2021년09월_계_60~69세,"1,798","1,242",184,92,280
2021년09월_계_70~79세,"1,051",672,117,87,175
2021년09월_계_80~89세,500,280,77,34,109
2021년09월_계_90~99세,81,40,7,14,20
2021년09월_계_100세 이상,3,3,0,0,0
2021년09월_남_총인구수,"4,879","3,473",473,235,698
2021년09월_남_연령구간인구수,"4,879","3,473",473,235,698
2021년09월_남_0~9세,197,147,19,8,23
2021년09월_남_10~19세,226,167,27,12,20
2021년09월_남_20~29세,508,382,48,11,67
2021년09월_남_30~39세,477,372,35,16,54
2021년09월_남_40~49세,760,559,62,28,111
2021년09월_남_50~59세,"1,057",760,105,50,142
2021년09월_남_60~69세,940,646,100,45,149
2021년09월_남_70~79세,497,316,51,48,82
2021년09월_남_80~89세,197,116,24,12,45
2021년09월_남_90~99세,20,8,2,5,5
2021년09월_남_100세 이상,0,0,0,0,0
2021년09월_여_총인구수,"4,008","2,839",402,192,575
2021년09월_여_연령구간인구수,"4,008","2,839",402,192,575
2021년09월_여_0~9세,186,138,21,5,22
2021년09월_여_10~19세,222,184,13,6,19
2021년09월_여_20~29세,313,240,18,13,42
2021년09월_여_30~39세,324,247,30,12,35
2021년09월_여_40~49세,477,373,39,7,58
2021년09월_여_50~59세,707,506,73,32,96
2021년09월_여_60~69세,858,596,84,47,131
2021년09월_여_70~79세,554,356,66,39,93
2021년09월_여_80~89세,303,164,53,22,64
2021년09월_여_90~99세,61,32,5,9,15
2021년09월_여_100세 이상,3,3,0,0,0
