카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년11월_계_총인구수,"884,225","84,647","17,480","87,980","43,208","6,949","6,355","7,041","11,033","7,264","10,108","10,314","4,023","11,462","24,537","43,750","36,105","23,956","31,964","13,536","23,000","51,030","35,244","41,950","52,778","44,344","37,219","85,898","31,050"
2021년11월_계_연령구간인구수,"884,225","84,647","17,480","87,980","43,208","6,949","6,355","7,041","11,033","7,264","10,108","10,314","4,023","11,462","24,537","43,750","36,105","23,956","31,964","13,536","23,000","51,030","35,244","41,950","52,778","44,344","37,219","85,898","31,050"
2021년11월_계_0~9세,"101,557","8,162",827,"10,185","4,041",233,218,234,422,179,307,354,84,372,"4,388","4,049","3,805","2,174","3,997","1,174","1,645","5,867","3,883","5,388","8,363","6,177","5,192","14,201","5,636"
2021년11월_계_10~19세,"100,678","10,075","1,440","10,405","3,693",447,329,390,773,291,464,563,158,714,"2,524","3,840","3,662","3,901","4,067","1,780","2,141","6,837","6,567","5,353","9,269","4,441","3,822","9,868","2,864"
2021년11월_계_20~29세,"108,910","10,673","1,764","10,618","5,860",783,692,749,"1,009",552,986,"1,046",406,"1,325","2,498","7,247","6,037","3,014","3,980","1,709","3,120","8,152","3,733","6,383","4,286","5,368","5,380","8,622","2,918"
2021년11월_계_30~39세,"151,040","11,832","1,584","15,346","7,334",607,596,793,917,534,"1,046",890,402,"1,202","5,172","8,545","6,425","2,834","5,488","1,462","2,850","9,317","3,879","8,016","8,245","10,692","8,321","18,576","8,135"
2021년11월_계_40~49세,"170,968","16,201","2,712","18,032","7,090",874,752,978,"1,398",806,"1,442","1,287",465,"1,544","4,877","7,845","6,313","5,162","6,078","2,591","3,902","10,077","8,520","8,494","13,463","8,651","7,263","18,138","6,013"
2021년11월_계_50~59세,"122,098","13,058","3,508","11,537","6,701","1,450","1,221","1,461","2,127","1,564","2,316","2,132",887,"2,431","3,084","6,099","4,957","3,481","4,495","2,324","4,152","6,762","4,994","4,427","5,928","4,579","4,264","9,273","2,886"
2021년11월_계_60~69세,"78,061","8,844","3,035","7,124","5,199","1,408","1,359","1,308","2,264","1,828","2,088","2,193",917,"2,173","1,513","3,802","2,983","1,849","2,729","1,469","3,181","2,577","2,185","2,216","2,170","2,813","1,982","5,032","1,820"
2021년11월_계_70~79세,"33,044","3,915","1,604","3,033","2,125",708,688,688,"1,227",861,852,"1,098",399,999,302,"1,553","1,322","1,029",751,719,"1,336",983,"1,026","1,173",731,"1,118",693,"1,577",534
2021년11월_계_80~89세,"15,598","1,642",883,"1,505",991,393,414,379,754,559,525,684,266,605,155,683,524,457,335,274,594,412,419,443,273,434,260,521,214
2021년11월_계_90~99세,"2,204",231,121,188,169,46,86,58,135,87,79,67,38,94,23,85,75,54,44,34,79,44,37,56,49,68,40,87,30
2021년11월_계_100세 이상,67,14,2,7,5,0,0,3,7,3,3,0,1,3,1,2,2,1,0,0,0,2,1,1,1,3,2,3,0
2021년11월_남_총인구수,"459,514","42,992","9,560","47,242","23,602","3,685","3,614","4,219","5,991","4,022","6,106","5,973","2,486","6,657","12,297","23,745","18,604","11,687","16,138","6,911","12,173","26,305","17,349","21,642","26,230","22,316","19,234","43,084","15,650"
2021년11월_남_연령구간인구수,"459,514","42,992","9,560","47,242","23,602","3,685","3,614","4,219","5,991","4,022","6,106","5,973","2,486","6,657","12,297","23,745","18,604","11,687","16,138","6,911","12,173","26,305","17,349","21,642","26,230","22,316","19,234","43,084","15,650"
