,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년04월_계_총인구수,"105,201","5,445","1,293","7,251","5,301","3,104","2,899","3,958","4,337","8,710","3,449","5,147","1,773","2,884","14,936","20,631","7,992","6,091"
2020년04월_계_연령구간인구수,"105,201","5,445","1,293","7,251","5,301","3,104","2,899","3,958","4,337","8,710","3,449","5,147","1,773","2,884","14,936","20,631","7,992","6,091"
2020년04월_계_0~9세,"5,840",151,23,298,146,64,79,101,85,504,81,118,40,78,"1,243","2,057",389,383
2020년04월_계_10~19세,"8,071",253,51,449,263,98,132,219,161,568,147,290,61,160,"1,317","2,625",677,600
2020년04월_계_20~29세,"9,318",359,109,524,384,172,198,227,248,711,184,329,77,270,"1,832","2,209",805,680
2020년04월_계_30~39세,"9,167",335,72,527,359,160,174,204,259,729,165,258,77,215,"1,934","2,322",716,661
2020년04월_계_40~49세,"13,188",541,111,799,493,216,275,376,333,"1,053",314,423,125,325,"2,273","3,529","1,074",928
2020년04월_계_50~59세,"19,196","1,041",229,"1,359","1,050",578,584,761,924,"1,573",611,932,288,571,"2,690","3,355","1,478","1,172"
2020년04월_계_60~69세,"20,265","1,344",315,"1,556","1,283",894,684,"1,007","1,209","1,719",925,"1,249",491,606,"2,130","2,505","1,398",950
2020년04월_계_70~79세,"12,414",914,224,"1,049",774,541,482,666,677,"1,144",609,864,344,439,978,"1,310",912,487
2020년04월_계_80~89세,"6,806",442,135,617,476,331,255,355,389,625,370,593,240,196,457,635,485,205
2020년04월_계_90~99세,895,63,24,67,72,50,34,41,49,77,39,88,30,20,80,82,57,22
2020년04월_계_100세 이상,41,2,0,6,1,0,2,1,3,7,4,3,0,4,2,2,1,3
2020년04월_남_총인구수,"51,541","2,679",629,"3,602","2,706","1,483","1,477","2,027","2,135","4,309","1,718","2,516",858,"1,418","7,401","9,937","3,719","2,927"
2020년04월_남_연령구간인구수,"51,541","2,679",629,"3,602","2,706","1,483","1,477","2,027","2,135","4,309","1,718","2,516",858,"1,418","7,401","9,937","3,719","2,927"
2020년04월_남_0~9세,"2,975",75,10,157,77,25,43,51,47,242,43,65,18,34,626,"1,073",209,180
2020년04월_남_10~19세,"4,243",129,26,237,144,53,74,119,92,303,77,162,34,90,696,"1,376",329,302
2020년04월_남_20~29세,"5,369",203,59,308,247,109,129,147,152,423,109,193,50,169,"1,029","1,246",427,369
2020년04월_남_30~39세,"4,831",200,45,301,215,94,97,120,144,391,105,151,40,116,"1,014","1,086",371,341
2020년04월_남_40~49세,"6,995",317,69,484,291,133,166,240,196,598,202,233,80,177,"1,159","1,676",519,455
2020년04월_남_50~59세,"9,714",543,127,703,578,282,310,396,472,793,316,515,136,299,"1,324","1,626",738,556
2020년04월_남_60~69세,"9,809",662,149,745,656,436,343,524,598,881,456,618,262,273,"1,001","1,119",633,453
2020년04월_남_70~79세,"5,355",404,99,463,327,250,234,323,316,473,284,373,156,193,393,525,336,206
2020년04월_남_80~89세,"2,084",135,40,193,159,93,77,102,110,190,117,191,77,62,139,192,143,64
2020년04월_남_90~99세,161,11,5,10,12,8,3,5,7,15,8,15,5,4,20,18,14,1
2020년04월_남_100세 이상,5,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
2020년04월_여_총인구수,"53,660","2,766",664,"3,649","2,595","1,621","1,422","1,931","2,202","4,401","1,731","2,631",915,"1,466","7,535","10,694","4,273","3,164"
2020년04월_여_연령구간인구수,"53,660","2,766",664,"3,649","2,595","1,621","1,422","1,931","2,202","4,401","1,731","2,631",915,"1,466","7,535","10,694","4,273","3,164"
2020년04월_여_0~9세,"2,865",76,13,141,69,39,36,50,38,262,38,53,22,44,617,984,180,203
2020년04월_여_10~19세,"3,828",124,25,212,119,45,58,100,69,265,70,128,27,70,621,"1,249",348,298
2020년04월_여_20~29세,"3,949",156,50,216,137,63,69,80,96,288,75,136,27,101,803,963,378,311
2020년04월_여_30~39세,"4,336",135,27,226,144,66,77,84,115,338,60,107,37,99,920,"1,236",345,320
2020년04월_여_40~49세,"6,193",224,42,315,202,83,109,136,137,455,112,190,45,148,"1,114","1,853",555,473
2020년04월_여_50~59세,"9,482",498,102,656,472,296,274,365,452,780,295,417,152,272,"1,366","1,729",740,616
2020년04월_여_60~69세,"10,456",682,166,811,627,458,341,483,611,838,469,631,229,333,"1,129","1,386",765,497
2020년04월_여_70~79세,"7,059",510,125,586,447,291,248,343,361,671,325,491,188,246,585,785,576,281
2020년04월_여_80~89세,"4,722",307,95,424,317,238,178,253,279,435,253,402,163,134,318,443,342,141
2020년04월_여_90~99세,734,52,19,57,60,42,31,36,42,62,31,73,25,16,60,64,43,21
2020년04월_여_100세 이상,36,2,0,5,1,0,1,1,2,7,3,3,0,3,2,2,1,3
