카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년06월_계_총인구수,"213,910","7,109","6,800","9,029","13,602","28,834","5,251","7,156","8,658","6,483","12,317","6,440","21,418","8,192","45,638","20,631","6,352"
2021년06월_계_연령구간인구수,"213,910","7,109","6,800","9,029","13,602","28,834","5,251","7,156","8,658","6,483","12,317","6,440","21,418","8,192","45,638","20,631","6,352"
2021년06월_계_0~9세,"17,076",453,525,456,814,"2,862",263,344,329,255,952,470,"1,613",479,"3,771","3,084",406
2021년06월_계_10~19세,"22,576",741,659,770,"1,292","4,851",286,394,573,347,"1,125",429,"2,211",571,"5,807","2,129",391
2021년06월_계_20~29세,"27,664",811,845,"1,216","1,966","3,274",668,821,"1,154",922,"1,493",984,"3,102","1,098","6,361","2,413",536
2021년06월_계_30~39세,"25,073",660,823,853,"1,543","2,757",615,767,"1,044",751,"1,422",906,"2,524",894,"5,195","3,730",589
2021년06월_계_40~49세,"33,993","1,036","1,081","1,236","2,061","5,553",720,960,"1,162",815,"1,872",886,"3,365","1,102","7,690","3,646",808
2021년06월_계_50~59세,"32,803","1,099",992,"1,478","2,121","4,297",864,"1,180","1,471","1,165","1,885",938,"3,533","1,392","6,843","2,564",981
2021년06월_계_60~69세,"28,562","1,024",924,"1,425","1,945","2,962",844,"1,166","1,539","1,234","1,876",910,"2,818","1,416","5,388","1,885","1,206"
2021년06월_계_70~79세,"17,424",856,651,"1,068","1,150","1,440",673,"1,033",965,688,"1,128",631,"1,576",887,"3,091",769,818
2021년06월_계_80~89세,"7,559",369,266,456,608,711,287,429,371,269,476,254,589,313,"1,285",337,539
2021년06월_계_90~99세,"1,141",59,28,69,99,125,30,62,48,37,86,31,83,39,200,72,73
2021년06월_계_100세 이상,39,1,6,2,3,2,1,0,2,0,2,1,4,1,7,2,5
2021년06월_남_총인구수,"102,885","3,267","3,241","4,266","6,402","13,522","2,704","3,669","4,450","3,235","5,829","3,171","10,360","4,070","21,538","10,018","3,143"
2021년06월_남_연령구간인구수,"102,885","3,267","3,241","4,266","6,402","13,522","2,704","3,669","4,450","3,235","5,829","3,171","10,360","4,070","21,538","10,018","3,143"
2021년06월_남_0~9세,"8,693",227,266,233,426,"1,419",132,177,164,132,488,251,826,233,"1,876","1,613",230
2021년06월_남_10~19세,"11,289",370,321,392,652,"2,452",155,206,316,177,546,209,"1,126",287,"2,815","1,082",183
2021년06월_남_20~29세,"14,233",404,440,621,989,"1,706",354,470,631,485,764,446,"1,557",607,"3,222","1,231",306
2021년06월_남_30~39세,"12,468",322,398,453,788,"1,233",332,423,597,421,702,473,"1,282",484,"2,451","1,786",323
2021년06월_남_40~49세,"16,752",506,536,611,"1,000","2,496",415,585,663,473,918,492,"1,658",565,"3,582","1,802",450
2021년06월_남_50~59세,"15,554",490,484,679,961,"1,979",473,636,747,556,883,472,"1,646",655,"3,196","1,194",503
2021년06월_남_60~69세,"13,073",431,398,628,869,"1,318",411,558,738,585,828,419,"1,326",673,"2,427",844,620
2021년06월_남_70~79세,"7,761",361,288,470,487,632,310,446,441,306,478,296,704,420,"1,416",352,354
2021년06월_남_80~89세,"2,812",138,99,163,207,262,114,155,139,94,198,108,225,134,505,106,165
2021년06월_남_90~99세,245,17,9,16,23,25,8,13,14,6,24,5,9,12,48,8,8
2021년06월_남_100세 이상,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021년06월_여_총인구수,"111,025","3,842","3,559","4,763","7,200","15,312","2,547","3,487","4,208","3,248","6,488","3,269","11,058","4,122","24,100","10,613","3,209"
2021년06월_여_연령구간인구수,"111,025","3,842","3,559","4,763","7,200","15,312","2,547","3,487","4,208","3,248","6,488","3,269","11,058","4,122","24,100","10,613","3,209"
2021년06월_여_0~9세,"8,383",226,259,223,388,"1,443",131,167,165,123,464,219,787,246,"1,895","1,471",176
2021년06월_여_10~19세,"11,287",371,338,378,640,"2,399",131,188,257,170,579,220,"1,085",284,"2,992","1,047",208
2021년06월_여_20~29세,"13,431",407,405,595,977,"1,568",314,351,523,437,729,538,"1,545",491,"3,139","1,182",230
2021년06월_여_30~39세,"12,605",338,425,400,755,"1,524",283,344,447,330,720,433,"1,242",410,"2,744","1,944",266
2021년06월_여_40~49세,"17,241",530,545,625,"1,061","3,057",305,375,499,342,954,394,"1,707",537,"4,108","1,844",358
2021년06월_여_50~59세,"17,249",609,508,799,"1,160","2,318",391,544,724,609,"1,002",466,"1,887",737,"3,647","1,370",478
2021년06월_여_60~69세,"15,489",593,526,797,"1,076","1,644",433,608,801,649,"1,048",491,"1,492",743,"2,961","1,041",586
2021년06월_여_70~79세,"9,663",495,363,598,663,808,363,587,524,382,650,335,872,467,"1,675",417,464
2021년06월_여_80~89세,"4,747",231,167,293,401,449,173,274,232,175,278,146,364,179,780,231,374
2021년06월_여_90~99세,896,42,19,53,76,100,22,49,34,31,62,26,74,27,152,64,65
2021년06월_여_100세 이상,34,0,4,2,3,2,1,0,2,0,2,1,3,1,7,2,4
