,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년08월_계_총인구수,"114,021","32,948","24,433","31,011","4,117","5,355","3,408","9,606","3,143"
2021년08월_계_연령구간인구수,"114,021","32,948","24,433","31,011","4,117","5,355","3,408","9,606","3,143"
2021년08월_계_0~9세,"8,924","2,213","1,781","4,173",76,124,67,286,204
2021년08월_계_10~19세,"11,417","3,296","3,140","3,784",111,173,116,626,171
2021년08월_계_20~29세,"11,751","3,769","2,917","2,955",278,392,225,"1,011",204
2021년08월_계_30~39세,"14,040","3,304","2,385","6,626",242,330,202,648,303
2021년08월_계_40~49세,"20,480","5,292","5,110","7,217",348,469,333,"1,310",401
2021년08월_계_50~59세,"19,839","6,252","4,950","3,322",776,"1,082",705,"2,200",552
2021년08월_계_60~69세,"14,694","4,684","2,469","1,750","1,049","1,414",900,"1,806",622
2021년08월_계_70~79세,"7,658","2,420","1,065",746,692,782,536,"1,048",369
2021년08월_계_80~89세,"4,545","1,511",544,386,474,497,266,597,270
2021년08월_계_90~99세,651,195,72,51,69,91,58,71,44
2021년08월_계_100세 이상,22,12,0,1,2,1,0,3,3
2021년08월_남_총인구수,"59,390","16,521","12,696","16,726","2,211","2,738","1,860","5,000","1,638"
2021년08월_남_연령구간인구수,"59,390","16,521","12,696","16,726","2,211","2,738","1,860","5,000","1,638"
2021년08월_남_0~9세,"4,627","1,133",933,"2,164",38,64,36,144,115
2021년08월_남_10~19세,"5,981","1,697","1,635","1,999",65,88,58,341,98
2021년08월_남_20~29세,"6,717","2,167","1,706","1,541",160,262,148,604,129
2021년08월_남_30~39세,"7,611","1,762","1,223","3,581",149,203,128,404,161
2021년08월_남_40~49세,"11,021","2,702","2,519","4,120",244,293,206,704,233
2021년08월_남_50~59세,"10,738","3,170","2,687","2,000",456,547,406,"1,174",298
2021년08월_남_60~69세,"7,662","2,339","1,322",868,597,745,499,955,337
2021년08월_남_70~79세,"3,393","1,010",471,322,318,372,268,463,169
2021년08월_남_80~89세,"1,479",488,179,120,167,153,92,194,86
2021년08월_남_90~99세,159,52,21,11,17,11,19,17,11
2021년08월_남_100세 이상,2,1,0,0,0,0,0,0,1
2021년08월_여_총인구수,"54,631","16,427","11,737","14,285","1,906","2,617","1,548","4,606","1,505"
2021년08월_여_연령구간인구수,"54,631","16,427","11,737","14,285","1,906","2,617","1,548","4,606","1,505"
2021년08월_여_0~9세,"4,297","1,080",848,"2,009",38,60,31,142,89
2021년08월_여_10~19세,"5,436","1,599","1,505","1,785",46,85,58,285,73
2021년08월_여_20~29세,"5,034","1,602","1,211","1,414",118,130,77,407,75
2021년08월_여_30~39세,"6,429","1,542","1,162","3,045",93,127,74,244,142
2021년08월_여_40~49세,"9,459","2,590","2,591","3,097",104,176,127,606,168
2021년08월_여_50~59세,"9,101","3,082","2,263","1,322",320,535,299,"1,026",254
2021년08월_여_60~69세,"7,032","2,345","1,147",882,452,669,401,851,285
2021년08월_여_70~79세,"4,265","1,410",594,424,374,410,268,585,200
2021년08월_여_80~89세,"3,066","1,023",365,266,307,344,174,403,184
2021년08월_여_90~99세,492,143,51,40,52,80,39,54,33
2021년08월_여_100세 이상,20,11,0,1,2,1,0,3,2
