카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년12월_계_총인구수,"412,279","20,524","26,237","32,437","30,833","26,771","1,969","34,464","15,707","22,190","19,177","20,907","16,848","19,347","18,783","23,524","43,074","21,927","17,560"
2021년12월_계_연령구간인구수,"412,279","20,524","26,237","32,437","30,833","26,771","1,969","34,464","15,707","22,190","19,177","20,907","16,848","19,347","18,783","23,524","43,074","21,927","17,560"
2021년12월_계_0~9세,"31,699","1,340","2,354","1,742","2,800","1,943",99,"3,293","1,682","1,848","1,630","1,401","1,075","1,100","1,307","1,567","3,412","1,306","1,800"
2021년12월_계_10~19세,"44,477","1,886","2,428","2,817","4,149","3,398",317,"3,840","2,850","3,056","2,221","2,817","1,315","1,602","1,850","2,720","4,334","1,552","1,325"
2021년12월_계_20~29세,"52,009","2,820","3,486","5,446","3,488","3,368",237,"4,197","1,331","2,388","2,197","2,610","2,319","2,559","2,249","3,015","5,123","3,317","1,859"
2021년12월_계_30~39세,"59,545","3,466","4,948","5,504","3,399","3,393",161,"5,612","1,301","2,421","2,464","2,336","2,829","2,959","2,449","3,298","6,302","4,254","2,449"
2021년12월_계_40~49세,"75,078","3,691","4,861","5,068","6,157","5,114",380,"7,103","3,600","4,483","3,594","3,870","2,730","3,008","2,926","4,319","7,484","3,661","3,029"
2021년12월_계_50~59세,"62,579","3,017","3,509","4,965","4,909","4,606",371,"4,583","2,229","3,652","2,963","3,502","2,485","2,983","3,100","3,697","6,239","3,330","2,439"
2021년12월_계_60~69세,"48,095","2,395","2,646","3,760","3,136","2,874",211,"3,348","1,383","2,313","2,326","2,320","2,163","2,857","2,776","2,471","5,845","2,716","2,555"
2021년12월_계_70~79세,"26,738","1,315","1,450","2,152","1,872","1,373",129,"1,794",924,"1,357","1,236","1,299","1,348","1,628","1,457","1,618","3,021","1,306","1,459"
2021년12월_계_80~89세,"10,219",497,474,843,785,584,54,590,355,557,457,640,508,558,565,724,"1,075",402,551
2021년12월_계_90~99세,"1,747",96,78,130,130,110,6,97,47,106,87,105,71,89,100,94,232,80,89
2021년12월_계_100세 이상,93,1,3,10,8,8,4,7,5,9,2,7,5,4,4,1,7,3,5
