카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년10월_계_총인구수,"538,682","55,799","18,570","6,381","7,341","3,819","3,141","5,752","9,686","9,020","9,856","73,391","80,059","9,514","40,005","32,779","7,551","56,892","36,286","72,840"
2021년10월_계_연령구간인구수,"538,682","55,799","18,570","6,381","7,341","3,819","3,141","5,752","9,686","9,020","9,856","73,391","80,059","9,514","40,005","32,779","7,551","56,892","36,286","72,840"
2021년10월_계_0~9세,"46,394","6,202","2,860",199,170,83,76,134,524,573,552,"4,513","6,939",517,"2,381","1,411",468,"5,030","3,385","10,377"
2021년10월_계_10~19세,"60,229","6,217","1,287",301,307,115,135,207,647,537,621,"7,261","10,282",709,"3,743","2,896",732,"7,928","5,090","11,214"
2021년10월_계_20~29세,"67,269","5,219","2,063",557,552,299,264,357,"1,298","1,014","1,370","12,028","10,663","1,201","5,871","5,606",981,"6,981","4,353","6,592"
2021년10월_계_30~39세,"66,842","8,345","3,978",504,549,242,225,364,"1,198","1,157","1,184","8,469","9,212",954,"4,225","2,900",745,"6,769","4,344","11,478"
2021년10월_계_40~49세,"96,220","10,929","3,066",764,684,339,320,514,"1,314","1,179","1,349","11,286","14,912","1,302","6,106","4,659","1,166","11,777","7,646","16,908"
2021년10월_계_50~59세,"98,488","8,463","2,829","1,372","1,505",790,706,"1,014","1,937","1,658","2,069","16,254","15,221","1,969","8,687","7,397","1,553","9,842","6,309","8,913"
2021년10월_계_60~69세,"62,643","6,328","1,660","1,448","1,870","1,021",827,"1,683","1,688","1,618","1,662","8,572","8,047","1,715","5,668","4,911","1,182","5,011","3,114","4,618"
2021년10월_계_70~79세,"27,004","2,687",517,755,"1,016",589,385,946,729,882,736,"3,225","3,205",774,"2,291","1,966",498,"2,401","1,420","1,982"
2021년10월_계_80~89세,"12,072","1,245",279,406,608,304,169,456,315,353,286,"1,613","1,406",339,933,928,196,"1,030",540,666
2021년10월_계_90~99세,"1,486",160,31,75,79,37,31,75,35,48,26,165,170,33,99,103,25,120,84,90
2021년10월_계_100세 이상,35,4,0,0,1,0,3,2,1,1,1,5,2,1,1,2,5,3,1,2
2021년10월_남_총인구수,"272,490","28,741","9,498","3,495","4,012","2,036","1,737","2,986","4,960","4,508","5,039","36,590","40,074","5,048","20,356","16,787","3,844","28,330","18,299","36,150"
2021년10월_남_연령구간인구수,"272,490","28,741","9,498","3,495","4,012","2,036","1,737","2,986","4,960","4,508","5,039","36,590","40,074","5,048","20,356","16,787","3,844","28,330","18,299","36,150"
2021년10월_남_0~9세,"23,741","3,218","1,450",115,91,53,46,65,277,306,289,"2,376","3,548",284,"1,238",724,251,"2,463","1,700","5,247"
2021년10월_남_10~19세,"31,190","3,213",658,163,178,63,70,116,316,284,327,"3,756","5,392",368,"1,951","1,526",359,"4,080","2,628","5,742"
2021년10월_남_20~29세,"36,726","2,908","1,053",361,353,180,160,222,714,559,748,"6,533","5,797",669,"3,194","3,146",544,"3,735","2,412","3,438"
2021년10월_남_30~39세,"34,528","4,297","2,020",290,357,147,144,218,685,587,643,"4,470","4,675",551,"2,311","1,622",403,"3,419","2,230","5,459"
2021년10월_남_40~49세,"47,867","5,849","1,626",478,453,204,199,303,671,624,719,"5,308","7,065",711,"3,101","2,333",580,"5,667","3,696","8,280"
2021년10월_남_50~59세,"50,471","4,445","1,404",803,872,451,405,544,999,825,"1,046","7,879","7,689","1,068","4,330","3,686",788,"5,170","3,340","4,727"
2021년10월_남_60~69세,"31,993","3,154",942,782,"1,025",550,454,889,865,805,824,"4,494","4,090",913,"2,933","2,602",618,"2,401","1,515","2,137"
2021년10월_남_70~79세,"11,924","1,223",261,344,499,280,197,464,325,375,335,"1,302","1,362",360,"1,004",843,224,"1,035",590,901
2021년10월_남_80~89세,"3,776",409,78,147,176,104,58,150,100,134,105,442,422,119,273,284,68,332,172,203
2021년10월_남_90~99세,266,25,6,12,8,4,4,15,7,9,3,29,34,5,21,20,7,27,15,15
2021년10월_남_100세 이상,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,1,1
2021년10월_여_총인구수,"266,192","27,058","9,072","2,886","3,329","1,783","1,404","2,766","4,726","4,512","4,817","36,801","39,985","4,466","19,649","15,992","3,707","28,562","17,987","36,690"
2021년10월_여_연령구간인구수,"266,192","27,058","9,072","2,886","3,329","1,783","1,404","2,766","4,726","4,512","4,817","36,801","39,985","4,466","19,649","15,992","3,707","28,562","17,987","36,690"
2021년10월_여_0~9세,"22,653","2,984","1,410",84,79,30,30,69,247,267,263,"2,137","3,391",233,"1,143",687,217,"2,567","1,685","5,130"
2021년10월_여_10~19세,"29,039","3,004",629,138,129,52,65,91,331,253,294,"3,505","4,890",341,"1,792","1,370",373,"3,848","2,462","5,472"
2021년10월_여_20~29세,"30,543","2,311","1,010",196,199,119,104,135,584,455,622,"5,495","4,866",532,"2,677","2,460",437,"3,246","1,941","3,154"
2021년10월_여_30~39세,"32,314","4,048","1,958",214,192,95,81,146,513,570,541,"3,999","4,537",403,"1,914","1,278",342,"3,350","2,114","6,019"
2021년10월_여_40~49세,"48,353","5,080","1,440",286,231,135,121,211,643,555,630,"5,978","7,847",591,"3,005","2,326",586,"6,110","3,950","8,628"
2021년10월_여_50~59세,"48,017","4,018","1,425",569,633,339,301,470,938,833,"1,023","8,375","7,532",901,"4,357","3,711",765,"4,672","2,969","4,186"
2021년10월_여_60~69세,"30,650","3,174",718,666,845,471,373,794,823,813,838,"4,078","3,957",802,"2,735","2,309",564,"2,610","1,599","2,481"
2021년10월_여_70~79세,"15,080","1,464",256,411,517,309,188,482,404,507,401,"1,923","1,843",414,"1,287","1,123",274,"1,366",830,"1,081"
2021년10월_여_80~89세,"8,296",836,201,259,432,200,111,306,215,219,181,"1,171",984,220,660,644,128,698,368,463
2021년10월_여_90~99세,"1,220",135,25,63,71,33,27,60,28,39,23,136,136,28,78,83,18,93,69,75
2021년10월_여_100세 이상,27,4,0,0,1,0,3,2,0,1,1,4,2,1,1,1,3,2,0,1
