카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년02월_계_총인구수,"96,942","6,572","1,406","3,860","3,049",993,"2,652","3,949","1,654","1,970","2,572","1,746",756,"1,988","2,744","1,232",332,"2,724","1,142",377,"2,137","2,056",820,"12,160","9,096","8,055","8,321","3,619","8,960"
2021년02월_계_연령구간인구수,"96,942","6,572","1,406","3,860","3,049",993,"2,652","3,949","1,654","1,970","2,572","1,746",756,"1,988","2,744","1,232",332,"2,724","1,142",377,"2,137","2,056",820,"12,160","9,096","8,055","8,321","3,619","8,960"
2021년02월_계_0~9세,"5,163",279,41,106,91,30,83,90,59,57,96,57,24,65,133,30,5,89,20,9,36,62,25,901,709,596,556,166,748
2021년02월_계_10~19세,"7,449",520,59,165,159,33,104,193,66,91,146,69,39,105,145,65,11,152,43,19,94,87,34,"1,300",853,812,788,343,954
2021년02월_계_20~29세,"7,960",402,72,194,164,52,142,194,75,102,152,99,28,99,146,70,13,123,44,12,98,99,46,"1,285",971,746,856,306,"1,370"
2021년02월_계_30~39세,"7,354",459,69,211,126,36,152,198,83,96,128,89,46,103,168,68,9,141,29,9,102,71,32,"1,233","1,045",792,747,255,857
2021년02월_계_40~49세,"11,427",741,106,331,253,72,207,297,127,141,244,164,57,166,251,111,25,285,81,24,169,187,64,"1,772","1,376","1,176","1,177",488,"1,335"
2021년02월_계_50~59세,"16,650","1,071",237,632,514,200,431,634,287,382,503,329,151,386,519,260,67,486,168,70,303,305,160,"2,089","1,546","1,390","1,513",620,"1,397"
2021년02월_계_60~69세,"18,533","1,348",309,890,658,229,631,994,383,502,647,432,197,454,615,278,101,600,300,73,530,436,190,"1,846","1,446","1,237","1,316",651,"1,240"
2021년02월_계_70~79세,"12,564",959,294,675,558,150,469,749,298,331,384,275,111,349,413,188,57,452,258,71,427,420,141,"1,119",704,760,840,484,628
2021년02월_계_80~89세,"8,477",683,194,567,437,171,369,518,234,238,238,201,91,213,312,138,39,339,170,80,320,321,101,527,391,487,459,268,371
2021년02월_계_90~99세,"1,301",101,25,85,83,18,60,79,42,30,30,30,12,47,41,22,5,53,27,10,57,66,26,81,55,56,66,35,59
2021년02월_계_100세 이상,64,9,0,4,6,2,4,3,0,0,4,1,0,1,1,2,0,4,2,0,1,2,1,7,0,3,3,3,1
2021년02월_남_총인구수,"47,506","3,170",686,"1,886","1,484",486,"1,296","1,940",826,"1,007","1,287",880,362,999,"1,334",621,172,"1,290",526,199,"1,015",989,391,"5,964","4,532","3,842","4,045","1,769","4,508"
2021년02월_남_연령구간인구수,"47,506","3,170",686,"1,886","1,484",486,"1,296","1,940",826,"1,007","1,287",880,362,999,"1,334",621,172,"1,290",526,199,"1,015",989,391,"5,964","4,532","3,842","4,045","1,769","4,508"
2021년02월_남_0~9세,"2,677",152,27,54,47,16,45,43,26,24,51,26,13,33,74,19,2,40,8,3,15,39,12,462,349,302,299,98,398
2021년02월_남_10~19세,"3,903",251,26,101,80,12,68,117,42,55,74,35,20,56,68,29,6,77,26,13,45,39,16,730,455,399,396,188,479
2021년02월_남_20~29세,"4,626",233,44,129,99,35,95,123,45,60,99,67,15,55,85,35,9,73,23,9,68,56,17,730,543,411,471,180,817
2021년02월_남_30~39세,"3,958",254,39,122,81,20,86,113,40,61,64,54,21,60,90,45,5,79,14,6,67,43,12,662,548,432,381,130,429
2021년02월_남_40~49세,"6,063",397,76,217,151,44,137,193,90,77,147,97,35,103,139,57,15,160,51,14,105,108,40,853,684,592,554,271,656
2021년02월_남_50~59세,"8,804",576,144,359,280,118,229,338,176,210,261,189,74,222,266,149,41,265,93,46,162,180,90,"1,024",802,676,825,320,689
2021년02월_남_60~69세,"9,101",668,149,464,351,115,321,490,194,280,331,226,109,232,314,141,57,291,148,40,264,221,103,842,704,572,592,275,607
2021년02월_남_70~79세,"5,449",402,123,277,245,69,186,329,132,154,167,113,48,159,176,86,24,193,104,35,189,182,67,486,307,312,368,215,301
2021년02월_남_80~89세,"2,667",215,54,152,132,53,117,176,73,81,85,63,27,72,110,56,13,100,56,30,90,100,30,162,134,135,145,88,118
2021년02월_남_90~99세,245,19,4,11,16,4,11,17,8,5,7,9,0,6,12,4,0,11,3,3,10,21,4,13,6,11,13,4,13
2021년02월_남_100세 이상,13,3,0,0,2,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2021년02월_여_총인구수,"49,436","3,402",720,"1,974","1,565",507,"1,356","2,009",828,963,"1,285",866,394,989,"1,410",611,160,"1,434",616,178,"1,122","1,067",429,"6,196","4,564","4,213","4,276","1,850","4,452"
2021년02월_여_연령구간인구수,"49,436","3,402",720,"1,974","1,565",507,"1,356","2,009",828,963,"1,285",866,394,989,"1,410",611,160,"1,434",616,178,"1,122","1,067",429,"6,196","4,564","4,213","4,276","1,850","4,452"
2021년02월_여_0~9세,"2,486",127,14,52,44,14,38,47,33,33,45,31,11,32,59,11,3,49,12,6,21,23,13,439,360,294,257,68,350
2021년02월_여_10~19세,"3,546",269,33,64,79,21,36,76,24,36,72,34,19,49,77,36,5,75,17,6,49,48,18,570,398,413,392,155,475
2021년02월_여_20~29세,"3,334",169,28,65,65,17,47,71,30,42,53,32,13,44,61,35,4,50,21,3,30,43,29,555,428,335,385,126,553
2021년02월_여_30~39세,"3,396",205,30,89,45,16,66,85,43,35,64,35,25,43,78,23,4,62,15,3,35,28,20,571,497,360,366,125,428
2021년02월_여_40~49세,"5,364",344,30,114,102,28,70,104,37,64,97,67,22,63,112,54,10,125,30,10,64,79,24,919,692,584,623,217,679
2021년02월_여_50~59세,"7,846",495,93,273,234,82,202,296,111,172,242,140,77,164,253,111,26,221,75,24,141,125,70,"1,065",744,714,688,300,708
2021년02월_여_60~69세,"9,432",680,160,426,307,114,310,504,189,222,316,206,88,222,301,137,44,309,152,33,266,215,87,"1,004",742,665,724,376,633
2021년02월_여_70~79세,"7,115",557,171,398,313,81,283,420,166,177,217,162,63,190,237,102,33,259,154,36,238,238,74,633,397,448,472,269,327
2021년02월_여_80~89세,"5,810",468,140,415,305,118,252,342,161,157,153,138,64,141,202,82,26,239,114,50,230,221,71,365,257,352,314,180,253
2021년02월_여_90~99세,"1,056",82,21,74,67,14,49,62,34,25,23,21,12,41,29,18,5,42,24,7,47,45,22,68,49,45,53,31,46
2021년02월_여_100세 이상,51,6,0,4,4,2,3,2,0,0,3,0,0,0,1,2,0,3,2,0,1,2,1,7,0,3,2,3,0
