카테고리,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년05월_계_총인구수,"940,519","234,702","13,518","9,838","11,188","15,713","15,940","13,791","13,836","12,707","16,451","16,148","13,029","10,121","11,485","45,781","4,810","7,067","3,279","218,785","33,752","14,344","7,144","25,064","10,912","24,995","26,241","14,218","12,817","21,319","27,979","487,032","26,848","18,204","10,792","14,249","20,029","31,195","16,228","15,802","32,600","18,897","26,180","14,026","17,900","17,011","29,610","23,950","24,894","28,139","29,181","17,912","31,830","21,555"
2020년05월_계_연령구간인구수,"940,519","234,702","13,518","9,838","11,188","15,713","15,940","13,791","13,836","12,707","16,451","16,148","13,029","10,121","11,485","45,781","4,810","7,067","3,279","218,785","33,752","14,344","7,144","25,064","10,912","24,995","26,241","14,218","12,817","21,319","27,979","487,032","26,848","18,204","10,792","14,249","20,029","31,195","16,228","15,802","32,600","18,897","26,180","14,026","17,900","17,011","29,610","23,950","24,894","28,139","29,181","17,912","31,830","21,555"
2020년05월_계_0~9세,"70,631","15,570",539,733,428,572,802,703,762,418,866,"1,155",633,657,785,"5,176",566,577,198,"13,861","1,611",931,440,"1,342",706,"1,425","1,746",589,623,"1,488","2,960","41,200","2,115","1,305","1,212","1,101","1,538","2,137",960,"1,385","2,533","1,459","2,349","1,067","1,379","1,308","2,380","3,128","2,885","3,098","1,972","1,375","2,301","2,213"
2020년05월_계_10~19세,"89,441","17,580",747,908,672,845,"1,208",963,"1,279",731,"1,113","1,359","1,097",953,513,"4,097",433,477,185,"17,231","2,053",919,478,"2,037","1,095","2,115","1,911","1,008",957,"1,855","2,803","54,630","3,072","2,276","1,996","2,503","1,970","3,331","1,467","1,802","4,419","2,326","3,205","1,897","1,326","1,810","2,180","3,381","3,027","3,185","2,459","1,780","2,842","2,376"
2020년05월_계_20~29세,"132,358","34,121","2,015","1,273","1,728","2,769","2,472","1,961","2,039","1,781","2,416","2,188","1,729","1,434","2,304","5,682",738,"1,176",416,"31,469","5,788","1,582",968,"3,869","1,790","3,565","3,578","1,862","1,866","3,140","3,461","66,768","3,839","2,455",975,"1,874","3,191","4,728","2,097","2,109","4,661","2,861","3,450","1,869","2,883","2,181","4,232","2,347","3,027","3,914","4,203","2,720","4,641","2,511"
2020년05월_계_30~39세,"138,313","34,841","1,801","1,284","1,534","2,256","2,222","1,827","1,685","1,521","2,219","2,322","1,670","1,188","2,780","7,716",924,"1,391",501,"31,630","5,684","1,976","1,135","3,479","1,395","3,121","4,077","1,710","1,610","2,943","4,500","71,842","3,706","2,573",941,"1,614","3,651","5,206","3,061","2,396","4,267","2,423","3,686","1,406","2,957","2,204","5,531","3,217","3,557","4,068","4,776","2,835","4,618","3,149"
2020년05월_계_40~49세,"158,734","36,847","2,047","1,561","1,740","2,156","2,347","2,060","2,262","1,814","2,388","2,537","2,252","1,705","2,022","7,840",752,909,455,"33,856","4,804","2,280","1,079","3,906","1,722","3,910","4,097","2,115","1,872","3,099","4,972","88,031","4,799","3,742","2,674","3,282","3,281","6,027","2,716","2,881","6,527","3,347","4,735","2,491","2,763","2,809","4,450","5,247","4,693","4,763","4,559","3,034","5,177","4,034"
2020년05월_계_50~59세,"156,050","40,448","2,623","1,758","2,156","2,772","2,873","2,639","2,448","2,525","2,986","2,751","2,256","1,754","1,375","7,306",595,"1,104",527,"39,341","5,766","2,702","1,288","4,395","1,874","4,570","4,742","3,031","2,654","4,080","4,239","76,261","4,268","2,779","1,462","2,092","2,911","4,704","2,420","2,459","4,908","3,326","4,143","2,367","2,768","2,628","4,677","3,352","3,959","4,764","4,612","2,924","5,243","3,495"
2020년05월_계_60~69세,"109,093","31,523","2,123","1,395","1,647","2,369","2,247","2,058","1,778","2,157","2,525","2,101","1,797","1,319","1,051","5,071",500,826,559,"29,748","4,536","2,281","1,020","3,495","1,265","3,395","3,633","2,268","1,903","2,945","3,007","47,822","2,784","1,380",743,"1,040","2,029","2,469","1,703","1,349","2,676","1,830","2,516","1,599","2,170","2,192","3,595","1,961","2,238","2,640","3,386","1,744","3,381","2,397"
2020년05월_계_70~79세,"57,133","16,602","1,136",648,935,"1,402","1,213","1,079","1,074","1,219","1,399","1,182","1,156",779,472,"1,950",210,426,322,"15,068","2,428","1,166",480,"1,766",750,"2,048","1,748","1,162",916,"1,217","1,387","25,463","1,441",949,493,475,"1,012","1,643","1,034",814,"1,569",822,"1,357",828,"1,104","1,203","1,680",877,"1,018","1,146","1,980",945,"2,154",919
