카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년12월_계_총인구수,"176,384","14,775","7,180","12,782","16,671","27,921","19,594","11,053","16,475","13,686","6,683","13,076","16,488"
2020년12월_계_연령구간인구수,"176,384","14,775","7,180","12,782","16,671","27,921","19,594","11,053","16,475","13,686","6,683","13,076","16,488"
2020년12월_계_0~9세,"11,307",681,315,698,974,"2,071",988,503,"2,052",771,466,823,965
2020년12월_계_10~19세,"16,700",989,513,"1,021","1,718","3,921","1,600",908,"1,466","1,249",619,"1,063","1,633"
2020년12월_계_20~29세,"24,528","2,329",791,"1,469","2,314","4,125","2,975","1,484","2,006","2,059","1,030","1,722","2,224"
2020년12월_계_30~39세,"20,177","1,580",849,"1,266","1,651","2,737","2,264","1,106","2,909","1,624","1,019","1,574","1,598"
2020년12월_계_40~49세,"27,261","1,973","1,100","1,793","2,620","5,081","3,068","1,552","2,686","2,100","1,180","1,758","2,350"
2020년12월_계_50~59세,"33,686","2,815","1,353","2,427","3,183","5,591","3,747","2,177","2,658","2,651","1,180","2,582","3,322"
2020년12월_계_60~69세,"24,620","2,567","1,295","2,259","2,441","2,614","2,921","1,803","1,667","1,749",721,"1,970","2,613"
2020년12월_계_70~79세,"12,102","1,298",663,"1,191","1,208","1,129","1,420","1,020",649,983,313,"1,057","1,171"
2020년12월_계_80~89세,"5,275",461,248,582,500,575,547,439,338,440,131,479,535
2020년12월_계_90~99세,689,77,51,69,55,73,63,53,43,58,23,47,77
2020년12월_계_100세 이상,39,5,2,7,7,4,1,8,1,2,1,1,0
2020년12월_남_총인구수,"89,698","7,838","3,789","6,478","8,317","13,833","10,173","5,646","8,467","7,273","3,624","6,230","8,030"
2020년12월_남_연령구간인구수,"89,698","7,838","3,789","6,478","8,317","13,833","10,173","5,646","8,467","7,273","3,624","6,230","8,030"
2020년12월_남_0~9세,"5,693",352,166,342,482,"1,048",490,235,"1,059",413,223,397,486
2020년12월_남_10~19세,"8,714",553,280,534,907,"1,996",858,483,769,638,313,537,846
2020년12월_남_20~29세,"13,576","1,274",461,795,"1,275","2,220","1,659",829,"1,098","1,214",601,920,"1,230"
2020년12월_남_30~39세,"11,032",899,453,686,907,"1,376","1,305",628,"1,506",957,626,842,847
2020년12월_남_40~49세,"13,883","1,120",636,948,"1,288","2,276","1,632",823,"1,421","1,143",665,852,"1,079"
2020년12월_남_50~59세,"17,121","1,494",730,"1,262","1,566","2,868","1,915","1,136","1,311","1,432",634,"1,213","1,560"
2020년12월_남_60~69세,"12,194","1,320",677,"1,126","1,140","1,324","1,434",876,863,850,370,920,"1,294"
2020년12월_남_70~79세,"5,467",632,294,550,544,496,657,474,307,448,145,414,506
2020년12월_남_80~89세,"1,866",181,86,209,191,212,211,155,125,162,43,121,170
2020년12월_남_90~99세,142,11,6,22,15,16,12,6,8,16,4,14,12
2020년12월_남_100세 이상,10,2,0,4,2,1,0,1,0,0,0,0,0
2020년12월_여_총인구수,"86,686","6,937","3,391","6,304","8,354","14,088","9,421","5,407","8,008","6,413","3,059","6,846","8,458"
2020년12월_여_연령구간인구수,"86,686","6,937","3,391","6,304","8,354","14,088","9,421","5,407","8,008","6,413","3,059","6,846","8,458"
2020년12월_여_0~9세,"5,614",329,149,356,492,"1,023",498,268,993,358,243,426,479
2020년12월_여_10~19세,"7,986",436,233,487,811,"1,925",742,425,697,611,306,526,787
2020년12월_여_20~29세,"10,952","1,055",330,674,"1,039","1,905","1,316",655,908,845,429,802,994
2020년12월_여_30~39세,"9,145",681,396,580,744,"1,361",959,478,"1,403",667,393,732,751
2020년12월_여_40~49세,"13,378",853,464,845,"1,332","2,805","1,436",729,"1,265",957,515,906,"1,271"
2020년12월_여_50~59세,"16,565","1,321",623,"1,165","1,617","2,723","1,832","1,041","1,347","1,219",546,"1,369","1,762"
2020년12월_여_60~69세,"12,426","1,247",618,"1,133","1,301","1,290","1,487",927,804,899,351,"1,050","1,319"
2020년12월_여_70~79세,"6,635",666,369,641,664,633,763,546,342,535,168,643,665
2020년12월_여_80~89세,"3,409",280,162,373,309,363,336,284,213,278,88,358,365
2020년12월_여_90~99세,547,66,45,47,40,57,51,47,35,42,19,33,65
2020년12월_여_100세 이상,29,3,2,3,5,3,1,7,1,2,1,1,0
