카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년08월_계_총인구수,"65,708","10,305","3,358","1,728","5,197","1,338",724,"1,864",700,679,"7,752","14,654","9,173","8,236"
2020년08월_계_연령구간인구수,"65,708","10,305","3,358","1,728","5,197","1,338",724,"1,864",700,679,"7,752","14,654","9,173","8,236"
2020년08월_계_0~9세,"3,929",346,94,38,100,28,8,44,14,21,297,"1,709",674,556
2020년08월_계_10~19세,"5,265",859,142,69,240,42,11,70,26,12,494,"1,676",844,780
2020년08월_계_20~29세,"7,397","1,962",263,124,359,68,32,93,28,25,755,"1,908",993,787
2020년08월_계_30~39세,"5,940",588,224,98,283,75,28,93,28,45,621,"2,097",994,766
2020년08월_계_40~49세,"9,033","1,120",403,191,470,151,60,201,79,74,959,"2,560","1,537","1,228"
2020년08월_계_50~59세,"11,446","1,695",641,358,"1,016",298,151,352,140,130,"1,478","2,252","1,553","1,382"
2020년08월_계_60~69세,"10,942","1,823",671,367,"1,154",364,176,420,170,156,"1,584","1,384","1,291","1,382"
2020년08월_계_70~79세,"7,233","1,258",525,300,864,181,144,332,126,125,"1,021",685,831,841
2020년08월_계_80~89세,"3,900",572,336,157,604,115,94,222,79,83,483,322,382,451
2020년08월_계_90~99세,573,67,51,26,100,16,20,36,9,7,58,56,66,61
2020년08월_계_100세 이상,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020년08월_남_총인구수,"33,268","5,129","1,747",858,"2,670",725,395,969,351,372,"3,826","7,462","4,684","4,080"
2020년08월_남_연령구간인구수,"33,268","5,129","1,747",858,"2,670",725,395,969,351,372,"3,826","7,462","4,684","4,080"
2020년08월_남_0~9세,"1,994",162,53,20,52,15,4,25,10,11,160,865,340,277
2020년08월_남_10~19세,"2,736",400,70,39,158,24,6,46,12,5,261,851,462,402
2020년08월_남_20~29세,"4,150","1,047",175,69,228,34,21,61,17,14,420,"1,084",547,433
2020년08월_남_30~39세,"3,216",307,138,65,170,51,17,52,14,26,351,"1,081",527,417
2020년08월_남_40~49세,"4,993",639,266,117,312,108,43,145,52,57,514,"1,267",818,655
2020년08월_남_50~59세,"6,088",903,373,182,585,155,96,202,79,81,719,"1,166",865,682
2020년08월_남_60~69세,"5,471",923,346,190,591,202,104,217,81,89,746,699,621,662
2020년08월_남_70~79세,"3,184",550,217,113,360,83,64,152,56,57,471,309,367,385
2020년08월_남_80~89세,"1,317",173,100,58,201,50,34,64,29,31,173,126,122,156
2020년08월_남_90~99세,107,20,6,5,12,3,6,5,1,1,11,13,14,10
2020년08월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년08월_여_총인구수,"32,440","5,176","1,611",870,"2,527",613,329,895,349,307,"3,926","7,192","4,489","4,156"
2020년08월_여_연령구간인구수,"32,440","5,176","1,611",870,"2,527",613,329,895,349,307,"3,926","7,192","4,489","4,156"
2020년08월_여_0~9세,"1,935",184,41,18,48,13,4,19,4,10,137,844,334,279
2020년08월_여_10~19세,"2,529",459,72,30,82,18,5,24,14,7,233,825,382,378
2020년08월_여_20~29세,"3,247",915,88,55,131,34,11,32,11,11,335,824,446,354
2020년08월_여_30~39세,"2,724",281,86,33,113,24,11,41,14,19,270,"1,016",467,349
2020년08월_여_40~49세,"4,040",481,137,74,158,43,17,56,27,17,445,"1,293",719,573
2020년08월_여_50~59세,"5,358",792,268,176,431,143,55,150,61,49,759,"1,086",688,700
2020년08월_여_60~69세,"5,471",900,325,177,563,162,72,203,89,67,838,685,670,720
2020년08월_여_70~79세,"4,049",708,308,187,504,98,80,180,70,68,550,376,464,456
2020년08월_여_80~89세,"2,583",399,236,99,403,65,60,158,50,52,310,196,260,295
2020년08월_여_90~99세,466,47,45,21,88,13,14,31,8,6,47,43,52,51
2020년08월_여_100세 이상,38,10,5,0,6,0,0,1,1,1,2,4,7,1
