,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년11월_계_총인구수,"85,245","10,644","12,095","5,559","32,718","3,112","6,366","4,709","2,027","5,031","2,984"
2020년11월_계_연령구간인구수,"85,245","10,644","12,095","5,559","32,718","3,112","6,366","4,709","2,027","5,031","2,984"
2020년11월_계_0~9세,"7,662",711,"1,626",170,"4,514",46,200,119,62,132,82
2020년11월_계_10~19세,"9,192","1,121","1,103",317,"5,316",146,440,219,87,263,180
2020년11월_계_20~29세,"8,732","1,303",921,500,"3,968",232,707,323,157,374,247
2020년11월_계_30~39세,"10,033",941,"1,842",336,"5,537",148,447,258,132,233,159
2020년11월_계_40~49세,"13,351","1,534","1,759",600,"7,066",266,706,432,206,501,281
2020년11월_계_50~59세,"12,784","1,861","1,556","1,155","3,777",590,"1,149",897,348,860,591
2020년11월_계_60~69세,"10,764","1,563","1,444","1,167","1,594",597,"1,218","1,002",483,"1,052",644
2020년11월_계_70~79세,"7,906","1,068","1,130",810,644,596,889,906,362,991,510
2020년11월_계_80~89세,"4,172",484,620,425,264,433,514,473,150,547,262
2020년11월_계_90~99세,613,58,93,73,36,56,80,79,37,76,25
2020년11월_계_100세 이상,36,0,1,6,2,2,16,1,3,2,3
2020년11월_남_총인구수,"42,829","5,320","6,078","2,913","16,192","1,547","3,279","2,366","1,044","2,548","1,542"
2020년11월_남_연령구간인구수,"42,829","5,320","6,078","2,913","16,192","1,547","3,279","2,366","1,044","2,548","1,542"
2020년11월_남_0~9세,"3,946",367,852,84,"2,305",19,108,67,37,71,36
2020년11월_남_10~19세,"4,677",590,551,154,"2,725",82,216,95,44,134,86
2020년11월_남_20~29세,"4,704",741,498,286,"1,959",135,427,184,87,247,140
2020년11월_남_30~39세,"5,110",491,929,193,"2,648",105,255,166,82,136,105
2020년11월_남_40~49세,"7,085",784,990,361,"3,459",165,414,291,133,314,174
2020년11월_남_50~59세,"7,023",987,861,674,"1,991",345,643,506,187,477,352
2020년11월_남_60~69세,"5,393",753,693,636,757,300,643,497,250,527,337
2020년11월_남_70~79세,"3,528",448,512,387,274,266,397,396,162,458,228
2020년11월_남_80~89세,"1,261",150,174,127,70,118,167,150,56,173,76
2020년11월_남_90~99세,97,9,18,10,3,11,9,14,6,11,6
2020년11월_남_100세 이상,5,0,0,1,1,1,0,0,0,0,2
2020년11월_여_총인구수,"42,416","5,324","6,017","2,646","16,526","1,565","3,087","2,343",983,"2,483","1,442"
2020년11월_여_연령구간인구수,"42,416","5,324","6,017","2,646","16,526","1,565","3,087","2,343",983,"2,483","1,442"
2020년11월_여_0~9세,"3,716",344,774,86,"2,209",27,92,52,25,61,46
2020년11월_여_10~19세,"4,515",531,552,163,"2,591",64,224,124,43,129,94
2020년11월_여_20~29세,"4,028",562,423,214,"2,009",97,280,139,70,127,107
2020년11월_여_30~39세,"4,923",450,913,143,"2,889",43,192,92,50,97,54
2020년11월_여_40~49세,"6,266",750,769,239,"3,607",101,292,141,73,187,107
2020년11월_여_50~59세,"5,761",874,695,481,"1,786",245,506,391,161,383,239
2020년11월_여_60~69세,"5,371",810,751,531,837,297,575,505,233,525,307
2020년11월_여_70~79세,"4,378",620,618,423,370,330,492,510,200,533,282
2020년11월_여_80~89세,"2,911",334,446,298,194,315,347,323,94,374,186
2020년11월_여_90~99세,516,49,75,63,33,45,71,65,31,65,19
2020년11월_여_100세 이상,31,0,1,5,1,1,16,1,3,2,1
