,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년12월_계_총인구수,"2,626,609","503,852","230,801","273,051","251,889","140,239","156,972","412,581","101,942","101,888","95,566","71,154","268,369","22,945","50,632","24,539","16,320","35,314","41,891","30,626","42,842","113,822","55,739","30,762","47,858","8,867"
2021년12월_계_연령구간인구수,"2,626,609","503,852","230,801","273,051","251,889","140,239","156,972","412,581","101,942","101,888","95,566","71,154","268,369","22,945","50,632","24,539","16,320","35,314","41,891","30,626","42,842","113,822","55,739","30,762","47,858","8,867"
2021년12월_계_0~9세,"178,515","37,303","16,367","20,936","15,375","9,980","9,970","38,692","5,742","5,527","4,902","3,827","19,729",605,"1,801",917,675,"1,458","1,412","1,316","1,819","8,686","4,450","1,227","2,725",377
2021년12월_계_10~19세,"221,964","46,200","20,936","25,264","20,189","12,209","13,343","44,170","8,608","6,547","7,295","5,427","22,857",919,"2,186","1,149",892,"2,030","2,233","1,908","2,182","11,350","4,455","1,803","3,559",453
2021년12월_계_20~29세,"276,021","56,622","26,608","30,014","25,692","14,146","16,268","54,463","9,477","9,646","7,641","6,140","36,271","1,379","2,833","1,572","1,065","2,232","2,582","2,302","3,200","11,574","4,031","1,820","4,253",812
2021년12월_계_30~39세,"279,475","57,588","25,839","31,749","24,522","14,498","14,980","62,965","8,121","9,149","7,029","5,416","32,967","1,206","2,951","1,554",993,"2,157","2,575","2,055","3,149","13,720","5,272","1,752","4,076",780
2021년12월_계_40~49세,"377,180","76,741","35,548","41,193","35,744","19,216","21,625","72,728","13,410","12,245","10,949","8,563","41,676","2,006","4,458","2,239","1,602","3,631","4,283","3,550","4,509","20,557","7,225","3,024","5,986","1,213"
2021년12월_계_50~59세,"454,427","89,130","40,919","48,211","46,590","23,564","25,727","70,065","17,337","18,106","16,169","11,824","45,856","4,154","8,174","4,471","2,846","5,992","7,091","5,716","8,085","20,000","7,901","5,526","8,320","1,783"
2021년12월_계_60~69세,"433,047","82,934","38,397","44,537","43,321","23,391","26,818","43,315","19,200","19,721","19,155","14,084","37,558","5,607","12,182","5,734","3,611","7,540","9,963","6,588","9,853","14,926","9,803","7,111","8,814","1,818"
2021년12월_계_70~79세,"244,151","38,543","17,988","20,555","25,011","13,488","16,671","16,494","11,785","12,741","12,388","9,183","20,275","3,993","8,851","3,970","2,583","5,770","6,674","4,118","5,935","7,686","6,746","4,663","5,534","1,049"
2021년12월_계_80~89세,"140,963","16,407","7,196","9,211","13,521","8,449","10,016","8,411","7,112","7,291","8,621","5,792","9,888","2,710","6,304","2,583","1,772","3,926","4,417","2,722","3,583","4,635","5,114","3,305","3,883",501
2021년12월_계_90~99세,"20,313","2,324",976,"1,348","1,875","1,265","1,513","1,248","1,101",894,"1,381",867,"1,262",351,876,339,268,562,652,347,516,670,718,510,695,79
2021년12월_계_100세 이상,553,60,27,33,49,33,41,30,49,21,36,31,30,15,16,11,13,16,9,4,11,18,24,21,13,2
2021년12월_남_총인구수,"1,323,661","255,292","119,438","135,854","126,024","70,305","77,590","212,021","50,591","51,737","46,869","34,919","134,940","11,761","24,796","12,261","8,144","16,777","20,598","15,741","22,216","59,260","27,391","15,551","24,026","4,851"
2021년12월_남_연령구간인구수,"1,323,661","255,292","119,438","135,854","126,024","70,305","77,590","212,021","50,591","51,737","46,869","34,919","134,940","11,761","24,796","12,261","8,144","16,777","20,598","15,741","22,216","59,260","27,391","15,551","24,026","4,851"
2021년12월_남_0~9세,"91,921","19,334","8,458","10,876","7,861","5,145","5,192","19,886","2,996","2,811","2,552","1,954","10,037",330,951,478,350,727,722,688,918,"4,490","2,262",634,"1,406",197
2021년12월_남_10~19세,"116,463","24,225","10,994","13,231","10,505","6,630","6,983","22,962","4,493","3,490","3,847","2,945","11,884",499,"1,152",607,462,"1,052","1,137","1,018","1,194","5,935","2,354",963,"1,897",229
2021년12월_남_20~29세,"156,417","32,678","15,900","16,778","14,500","7,900","8,833","30,590","5,514","5,668","4,411","3,456","19,729",827,"1,636",958,609,"1,311","1,505","1,343","1,920","6,644","2,266","1,096","2,525",498
2021년12월_남_30~39세,"149,655","30,755","14,115","16,640","13,120","7,608","7,860","33,673","4,369","4,955","3,771","2,856","17,767",709,"1,636",905,547,"1,130","1,395","1,116","1,708","7,435","2,652",975,"2,255",458
