,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년10월_계_총인구수,"27,857","10,313","1,561","2,037","1,741","1,740","1,432","1,988","2,216","1,311","1,160","2,358"
2020년10월_계_연령구간인구수,"27,857","10,313","1,561","2,037","1,741","1,740","1,432","1,988","2,216","1,311","1,160","2,358"
2020년10월_계_0~9세,"1,555",876,67,73,66,47,61,74,126,44,53,68
2020년10월_계_10~19세,"2,221","1,336",93,95,95,69,70,114,141,39,51,118
2020년10월_계_20~29세,"2,090","1,025",103,108,91,105,78,133,131,98,83,135
2020년10월_계_30~39세,"2,031","1,022",99,110,110,105,100,107,126,77,69,106
2020년10월_계_40~49세,"3,350","1,641",149,211,191,144,123,186,220,128,124,233
2020년10월_계_50~59세,"4,489","1,532",276,340,260,315,245,362,409,201,156,393
2020년10월_계_60~69세,"4,789","1,310",294,394,330,409,278,428,424,250,215,457
2020년10월_계_70~79세,"4,195",964,258,401,328,286,257,340,392,260,214,495
2020년10월_계_80~89세,"2,736",518,194,264,241,230,201,212,211,185,180,300
2020년10월_계_90~99세,373,84,23,38,27,28,18,32,33,25,14,51
2020년10월_계_100세 이상,28,5,5,3,2,2,1,0,3,4,1,2
2020년10월_남_총인구수,"13,530","4,980",755,997,860,856,703,976,"1,064",636,544,"1,159"
2020년10월_남_연령구간인구수,"13,530","4,980",755,997,860,856,703,976,"1,064",636,544,"1,159"
2020년10월_남_0~9세,801,461,35,37,33,24,32,32,69,11,33,34
2020년10월_남_10~19세,"1,146",682,46,47,52,39,38,65,70,22,26,59
2020년10월_남_20~29세,"1,142",539,63,56,54,59,44,72,80,61,35,79
2020년10월_남_30~39세,988,452,43,63,69,65,47,57,52,43,36,61
2020년10월_남_40~49세,"1,910",856,82,146,118,95,79,112,118,79,79,146
2020년10월_남_50~59세,"2,430",803,163,180,149,165,145,181,220,119,87,218
2020년10월_남_60~69세,"2,431",618,153,227,166,229,139,231,219,121,104,224
2020년10월_남_70~79세,"1,700",383,111,149,138,107,106,143,161,106,91,205
2020년10월_남_80~89세,885,167,54,86,74,65,69,73,63,64,53,117
2020년10월_남_90~99세,97,19,5,6,7,8,4,10,12,10,0,16
2020년10월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"14,327","5,333",806,"1,040",881,884,729,"1,012","1,152",675,616,"1,199"
2020년10월_여_연령구간인구수,"14,327","5,333",806,"1,040",881,884,729,"1,012","1,152",675,616,"1,199"
2020년10월_여_0~9세,754,415,32,36,33,23,29,42,57,33,20,34
2020년10월_여_10~19세,"1,075",654,47,48,43,30,32,49,71,17,25,59
2020년10월_여_20~29세,948,486,40,52,37,46,34,61,51,37,48,56
2020년10월_여_30~39세,"1,043",570,56,47,41,40,53,50,74,34,33,45
2020년10월_여_40~49세,"1,440",785,67,65,73,49,44,74,102,49,45,87
2020년10월_여_50~59세,"2,059",729,113,160,111,150,100,181,189,82,69,175
2020년10월_여_60~69세,"2,358",692,141,167,164,180,139,197,205,129,111,233
2020년10월_여_70~79세,"2,495",581,147,252,190,179,151,197,231,154,123,290
2020년10월_여_80~89세,"1,851",351,140,178,167,165,132,139,148,121,127,183
2020년10월_여_90~99세,276,65,18,32,20,20,14,22,21,15,14,35
2020년10월_여_100세 이상,28,5,5,3,2,2,1,0,3,4,1,2
