카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년02월_계_총인구수,"405,600","11,397","6,744","16,169","4,881","32,755","24,401","11,757","16,728","7,336","26,152","44,162","21,600","32,126","78,744","23,430","2,144","1,980","4,064","2,283","2,099","34,648"
2020년02월_계_연령구간인구수,"405,600","11,397","6,744","16,169","4,881","32,755","24,401","11,757","16,728","7,336","26,152","44,162","21,600","32,126","78,744","23,430","2,144","1,980","4,064","2,283","2,099","34,648"
2020년02월_계_0~9세,"42,500",798,350,"1,596",382,"4,139","1,970",791,"1,310",694,"1,980","4,102","2,336","3,341","11,193","3,298",54,54,145,56,44,"3,867"
2020년02월_계_10~19세,"53,885","1,267",416,"1,812",438,"3,652","2,092","1,269","2,201",812,"3,596","6,035","3,250","4,212","13,556","3,123",124,90,152,120,92,"5,576"
2020년02월_계_20~29세,"57,151","1,757",987,"2,254",634,"3,947","3,598","1,994","2,507",910,"4,797","7,821","2,979","4,790","9,204","2,804",182,187,429,168,148,"5,054"
2020년02월_계_30~39세,"56,266","1,280",961,"2,375",626,"5,748","3,474","1,363","1,884",941,"3,008","5,914","2,811","4,341","11,460","3,855",119,163,456,154,145,"5,188"
2020년02월_계_40~49세,"77,604","1,983",893,"2,815",744,"5,960","3,775","1,823","3,099","1,438","4,381","8,466","4,509","6,102","18,032","4,708",188,190,502,219,258,"7,519"
2020년02월_계_50~59세,"62,214","1,812","1,118","2,458",812,"4,496","4,398","2,344","3,073","1,304","5,216","7,493","3,190","5,387","9,318","3,122",394,348,680,422,328,"4,501"
2020년02월_계_60~69세,"30,621","1,294",927,"1,426",612,"2,797","2,748","1,324","1,598",627,"1,945","2,477","1,423","2,124","3,617","1,640",429,387,769,450,341,"1,666"
2020년02월_계_70~79세,"16,782",837,765,989,443,"1,364","1,471",559,726,387,783,"1,196",790,"1,252","1,671",587,367,366,575,364,399,891
2020년02월_계_80~89세,"7,445",319,286,384,152,553,752,254,290,204,382,577,278,505,605,252,249,175,292,290,306,340
2020년02월_계_90~99세,"1,071",48,35,55,34,93,120,36,38,18,63,78,30,70,83,37,36,17,62,37,36,45
2020년02월_계_100세 이상,61,2,6,5,4,6,3,0,2,1,1,3,4,2,5,4,2,3,2,3,2,1
