,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년03월_계_총인구수,"166,253","9,309","30,408","5,543","9,651","2,453","3,734","3,611","5,176","5,216","16,062","12,093","23,773","20,557","18,667"
2020년03월_계_연령구간인구수,"166,253","9,309","30,408","5,543","9,651","2,453","3,734","3,611","5,176","5,216","16,062","12,093","23,773","20,557","18,667"
2020년03월_계_0~9세,"16,270",368,"4,165",200,479,61,107,117,193,215,"1,621","1,307","2,594","2,515","2,328"
2020년03월_계_10~19세,"15,699",584,"2,526",294,505,100,203,179,326,363,"1,812","1,011","2,474","2,495","2,827"
2020년03월_계_20~29세,"16,348",755,"2,476",398,966,150,313,287,402,393,"1,484","1,104","3,333","2,171","2,116"
2020년03월_계_30~39세,"23,617",770,"5,857",335,"1,161",134,232,239,301,341,"1,858","2,121","4,383","3,124","2,761"
2020년03월_계_40~49세,"26,463","1,146","5,267",585,"1,334",227,341,381,569,588,"2,614","1,992","4,066","3,679","3,674"
2020년03월_계_50~59세,"25,794","1,629","4,363",994,"1,939",376,647,685,992,920,"2,549","1,781","3,245","3,015","2,659"
2020년03월_계_60~69세,"20,090","1,843","3,050","1,162","1,571",597,818,750,"1,014","1,015","1,970","1,297","1,978","1,852","1,173"
2020년03월_계_70~79세,"12,952","1,294","1,622",845,"1,006",474,604,543,761,798,"1,288",859,"1,125","1,046",687
2020년03월_계_80~89세,"7,876",796,953,638,605,302,406,364,530,508,758,549,506,579,382
2020년03월_계_90~99세,"1,077",109,122,89,80,29,61,64,83,73,100,70,68,70,59
2020년03월_계_100세 이상,67,15,7,3,5,3,2,2,5,2,8,2,1,11,1
2020년03월_남_총인구수,"87,970","4,912","16,816","2,820","5,548","1,232","1,899","1,856","2,621","2,621","8,189","6,850","12,551","10,469","9,586"
2020년03월_남_연령구간인구수,"87,970","4,912","16,816","2,820","5,548","1,232","1,899","1,856","2,621","2,621","8,189","6,850","12,551","10,469","9,586"
2020년03월_남_0~9세,"8,314",206,"2,162",104,253,34,49,59,100,102,799,653,"1,310","1,289","1,194"
2020년03월_남_10~19세,"8,229",321,"1,355",147,269,57,101,91,171,206,935,510,"1,265","1,297","1,504"
2020년03월_남_20~29세,"9,519",461,"1,399",237,630,88,194,177,234,223,854,709,"1,913","1,208","1,192"
2020년03월_남_30~39세,"13,367",464,"3,308",187,794,85,125,144,174,200,967,"1,340","2,552","1,612","1,415"
2020년03월_남_40~49세,"14,867",697,"3,232",339,902,139,197,236,333,332,"1,400","1,261","2,132","1,881","1,786"
2020년03월_남_50~59세,"14,383",923,"2,587",573,"1,162",189,357,363,546,505,"1,390","1,069","1,696","1,581","1,442"
2020년03월_남_60~69세,"10,148",900,"1,616",574,820,300,419,371,488,499,960,702,990,918,591
2020년03월_남_70~79세,"6,041",600,797,402,474,231,287,272,367,341,590,393,492,478,317
2020년03월_남_80~89세,"2,821",312,322,236,220,102,161,121,183,190,271,196,184,190,133
2020년03월_남_90~99세,267,26,38,21,22,6,9,20,24,22,21,17,17,13,11
2020년03월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년03월_여_총인구수,"78,283","4,397","13,592","2,723","4,103","1,221","1,835","1,755","2,555","2,595","7,873","5,243","11,222","10,088","9,081"
2020년03월_여_연령구간인구수,"78,283","4,397","13,592","2,723","4,103","1,221","1,835","1,755","2,555","2,595","7,873","5,243","11,222","10,088","9,081"
2020년03월_여_0~9세,"7,956",162,"2,003",96,226,27,58,58,93,113,822,654,"1,284","1,226","1,134"
2020년03월_여_10~19세,"7,470",263,"1,171",147,236,43,102,88,155,157,877,501,"1,209","1,198","1,323"
2020년03월_여_20~29세,"6,829",294,"1,077",161,336,62,119,110,168,170,630,395,"1,420",963,924
2020년03월_여_30~39세,"10,250",306,"2,549",148,367,49,107,95,127,141,891,781,"1,831","1,512","1,346"
2020년03월_여_40~49세,"11,596",449,"2,035",246,432,88,144,145,236,256,"1,214",731,"1,934","1,798","1,888"
2020년03월_여_50~59세,"11,411",706,"1,776",421,777,187,290,322,446,415,"1,159",712,"1,549","1,434","1,217"
2020년03월_여_60~69세,"9,942",943,"1,434",588,751,297,399,379,526,516,"1,010",595,988,934,582
2020년03월_여_70~79세,"6,911",694,825,443,532,243,317,271,394,457,698,466,633,568,370
2020년03월_여_80~89세,"5,055",484,631,402,385,200,245,243,347,318,487,353,322,389,249
2020년03월_여_90~99세,810,83,84,68,58,23,52,44,59,51,79,53,51,57,48
2020년03월_여_100세 이상,53,13,7,3,3,2,2,0,4,1,6,2,1,9,0
