카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년02월_계_총인구수,"222,258","20,341","28,356","28,657","70,494","19,415","21,830","8,374","7,704","4,204","3,119","7,939","1,825"
2021년02월_계_연령구간인구수,"222,258","20,341","28,356","28,657","70,494","19,415","21,830","8,374","7,704","4,204","3,119","7,939","1,825"
2021년02월_계_0~9세,"17,558","1,475","2,383","2,572","6,569","1,785","1,510",477,283,137,48,265,54
2021년02월_계_10~19세,"22,286","1,629","2,766","3,264","9,903","1,559","1,496",515,381,188,112,405,68
2021년02월_계_20~29세,"26,413","2,517","3,471","3,314","9,263","2,279","2,720",745,823,288,166,711,116
2021년02월_계_30~39세,"25,546","2,774","3,209","3,490","7,604","2,886","2,958",861,626,275,206,543,114
2021년02월_계_40~49세,"37,046","3,709","4,525","5,352","13,649","2,946","3,159","1,171",785,429,247,913,161
2021년02월_계_50~59세,"41,961","4,000","5,261","5,157","12,941","3,507","4,301","1,599","1,681",904,549,"1,695",366
2021년02월_계_60~69세,"30,119","2,568","3,972","3,284","6,748","2,693","3,343","1,645","1,660","1,080",827,"1,833",466
2021년02월_계_70~79세,"13,793","1,116","1,772","1,441","2,587","1,150","1,569",906,921,537,546,970,278
2021년02월_계_80~89세,"6,500",474,859,684,"1,087",511,657,400,473,307,355,517,176
2021년02월_계_90~99세,"1,001",68,131,98,141,94,116,53,70,57,63,85,25
2021년02월_계_100세 이상,35,11,7,1,2,5,1,2,1,2,0,2,1
2021년02월_남_총인구수,"114,761","11,650","14,205","14,929","35,480","10,041","11,216","4,532","4,008","2,172","1,549","4,036",943
2021년02월_남_연령구간인구수,"114,761","11,650","14,205","14,929","35,480","10,041","11,216","4,532","4,008","2,172","1,549","4,036",943
2021년02월_남_0~9세,"9,022",775,"1,185","1,331","3,374",907,793,251,150,69,25,141,21
2021년02월_남_10~19세,"11,582",865,"1,410","1,671","5,174",777,781,278,216,100,54,220,36
2021년02월_남_20~29세,"15,021","1,570","1,960","1,846","5,138","1,245","1,560",456,492,165,99,420,70
2021년02월_남_30~39세,"13,613","1,746","1,658","1,845","3,691","1,588","1,617",462,346,160,118,320,62
2021년02월_남_40~49세,"18,936","2,267","2,233","2,790","6,344","1,510","1,640",738,446,248,145,474,101
2021년02월_남_50~59세,"22,222","2,387","2,644","2,809","6,677","1,867","2,165",929,882,492,299,863,208
2021년02월_남_60~69세,"15,576","1,371","1,982","1,741","3,500","1,418","1,668",838,877,566,431,937,247
2021년02월_남_70~79세,"6,514",508,840,670,"1,220",540,749,421,430,270,253,483,130
2021년02월_남_80~89세,"2,077",149,270,206,334,168,220,149,150,93,113,161,64
2021년02월_남_90~99세,193,9,23,20,28,20,23,9,19,9,12,17,4
2021년02월_남_100세 이상,5,3,0,0,0,1,0,1,0,0,0,0,0
2021년02월_여_총인구수,"107,497","8,691","14,151","13,728","35,014","9,374","10,614","3,842","3,696","2,032","1,570","3,903",882
2021년02월_여_연령구간인구수,"107,497","8,691","14,151","13,728","35,014","9,374","10,614","3,842","3,696","2,032","1,570","3,903",882
2021년02월_여_0~9세,"8,536",700,"1,198","1,241","3,195",878,717,226,133,68,23,124,33
2021년02월_여_10~19세,"10,704",764,"1,356","1,593","4,729",782,715,237,165,88,58,185,32
2021년02월_여_20~29세,"11,392",947,"1,511","1,468","4,125","1,034","1,160",289,331,123,67,291,46
2021년02월_여_30~39세,"11,933","1,028","1,551","1,645","3,913","1,298","1,341",399,280,115,88,223,52
2021년02월_여_40~49세,"18,110","1,442","2,292","2,562","7,305","1,436","1,519",433,339,181,102,439,60
2021년02월_여_50~59세,"19,739","1,613","2,617","2,348","6,264","1,640","2,136",670,799,412,250,832,158
2021년02월_여_60~69세,"14,543","1,197","1,990","1,543","3,248","1,275","1,675",807,783,514,396,896,219
2021년02월_여_70~79세,"7,279",608,932,771,"1,367",610,820,485,491,267,293,487,148
2021년02월_여_80~89세,"4,423",325,589,478,753,343,437,251,323,214,242,356,112
2021년02월_여_90~99세,808,59,108,78,113,74,93,44,51,48,51,68,21
2021년02월_여_100세 이상,30,8,7,1,2,4,1,1,1,2,0,2,1
