,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년02월_계_총인구수,"61,871","29,379","8,527","2,372","4,276","5,352","5,330","4,365","2,270"
2021년02월_계_연령구간인구수,"61,871","29,379","8,527","2,372","4,276","5,352","5,330","4,365","2,270"
2021년02월_계_0~9세,"3,023","2,172",304,66,115,110,95,116,45
2021년02월_계_10~19세,"4,353","2,892",528,135,155,201,181,163,98
2021년02월_계_20~29세,"4,879","2,896",536,94,410,269,255,297,122
2021년02월_계_30~39세,"4,992","3,183",549,117,240,310,237,250,106
2021년02월_계_40~49세,"7,635","4,447",995,249,388,466,517,389,184
2021년02월_계_50~59세,"10,793","4,972","1,528",430,748,988,973,780,374
2021년02월_계_60~69세,"12,171","4,371","1,922",550,"1,017","1,402","1,359","1,007",543
2021년02월_계_70~79세,"8,856","2,908","1,447",447,734,"1,019","1,045",797,459
2021년02월_계_80~89세,"4,510","1,366",601,258,407,504,592,486,296
2021년02월_계_90~99세,632,167,106,25,60,80,75,78,41
2021년02월_계_100세 이상,27,5,11,1,2,3,1,2,2
2021년02월_남_총인구수,"31,148","14,809","4,225","1,139","2,207","2,749","2,641","2,225","1,153"
2021년02월_남_연령구간인구수,"31,148","14,809","4,225","1,139","2,207","2,749","2,641","2,225","1,153"
2021년02월_남_0~9세,"1,493","1,078",157,23,53,51,47,59,25
2021년02월_남_10~19세,"2,242","1,487",276,58,84,111,95,82,49
2021년02월_남_20~29세,"2,872","1,671",315,58,271,166,136,184,71
2021년02월_남_30~39세,"2,784","1,721",295,63,144,202,138,157,64
2021년02월_남_40~49세,"4,287","2,339",560,150,249,300,332,230,127
2021년02월_남_50~59세,"5,677","2,542",809,233,391,540,525,422,215
2021년02월_남_60~69세,"5,871","2,095",896,263,505,682,665,501,264
2021년02월_남_70~79세,"4,199","1,377",681,201,347,484,483,399,227
2021년02월_남_80~89세,"1,588",455,215,86,147,197,207,175,106
2021년02월_남_90~99세,130,44,19,4,14,16,13,15,5
2021년02월_남_100세 이상,5,0,2,0,2,0,0,1,0
2021년02월_여_총인구수,"30,723","14,570","4,302","1,233","2,069","2,603","2,689","2,140","1,117"
2021년02월_여_연령구간인구수,"30,723","14,570","4,302","1,233","2,069","2,603","2,689","2,140","1,117"
2021년02월_여_0~9세,"1,530","1,094",147,43,62,59,48,57,20
2021년02월_여_10~19세,"2,111","1,405",252,77,71,90,86,81,49
2021년02월_여_20~29세,"2,007","1,225",221,36,139,103,119,113,51
2021년02월_여_30~39세,"2,208","1,462",254,54,96,108,99,93,42
2021년02월_여_40~49세,"3,348","2,108",435,99,139,166,185,159,57
2021년02월_여_50~59세,"5,116","2,430",719,197,357,448,448,358,159
2021년02월_여_60~69세,"6,300","2,276","1,026",287,512,720,694,506,279
2021년02월_여_70~79세,"4,657","1,531",766,246,387,535,562,398,232
2021년02월_여_80~89세,"2,922",911,386,172,260,307,385,311,190
2021년02월_여_90~99세,502,123,87,21,46,64,62,63,36
2021년02월_여_100세 이상,22,5,9,1,0,3,1,1,2
