카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년02월_계_총인구수,"222,435","26,701","6,202","7,224","12,251","10,265","5,530","51,029","9,968","27,364","28,183","37,718"
2020년02월_계_연령구간인구수,"222,435","26,701","6,202","7,224","12,251","10,265","5,530","51,029","9,968","27,364","28,183","37,718"
2020년02월_계_0~9세,"19,699","1,557",172,407,694,510,220,"5,476",655,"2,039","2,525","5,444"
2020년02월_계_10~19세,"23,770","2,661",361,460,950,574,308,"7,302",802,"2,840","3,854","3,658"
2020년02월_계_20~29세,"26,252","3,365",709,843,"1,368","1,066",606,"5,084","1,638","3,593","3,774","4,206"
2020년02월_계_30~39세,"27,334","2,455",533,834,"1,223","1,108",482,"5,903","1,195","2,933","3,105","7,563"
2020년02월_계_40~49세,"38,709","4,069",736,838,"1,849","1,179",680,"10,797","1,459","4,560","5,521","7,021"
2020년02월_계_50~59세,"36,758","5,253","1,343","1,366","2,549","1,799","1,128","7,157","1,845","5,425","4,584","4,309"
2020년02월_계_60~69세,"26,557","3,980","1,295","1,320","1,964","2,082","1,054","4,791","1,290","3,344","2,277","3,160"
2020년02월_계_70~79세,"15,733","2,218",660,702,"1,070","1,233",690,"3,253",711,"1,834","1,649","1,713"
2020년02월_계_80~89세,"6,631","1,007",328,371,515,573,319,"1,112",323,715,809,559
2020년02월_계_90~99세,925,131,62,76,65,133,38,145,38,76,82,79
2020년02월_계_100세 이상,67,5,3,7,4,8,5,9,12,5,3,6
2020년02월_남_총인구수,"112,854","13,450","3,503","4,037","6,620","5,245","2,879","24,981","5,233","13,828","13,985","19,093"
2020년02월_남_연령구간인구수,"112,854","13,450","3,503","4,037","6,620","5,245","2,879","24,981","5,233","13,828","13,985","19,093"
2020년02월_남_0~9세,"10,033",750,98,206,354,278,118,"2,806",322,"1,056","1,275","2,770"
2020년02월_남_10~19세,"12,177","1,389",194,248,508,312,169,"3,681",407,"1,459","1,997","1,813"
2020년02월_남_20~29세,"14,091","1,826",416,534,803,616,318,"2,572",962,"1,893","1,982","2,169"
2020년02월_남_30~39세,"14,080","1,307",336,501,701,611,269,"2,806",651,"1,527","1,518","3,853"
2020년02월_남_40~49세,"19,931","2,063",459,509,"1,043",637,393,"5,350",770,"2,353","2,724","3,630"
2020년02월_남_50~59세,"19,294","2,690",802,803,"1,440",895,584,"3,733",998,"2,772","2,351","2,226"
2020년02월_남_60~69세,"13,297","2,024",724,740,"1,057","1,037",572,"2,106",654,"1,680","1,130","1,573"
2020년02월_남_70~79세,"7,254","1,000",335,342,504,608,324,"1,473",334,813,668,853
2020년02월_남_80~89세,"2,471",372,124,136,194,221,124,420,120,257,309,194
2020년02월_남_90~99세,215,29,15,16,16,27,6,34,13,18,29,12
2020년02월_남_100세 이상,11,0,0,2,0,3,2,0,2,0,2,0
2020년02월_여_총인구수,"109,581","13,251","2,699","3,187","5,631","5,020","2,651","26,048","4,735","13,536","14,198","18,625"
2020년02월_여_연령구간인구수,"109,581","13,251","2,699","3,187","5,631","5,020","2,651","26,048","4,735","13,536","14,198","18,625"
2020년02월_여_0~9세,"9,666",807,74,201,340,232,102,"2,670",333,983,"1,250","2,674"
2020년02월_여_10~19세,"11,593","1,272",167,212,442,262,139,"3,621",395,"1,381","1,857","1,845"
2020년02월_여_20~29세,"12,161","1,539",293,309,565,450,288,"2,512",676,"1,700","1,792","2,037"
2020년02월_여_30~39세,"13,254","1,148",197,333,522,497,213,"3,097",544,"1,406","1,587","3,710"
2020년02월_여_40~49세,"18,778","2,006",277,329,806,542,287,"5,447",689,"2,207","2,797","3,391"
2020년02월_여_50~59세,"17,464","2,563",541,563,"1,109",904,544,"3,424",847,"2,653","2,233","2,083"
2020년02월_여_60~69세,"13,260","1,956",571,580,907,"1,045",482,"2,685",636,"1,664","1,147","1,587"
2020년02월_여_70~79세,"8,479","1,218",325,360,566,625,366,"1,780",377,"1,021",981,860
2020년02월_여_80~89세,"4,160",635,204,235,321,352,195,692,203,458,500,365
2020년02월_여_90~99세,710,102,47,60,49,106,32,111,25,58,53,67
2020년02월_여_100세 이상,56,5,3,5,4,5,3,9,10,5,1,6
