카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년03월_계_총인구수,"82,213","4,451","3,739","6,105","9,647","21,314","29,404","4,432","3,121"
2021년03월_계_연령구간인구수,"82,213","4,451","3,739","6,105","9,647","21,314","29,404","4,432","3,121"
2021년03월_계_0~9세,"5,781",160,249,227,542,"1,352","2,937",232,82
2021년03월_계_10~19세,"7,333",243,255,445,847,"2,192","2,998",238,115
2021년03월_계_20~29세,"8,927",416,331,605,"1,115","2,368","3,473",373,246
2021년03월_계_30~39세,"9,085",398,357,455,971,"2,159","4,040",477,228
2021년03월_계_40~49세,"12,324",500,509,743,"1,370","3,350","4,995",538,319
2021년03월_계_50~59세,"15,011",887,724,"1,217","1,732","4,018","4,946",850,637
2021년03월_계_60~69세,"13,095","1,023",672,"1,259","1,730","3,298","3,465",884,764
2021년03월_계_70~79세,"6,780",539,420,703,847,"1,626","1,688",489,468
2021년03월_계_80~89세,"3,255",242,192,370,419,795,737,282,218
2021년03월_계_90~99세,604,40,30,80,71,154,120,67,42
2021년03월_계_100세 이상,18,3,0,1,3,2,5,2,2
2021년03월_남_총인구수,"40,736","2,306","1,891","2,997","4,743","10,579","14,384","2,228","1,608"
2021년03월_남_연령구간인구수,"40,736","2,306","1,891","2,997","4,743","10,579","14,384","2,228","1,608"
2021년03월_남_0~9세,"2,943",82,136,132,272,670,"1,488",121,42
2021년03월_남_10~19세,"3,800",134,135,222,454,"1,118","1,550",114,73
2021년03월_남_20~29세,"5,027",259,186,360,617,"1,345","1,904",215,141
2021년03월_남_30~39세,"4,865",230,192,266,540,"1,155","2,066",272,144
2021년03월_남_40~49세,"6,166",281,274,384,699,"1,630","2,430",293,175
2021년03월_남_50~59세,"7,427",475,374,577,828,"2,000","2,362",471,340
2021년03월_남_60~69세,"6,309",497,322,608,830,"1,648","1,586",441,377
2021년03월_남_70~79세,"2,954",254,202,302,350,725,715,193,213
2021년03월_남_80~89세,"1,122",87,63,135,139,260,254,90,94
2021년03월_남_90~99세,117,6,7,10,14,28,27,17,8
2021년03월_남_100세 이상,6,1,0,1,0,0,2,1,1
2021년03월_여_총인구수,"41,477","2,145","1,848","3,108","4,904","10,735","15,020","2,204","1,513"
2021년03월_여_연령구간인구수,"41,477","2,145","1,848","3,108","4,904","10,735","15,020","2,204","1,513"
2021년03월_여_0~9세,"2,838",78,113,95,270,682,"1,449",111,40
2021년03월_여_10~19세,"3,533",109,120,223,393,"1,074","1,448",124,42
2021년03월_여_20~29세,"3,900",157,145,245,498,"1,023","1,569",158,105
2021년03월_여_30~39세,"4,220",168,165,189,431,"1,004","1,974",205,84
2021년03월_여_40~49세,"6,158",219,235,359,671,"1,720","2,565",245,144
2021년03월_여_50~59세,"7,584",412,350,640,904,"2,018","2,584",379,297
2021년03월_여_60~69세,"6,786",526,350,651,900,"1,650","1,879",443,387
2021년03월_여_70~79세,"3,826",285,218,401,497,901,973,296,255
2021년03월_여_80~89세,"2,133",155,129,235,280,535,483,192,124
2021년03월_여_90~99세,487,34,23,70,57,126,93,50,34
2021년03월_여_100세 이상,12,2,0,0,3,2,3,1,1
