,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년03월_계_총인구수,"244,154","8,020","3,120","1,612","7,225","2,957","12,036","1,113","8,239","3,601","1,086","3,139","1,404","6,181","9,306","27,167","7,345","26,356","20,577","35,454","34,485","23,731"
2021년03월_계_연령구간인구수,"244,154","8,020","3,120","1,612","7,225","2,957","12,036","1,113","8,239","3,601","1,086","3,139","1,404","6,181","9,306","27,167","7,345","26,356","20,577","35,454","34,485","23,731"
2021년03월_계_0~9세,"25,965",560,82,30,396,72,"1,395",38,492,187,29,79,52,401,518,"4,430",605,"2,462","1,553","3,427","5,674","3,483"
2021년03월_계_10~19세,"27,834",639,121,61,572,149,"1,121",54,678,269,29,106,66,663,938,"3,449",638,"3,022","2,251","4,269","5,005","3,734"
2021년03월_계_20~29세,"23,877",673,226,86,555,214,938,65,770,288,49,202,73,665,984,"2,305",856,"2,878","2,739","4,115","2,985","2,211"
2021년03월_계_30~39세,"35,614",853,218,89,612,155,"1,762",80,863,297,63,178,98,645,879,"5,786","1,061","3,581","3,317","4,946","6,508","3,623"
2021년03월_계_40~49세,"47,496","1,252",349,151,981,305,"2,194",109,"1,381",452,105,375,181,"1,201","1,598","6,131","1,325","4,969","4,381","6,976","7,595","5,485"
2021년03월_계_50~59세,"39,290","1,596",625,342,"1,285",575,"1,877",228,"1,691",670,204,581,266,"1,199","1,908","2,955","1,366","4,854","3,850","6,030","4,094","3,094"
2021년03월_계_60~69세,"27,282","1,428",716,393,"1,403",739,"1,515",300,"1,350",720,266,717,320,865,"1,638","1,496","1,061","3,331","1,851","3,978","1,789","1,406"
2021년03월_계_70~79세,"10,924",625,498,284,811,448,811,159,608,426,205,522,205,362,600,423,310,903,446,"1,212",606,460
2021년03월_계_80~89세,"5,044",341,250,156,504,256,367,69,350,245,113,329,123,162,215,167,107,306,158,435,186,205
2021년03월_계_90~99세,800,52,34,20,101,42,54,11,55,46,23,47,20,17,27,25,16,49,28,65,41,27
2021년03월_계_100세 이상,28,1,1,0,5,2,2,0,1,1,0,3,0,1,1,0,0,1,3,1,2,3
2021년03월_남_총인구수,"128,130","4,094","1,623",809,"3,574","1,538","6,259",570,"4,533","1,864",547,"1,607",704,"3,440","5,041","14,576","3,977","13,706","11,751","18,259","17,520","12,138"
2021년03월_남_연령구간인구수,"128,130","4,094","1,623",809,"3,574","1,538","6,259",570,"4,533","1,864",547,"1,607",704,"3,440","5,041","14,576","3,977","13,706","11,751","18,259","17,520","12,138"
2021년03월_남_0~9세,"13,430",285,48,13,208,42,707,19,274,96,18,44,27,219,278,"2,284",308,"1,261",812,"1,803","2,863","1,821"
2021년03월_남_10~19세,"14,614",339,68,33,285,84,586,34,364,147,15,62,32,348,523,"1,794",347,"1,632","1,181","2,211","2,576","1,953"
2021년03월_남_20~29세,"13,507",381,129,50,310,141,538,36,468,143,26,119,44,394,560,"1,321",531,"1,568","1,647","2,296","1,568","1,237"
2021년03월_남_30~39세,"18,728",439,138,50,318,90,878,51,495,171,34,106,52,381,494,"3,055",596,"1,878","2,107","2,581","3,150","1,664"
2021년03월_남_40~49세,"25,824",657,210,90,545,181,"1,233",64,807,278,68,245,108,728,903,"3,449",758,"2,640","2,614","3,582","3,925","2,739"
2021년03월_남_50~59세,"21,097",845,339,203,654,303,"1,031",119,979,358,120,319,150,703,"1,046","1,656",722,"2,436","2,158","3,079","2,179","1,698"
2021년03월_남_60~69세,"14,052",740,352,209,728,390,769,161,725,365,140,369,166,461,865,772,534,"1,750",955,"1,969",903,729
2021년03월_남_70~79세,"5,204",296,244,112,361,216,402,67,299,217,91,236,83,162,298,203,153,441,229,585,285,224
2021년03월_남_80~89세,"1,543",104,88,46,155,82,103,15,113,85,33,100,40,41,68,37,26,95,43,137,65,67
2021년03월_남_90~99세,122,7,6,3,9,9,12,4,9,4,2,6,2,3,5,5,2,5,4,15,5,5
2021년03월_남_100세 이상,9,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
2021년03월_여_총인구수,"116,024","3,926","1,497",803,"3,651","1,419","5,777",543,"3,706","1,737",539,"1,532",700,"2,741","4,265","12,591","3,368","12,650","8,826","17,195","16,965","11,593"
