카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년02월_계_총인구수,"457,332","32,030","31,189","22,896","26,652","42,887","21,270","21,839","16,343","18,843","15,355","6,546","21,389","21,401","20,539","47,694","34,622","25,298","30,539"
2020년02월_계_연령구간인구수,"457,332","32,030","31,189","22,896","26,652","42,887","21,270","21,839","16,343","18,843","15,355","6,546","21,389","21,401","20,539","47,694","34,622","25,298","30,539"
2020년02월_계_0~9세,"33,210","3,127","1,916","1,439","1,558","3,658","1,121","1,594",988,"1,675","1,070",390,"1,246","1,938","1,426","3,822","1,962","2,188","2,092"
2020년02월_계_10~19세,"52,165","5,197","2,710","1,627","3,595","7,727","1,406","1,858","1,248","1,726","1,386",702,"1,516","3,155","3,012","5,485","2,469","3,771","3,575"
2020년02월_계_20~29세,"60,393","3,487","5,100","3,693","4,194","4,644","2,719","2,686","2,135","2,182","2,164",813,"2,772","2,535","2,712","6,060","5,372","3,253","3,872"
2020년02월_계_30~39세,"59,409","3,549","5,553","4,125","2,999","4,260","2,833","3,219","2,159","2,670","2,252",750,"2,851","2,221","1,970","6,111","5,589","2,897","3,401"
2020년02월_계_40~49세,"80,817","7,095","4,781","3,343","4,859","9,534","3,287","3,445","2,417","3,100","2,403","1,058","3,151","4,273","3,951","8,453","5,411","4,837","5,419"
2020년02월_계_50~59세,"76,968","4,981","5,025","3,811","4,867","6,673","4,026","3,465","3,095","2,989","2,632","1,140","3,766","3,556","3,683","7,931","5,583","4,386","5,359"
2020년02월_계_60~69세,"54,969","2,774","3,688","2,886","2,573","3,896","3,470","3,313","2,479","2,626","2,004",991,"3,402","2,090","2,167","5,573","4,715","2,494","3,828"
2020년02월_계_70~79세,"27,350","1,286","1,653","1,326","1,412","1,619","1,767","1,640","1,317","1,350","1,046",500,"1,828","1,087","1,062","2,971","2,599",942,"1,945"
2020년02월_계_80~89세,"10,275",447,652,557,526,707,549,537,437,463,351,164,758,440,475,"1,097",792,437,886
2020년02월_계_90~99세,"1,608",82,100,73,62,163,80,75,56,53,40,27,97,101,67,180,116,91,145
2020년02월_계_100세 이상,168,5,11,16,7,6,12,7,12,9,7,11,2,5,14,11,14,2,17
2020년02월_남_총인구수,"224,702","15,375","15,207","11,024","13,062","21,231","10,918","10,714","8,624","9,245","7,643","3,248","10,518","10,453","10,057","23,279","16,984","12,298","14,822"
