카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년11월_계_총인구수,"342,432","7,707","10,717","9,510","13,050","6,583","13,289","12,477","7,511","14,196","14,215","4,189","21,811","14,964","15,889","18,293","15,281","43,692","11,347","21,400","29,572","18,837","17,902"
2020년11월_계_연령구간인구수,"342,432","7,707","10,717","9,510","13,050","6,583","13,289","12,477","7,511","14,196","14,215","4,189","21,811","14,964","15,889","18,293","15,281","43,692","11,347","21,400","29,572","18,837","17,902"
2020년11월_계_0~9세,"25,372",284,"1,055",832,421,230,795,896,162,545,711,195,"2,313",688,852,885,763,"3,862",658,"2,499","2,595","3,099","1,032"
2020년11월_계_10~19세,"26,652",450,830,620,706,408,923,"1,035",369,858,"1,010",255,"2,312",941,932,"1,287",929,"3,705",665,"2,687","2,981","1,465","1,284"
2020년11월_계_20~29세,"41,770",886,"1,006","1,079","1,874",797,"1,547","1,661","1,286","1,825","1,793",621,"2,275","2,005","2,160","2,383","1,882","5,322","1,451","2,193","3,872","2,009","1,843"
2020년11월_계_30~39세,"44,061",680,"1,468","1,464","1,478",570,"1,562","1,548","1,044","1,444","1,578",457,"2,891","1,574","1,915","1,774","1,635","5,787","1,411","3,153","4,222","4,613","1,793"
2020년11월_계_40~49세,"51,545",982,"1,854","1,313","1,743",862,"1,928","1,950","1,008","1,739","2,035",499,"3,983","1,834","2,051","2,312","1,955","6,879","1,457","4,235","4,956","3,489","2,481"
2020년11월_계_50~59세,"57,120","1,354","1,547","1,500","2,589","1,238","2,227","2,209","1,298","2,577","2,410",735,"3,318","2,963","2,973","3,561","2,808","7,086","2,202","2,857","4,669","1,725","3,274"
2020년11월_계_60~69세,"51,236","1,422","1,413","1,408","2,323","1,274","2,090","1,659","1,250","2,653","2,473",720,"2,709","2,817","2,727","3,267","2,792","6,231","1,918","1,959","3,566","1,511","3,054"
2020년11월_계_70~79세,"30,186","1,066","1,025",865,"1,327",806,"1,470",977,727,"1,738","1,482",468,"1,384","1,497","1,559","1,881","1,725","3,224","1,105","1,259","1,896",666,"2,039"
2020년11월_계_80~89세,"12,900",522,452,379,516,366,671,480,332,738,634,217,543,583,649,855,708,"1,410",421,497,733,222,972
2020년11월_계_90~99세,"1,466",56,56,48,64,28,69,53,30,68,79,22,79,57,69,83,82,179,54,59,74,36,121
2020년11월_계_100세 이상,124,5,11,2,9,4,7,9,5,11,10,0,4,5,2,5,2,7,5,2,8,2,9
2020년11월_남_총인구수,"168,712","3,843","5,083","4,696","6,606","3,153","6,369","6,163","3,751","7,015","6,848","2,223","10,715","7,442","7,980","8,831","7,680","21,435","5,742","10,395","14,646","9,315","8,781"
2020년11월_남_연령구간인구수,"168,712","3,843","5,083","4,696","6,606","3,153","6,369","6,163","3,751","7,015","6,848","2,223","10,715","7,442","7,980","8,831","7,680","21,435","5,742","10,395","14,646","9,315","8,781"
2020년11월_남_0~9세,"12,940",151,544,441,215,116,408,463,84,308,348,90,"1,147",336,445,439,392,"2,022",329,"1,247","1,337","1,576",502
2020년11월_남_10~19세,"13,992",250,447,323,383,226,512,592,209,457,509,146,"1,180",499,484,676,508,"1,943",359,"1,338","1,537",745,669
2020년11월_남_20~29세,"22,367",503,532,533,978,458,837,904,590,992,961,406,"1,240","1,102","1,194","1,305","1,016","2,855",814,"1,118","2,074",934,"1,021"
2020년11월_남_30~39세,"23,207",400,714,786,836,312,824,772,600,827,852,273,"1,376",898,"1,074",957,938,"2,955",785,"1,529","2,187","2,364",948
2020년11월_남_40~49세,"26,568",535,963,676,975,440,986,948,562,895,"1,042",290,"2,004",981,"1,102","1,171","1,066","3,515",780,"2,060","2,476","1,865","1,236"
2020년11월_남_50~59세,"27,699",705,715,735,"1,316",562,"1,038","1,088",686,"1,276","1,144",367,"1,633","1,415","1,416","1,641","1,420","3,408","1,072","1,451","2,239",768,"1,604"
2020년11월_남_60~69세,"23,834",664,604,654,"1,108",566,909,797,553,"1,200","1,104",364,"1,296","1,329","1,328","1,490","1,332","2,902",904,882,"1,678",701,"1,469"
2020년11월_남_70~79세,"13,134",438,392,388,579,342,585,406,334,755,631,201,626,673,687,829,751,"1,380",495,560,843,287,952
2020년11월_남_80~89세,"4,612",186,154,153,195,124,250,177,125,287,229,83,196,194,236,303,242,423,188,196,248,69,354
2020년11월_남_90~99세,322,11,14,7,17,5,18,12,6,16,25,3,17,14,14,20,14,30,14,14,23,6,22
2020년11월_남_100세 이상,37,0,4,0,4,2,2,4,2,2,3,0,0,1,0,0,1,2,2,0,4,0,4
2020년11월_여_총인구수,"173,720","3,864","5,634","4,814","6,444","3,430","6,920","6,314","3,760","7,181","7,367","1,966","11,096","7,522","7,909","9,462","7,601","22,257","5,605","11,005","14,926","9,522","9,121"
2020년11월_여_연령구간인구수,"173,720","3,864","5,634","4,814","6,444","3,430","6,920","6,314","3,760","7,181","7,367","1,966","11,096","7,522","7,909","9,462","7,601","22,257","5,605","11,005","14,926","9,522","9,121"
2020년11월_여_0~9세,"12,432",133,511,391,206,114,387,433,78,237,363,105,"1,166",352,407,446,371,"1,840",329,"1,252","1,258","1,523",530
2020년11월_여_10~19세,"12,660",200,383,297,323,182,411,443,160,401,501,109,"1,132",442,448,611,421,"1,762",306,"1,349","1,444",720,615
2020년11월_여_20~29세,"19,403",383,474,546,896,339,710,757,696,833,832,215,"1,035",903,966,"1,078",866,"2,467",637,"1,075","1,798","1,075",822
2020년11월_여_30~39세,"20,854",280,754,678,642,258,738,776,444,617,726,184,"1,515",676,841,817,697,"2,832",626,"1,624","2,035","2,249",845
2020년11월_여_40~49세,"24,977",447,891,637,768,422,942,"1,002",446,844,993,209,"1,979",853,949,"1,141",889,"3,364",677,"2,175","2,480","1,624","1,245"
2020년11월_여_50~59세,"29,421",649,832,765,"1,273",676,"1,189","1,121",612,"1,301","1,266",368,"1,685","1,548","1,557","1,920","1,388","3,678","1,130","1,406","2,430",957,"1,670"
