,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년05월_계_총인구수,"655,607","338,482","7,802","4,371","12,873","5,034","6,601","8,945","15,000","19,806","39,722","13,160","45,737","12,271","13,997","22,790","11,426","10,649","15,275","35,853","37,170","317,125","14,696","18,867","11,661","32,079","20,186","7,668","10,203","7,895","9,930","14,818","20,856","60,719","26,705","12,361","30,601","17,880",0
2020년05월_계_연령구간인구수,"655,607","338,482","7,802","4,371","12,873","5,034","6,601","8,945","15,000","19,806","39,722","13,160","45,737","12,271","13,997","22,790","11,426","10,649","15,275","35,853","37,170","317,125","14,696","18,867","11,661","32,079","20,186","7,668","10,203","7,895","9,930","14,818","20,856","60,719","26,705","12,361","30,601","17,880",0
2020년05월_계_0~9세,"55,268","25,100",340,114,641,191,328,355,"1,042","1,487","3,179",657,"4,135",803,725,"1,664",688,566,"1,077","3,850","3,258","30,168",698,"1,548",593,"2,800","2,114",219,491,348,701,931,"1,621","8,246","2,232",875,"3,797","2,954",0
2020년05월_계_10~19세,"73,030","37,037",489,202,866,370,485,707,"1,330","2,736","5,007",910,"5,470","1,198","1,346","2,734",979,991,"1,645","4,660","4,912","35,993","1,141","2,470",793,"4,217","1,632",409,686,561,803,"1,348","2,652","8,626","3,203","1,035","3,157","3,260",0
2020년05월_계_20~29세,"92,289","49,133",952,405,"1,462",523,723,"1,039","2,390","3,183","6,109","1,434","5,826","1,757","2,159","3,188","1,520","1,566","2,170","5,725","7,002","43,156","1,764","2,402","1,600","4,640","3,121","2,143","1,577",869,"1,372","2,038","2,803","7,795","3,999","1,553","3,891","1,589",0
2020년05월_계_30~39세,"82,442","40,026",802,415,"1,400",438,596,793,"1,747","2,383","4,876","1,387","5,327","1,283","1,370","2,251","1,213","1,124","1,747","4,764","6,110","42,416","1,355","1,974","1,361","4,039","3,436",943,"1,102",777,"1,300","2,062","2,159","9,480","3,035","1,704","5,282","2,407",0
2020년05월_계_40~49세,"107,814","54,083",962,551,"1,730",721,831,"1,242","2,020","3,609","6,913","1,813","7,570","1,789","1,863","3,673","1,606","1,487","2,242","6,302","7,159","53,731","1,912","3,209","1,535","6,155","3,085",887,"1,312","1,145","1,469","2,535","3,278","11,744","4,231","1,845","5,170","4,219",0
2020년05월_계_50~59세,"105,932","57,059","1,353",734,"2,107",828,"1,100","1,603","2,618","3,283","6,835","2,393","7,538","2,329","2,721","4,317","1,882","1,881","2,608","5,537","5,392","48,873","2,445","2,883","1,935","4,979","2,783","1,127","1,648","1,505","1,691","2,651","3,654","8,225","4,672","2,155","4,452","2,068",0
2020년05월_계_60~69세,"73,990","40,769","1,408",878,"2,175",864,"1,253","1,594","2,124","1,833","3,673","2,201","5,602","1,722","2,236","2,695","1,783","1,641","2,035","3,091","1,961","33,221","2,321","2,220","1,877","2,703","2,062",937,"1,639","1,376","1,458","1,772","2,673","3,916","2,977","1,640","2,785",865,0
2020년05월_계_70~79세,"42,825","23,175",971,687,"1,566",712,825,"1,104","1,131",857,"2,046","1,527","2,833",937,"1,104","1,393","1,204",986,"1,126","1,252",914,"19,650","1,979","1,506","1,355","1,716","1,312",664,"1,223",920,748,943,"1,300","1,769","1,559",954,"1,363",339,0
2020년05월_계_80~89세,"19,193","10,500",461,319,795,340,404,452,531,372,970,727,"1,258",388,414,749,480,349,533,556,402,"8,693",955,574,551,739,546,300,477,348,338,470,635,781,691,529,611,148,0
2020년05월_계_90~99세,"2,662","1,520",55,61,116,46,53,50,64,60,110,109,171,62,58,124,68,55,91,112,55,"1,142",117,72,55,86,77,38,47,41,48,66,77,134,105,63,85,31,0
2020년05월_계_100세 이상,162,80,9,5,15,1,3,6,3,3,4,2,7,3,1,2,3,3,1,4,5,82,9,9,6,5,18,1,1,5,2,2,4,3,1,8,8,0,0
2020년05월_남_총인구수,"322,832","164,941","3,927","2,180","6,260","2,507","3,274","4,349","7,239","9,854","19,386","6,320","22,155","5,987","6,740","11,084","5,491","5,087","7,233","17,391","18,477","157,891","7,217","9,114","5,843","15,708","10,212","4,096","5,042","4,280","5,006","7,645","10,048","30,152","13,059","6,330","15,439","8,700",0
2020년05월_남_연령구간인구수,"322,832","164,941","3,927","2,180","6,260","2,507","3,274","4,349","7,239","9,854","19,386","6,320","22,155","5,987","6,740","11,084","5,491","5,087","7,233","17,391","18,477","157,891","7,217","9,114","5,843","15,708","10,212","4,096","5,042","4,280","5,006","7,645","10,048","30,152","13,059","6,330","15,439","8,700",0
2020년05월_남_0~9세,"28,320","12,952",187,60,332,105,169,190,560,739,"1,634",364,"2,131",413,361,830,364,293,562,"2,014","1,644","15,368",366,747,302,"1,400","1,079",104,264,185,340,463,809,"4,241","1,132",443,"1,991","1,502",0
2020년05월_남_10~19세,"37,730","19,201",242,112,465,201,264,357,714,"1,417","2,540",478,"2,815",628,659,"1,454",530,501,834,"2,440","2,550","18,529",618,"1,291",410,"2,145",854,197,351,290,410,678,"1,315","4,445","1,669",555,"1,624","1,677",0
2020년05월_남_20~29세,"48,541","25,553",525,201,763,269,369,558,"1,189","1,661","3,175",763,"3,076",945,"1,173","1,766",815,813,"1,140","2,856","3,496","22,988",934,"1,273",836,"2,407","1,699","1,218",829,510,727,"1,067","1,554","4,136","2,050",858,"2,042",848,0
2020년05월_남_30~39세,"41,601","20,275",439,249,730,249,323,437,883,"1,222","2,429",769,"2,615",665,718,"1,100",601,581,868,"2,306","3,091","21,326",742,946,763,"1,992","1,761",555,610,484,713,"1,124","1,037","4,509","1,515",917,"2,688",970,0
2020년05월_남_40~49세,"52,810","25,870",521,336,910,397,448,675,932,"1,685","3,209",949,"3,578",845,864,"1,669",806,713,"1,050","2,920","3,363","26,940","1,002","1,523",829,"2,941","1,687",542,717,719,776,"1,331","1,528","5,677","1,989","1,004","2,644","2,031",0
2020년05월_남_50~59세,"52,000","27,450",678,377,"1,030",448,557,790,"1,197","1,650","3,345","1,147","3,580","1,100","1,210","2,063",857,859,"1,118","2,621","2,823","24,550","1,208","1,392",982,"2,525","1,350",597,805,831,822,"1,457","1,751","4,156","2,267","1,126","2,223","1,058",0
2020년05월_남_60~69세,"35,298","19,292",659,412,986,421,616,695,"1,009",919,"1,759","1,012","2,650",824,"1,075","1,333",819,729,923,"1,497",954,"16,006","1,088","1,003",853,"1,283",956,452,704,714,710,903,"1,279","1,940","1,468",839,"1,396",418,0
2020년05월_남_70~79세,"19,032","10,318",473,295,705,296,376,491,525,410,893,595,"1,257",424,536,607,505,455,514,549,412,"8,714",816,696,609,746,595,286,550,415,361,434,546,770,716,415,607,152,0
2020년05월_남_80~89세,"6,853","3,671",187,124,308,110,142,148,208,136,368,219,413,130,134,230,180,128,204,165,137,"3,182",401,230,246,249,207,133,198,121,132,172,214,249,232,159,204,35,0
2020년05월_남_90~99세,617,343,15,11,29,11,9,6,21,15,34,23,40,11,10,32,13,15,20,22,6,274,40,13,13,19,20,11,14,10,14,15,14,28,21,14,19,9,0
2020년05월_남_100세 이상,30,16,1,3,2,0,1,2,1,0,0,1,0,2,0,0,1,0,0,1,1,14,2,0,0,1,4,1,0,1,1,1,1,1,0,0,1,0,0
2020년05월_여_총인구수,"332,775","173,541","3,875","2,191","6,613","2,527","3,327","4,596","7,761","9,952","20,336","6,840","23,582","6,284","7,257","11,706","5,935","5,562","8,042","18,462","18,693","159,234","7,479","9,753","5,818","16,371","9,974","3,572","5,161","3,615","4,924","7,173","10,808","30,567","13,646","6,031","15,162","9,180",0
2020년05월_여_연령구간인구수,"332,775","173,541","3,875","2,191","6,613","2,527","3,327","4,596","7,761","9,952","20,336","6,840","23,582","6,284","7,257","11,706","5,935","5,562","8,042","18,462","18,693","159,234","7,479","9,753","5,818","16,371","9,974","3,572","5,161","3,615","4,924","7,173","10,808","30,567","13,646","6,031","15,162","9,180",0
2020년05월_여_0~9세,"26,948","12,148",153,54,309,86,159,165,482,748,"1,545",293,"2,004",390,364,834,324,273,515,"1,836","1,614","14,800",332,801,291,"1,400","1,035",115,227,163,361,468,812,"4,005","1,100",432,"1,806","1,452",0
2020년05월_여_10~19세,"35,300","17,836",247,90,401,169,221,350,616,"1,319","2,467",432,"2,655",570,687,"1,280",449,490,811,"2,220","2,362","17,464",523,"1,179",383,"2,072",778,212,335,271,393,670,"1,337","4,181","1,534",480,"1,533","1,583",0
2020년05월_여_20~29세,"43,748","23,580",427,204,699,254,354,481,"1,201","1,522","2,934",671,"2,750",812,986,"1,422",705,753,"1,030","2,869","3,506","20,168",830,"1,129",764,"2,233","1,422",925,748,359,645,971,"1,249","3,659","1,949",695,"1,849",741,0
2020년05월_여_30~39세,"40,841","19,751",363,166,670,189,273,356,864,"1,161","2,447",618,"2,712",618,652,"1,151",612,543,879,"2,458","3,019","21,090",613,"1,028",598,"2,047","1,675",388,492,293,587,938,"1,122","4,971","1,520",787,"2,594","1,437",0
2020년05월_여_40~49세,"55,004","28,213",441,215,820,324,383,567,"1,088","1,924","3,704",864,"3,992",944,999,"2,004",800,774,"1,192","3,382","3,796","26,791",910,"1,686",706,"3,214","1,398",345,595,426,693,"1,204","1,750","6,067","2,242",841,"2,526","2,188",0
2020년05월_여_50~59세,"53,932","29,609",675,357,"1,077",380,543,813,"1,421","1,633","3,490","1,246","3,958","1,229","1,511","2,254","1,025","1,022","1,490","2,916","2,569","24,323","1,237","1,491",953,"2,454","1,433",530,843,674,869,"1,194","1,903","4,069","2,405","1,029","2,229","1,010",0
2020년05월_여_60~69세,"38,692","21,477",749,466,"1,189",443,637,899,"1,115",914,"1,914","1,189","2,952",898,"1,161","1,362",964,912,"1,112","1,594","1,007","17,215","1,233","1,217","1,024","1,420","1,106",485,935,662,748,869,"1,394","1,976","1,509",801,"1,389",447,0
2020년05월_여_70~79세,"23,793","12,857",498,392,861,416,449,613,606,447,"1,153",932,"1,576",513,568,786,699,531,612,703,502,"10,936","1,163",810,746,970,717,378,673,505,387,509,754,999,843,539,756,187,0
2020년05월_여_80~89세,"12,340","6,829",274,195,487,230,262,304,323,236,602,508,845,258,280,519,300,221,329,391,265,"5,511",554,344,305,490,339,167,279,227,206,298,421,532,459,370,407,113,0
2020년05월_여_90~99세,"2,045","1,177",40,50,87,35,44,44,43,45,76,86,131,51,48,92,55,40,71,90,49,868,77,59,42,67,57,27,33,31,34,51,63,106,84,49,66,22,0
2020년05월_여_100세 이상,132,64,8,2,13,1,2,4,2,3,4,1,7,1,1,2,2,3,1,3,4,68,7,9,6,4,14,0,1,4,1,1,3,2,1,8,7,0,0
