,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년06월_계_총인구수,"565,378","24,514","15,301","8,871","28,170","14,725","17,712","32,045","29,749","23,873","16,853","31,972","21,926","44,089","16,771","77,316","40,022","20,885","11,628","36,895","19,902","18,768","13,391"
2020년06월_계_연령구간인구수,"565,378","24,514","15,301","8,871","28,170","14,725","17,712","32,045","29,749","23,873","16,853","31,972","21,926","44,089","16,771","77,316","40,022","20,885","11,628","36,895","19,902","18,768","13,391"
2020년06월_계_0~9세,"42,006","1,806",642,415,"2,211",722,"1,387","2,147","1,944","1,415",925,"1,488","2,119","5,343",645,"9,239","3,116","1,213",402,"2,455",892,793,687
2020년06월_계_10~19세,"56,915","2,070",772,614,"2,400","1,055","1,759","3,737","3,070","2,635","1,463","2,588","2,129","8,353","1,219","8,461","4,975","1,565",608,"3,765","1,377","1,313",987
2020년06월_계_20~29세,"80,365","3,021","2,440","1,330","4,347","2,428","2,518","5,131","4,809","4,171","2,578","6,626","2,715","4,216","1,886","9,294","5,493","3,629","1,308","5,187","2,927","2,572","1,739"
2020년06월_계_30~39세,"68,579","2,956","1,955",998,"3,922","1,818","2,338","3,478","3,409","2,535","2,154","3,671","3,011","4,811","1,358","11,848","4,284","2,929","1,175","4,020","2,343","2,001","1,565"
2020년06월_계_40~49세,"91,267","3,703","1,972","1,184","4,245","2,099","2,830","5,419","4,788","3,870","2,445","4,768","3,937","10,797","2,358","13,687","6,594","2,695","1,286","5,352","2,769","2,473","1,996"
2020년06월_계_50~59세,"104,991","4,277","2,739","1,571","5,268","3,018","3,388","6,691","6,536","5,279","3,603","6,500","3,930","5,822","3,129","11,909","7,443","3,954","2,332","7,501","3,879","3,553","2,669"
2020년06월_계_60~69세,"71,393","3,794","2,525","1,403","3,598","2,208","2,132","3,310","3,201","2,399","2,442","3,565","2,624","2,837","3,108","7,780","4,901","3,011","2,549","5,325","3,206","3,320","2,155"
2020년06월_계_70~79세,"33,827","2,024","1,564",900,"1,586",962,974,"1,483","1,357","1,036",868,"1,831","1,035","1,283","2,065","3,498","2,082","1,284","1,288","2,151","1,711","1,803","1,042"
2020년06월_계_80~89세,"14,306",771,619,406,524,379,344,593,571,487,334,838,375,549,904,"1,425","1,003",535,600,"1,024",718,825,482
2020년06월_계_90~99세,"1,645",84,67,45,67,34,39,54,62,46,41,96,48,70,93,158,126,66,80,115,77,108,69
2020년06월_계_100세 이상,84,8,6,5,2,2,3,2,2,0,0,1,3,8,6,17,5,4,0,0,3,7,0
2020년06월_남_총인구수,"279,227","11,978","7,453","4,287","13,813","7,299","8,759","16,053","14,992","12,009","8,539","16,408","10,857","21,586","8,076","38,091","19,597","10,345","5,613","17,941","9,863","9,017","6,651"
2020년06월_남_연령구간인구수,"279,227","11,978","7,453","4,287","13,813","7,299","8,759","16,053","14,992","12,009","8,539","16,408","10,857","21,586","8,076","38,091","19,597","10,345","5,613","17,941","9,863","9,017","6,651"
2020년06월_남_0~9세,"21,509",880,330,220,"1,100",355,733,"1,117","1,036",723,479,784,"1,046","2,715",360,"4,726","1,576",632,207,"1,266",480,398,346
2020년06월_남_10~19세,"29,552",996,393,311,"1,246",568,900,"1,987","1,622","1,352",767,"1,303",996,"4,228",638,"4,480","2,740",832,332,"1,962",720,657,522
2020년06월_남_20~29세,"42,978","1,527","1,142",683,"2,177","1,268","1,349","2,740","2,612","2,296","1,413","3,647","1,481","2,295","1,048","4,932","3,006","1,910",748,"2,800","1,543","1,372",989
2020년06월_남_30~39세,"35,539","1,516","1,026",505,"2,040","1,017","1,211","1,810","1,838","1,353","1,207","2,134","1,534","2,110",739,"5,746","2,122","1,651",676,"2,058","1,290","1,095",861
2020년06월_남_40~49세,"44,164","1,932","1,086",608,"2,058","1,021","1,346","2,484","2,217","1,778","1,201","2,441","1,974","5,012","1,226","6,705","2,926","1,314",663,"2,458","1,433","1,245","1,036"
2020년06월_남_50~59세,"50,795","2,133","1,374",748,"2,517","1,422","1,623","3,360","3,197","2,624","1,682","3,281","1,908","3,135","1,556","5,660","3,502","1,802","1,044","3,454","1,839","1,652","1,282"
2020년06월_남_60~69세,"34,523","1,796","1,179",656,"1,720","1,096","1,047","1,647","1,672","1,250","1,271","1,774","1,273","1,326","1,421","3,724","2,400","1,452","1,187","2,614","1,495","1,520","1,003"
