카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년12월_계_총인구수,"253,502","5,501","25,017","9,502","20,431","4,327","6,322","4,712","3,268","3,219","21,947","6,323","5,730","5,308","6,567","14,047","4,779","14,914","5,925","22,521","28,837","22,753","9,771","1,781"
2020년12월_계_연령구간인구수,"253,502","5,501","25,017","9,502","20,431","4,327","6,322","4,712","3,268","3,219","21,947","6,323","5,730","5,308","6,567","14,047","4,779","14,914","5,925","22,521","28,837","22,753","9,771","1,781"
2020년12월_계_0~9세,"16,196",146,"1,190",346,"1,189",228,285,95,52,59,"2,452",195,282,211,172,443,91,"1,205",357,"2,739","2,494","1,260",652,53
2020년12월_계_10~19세,"20,836",213,"2,063",502,"1,117",189,334,199,91,123,"2,428",335,331,323,327,841,202,"1,692",343,"2,494","3,738","2,266",592,93
2020년12월_계_20~29세,"26,921",375,"2,383",729,"2,029",445,606,278,138,188,"2,349",501,544,550,645,"2,062",348,"1,924",488,"2,532","3,754","3,022",856,175
2020년12월_계_30~39세,"25,460",341,"1,798",672,"2,361",480,511,262,135,152,"3,077",388,601,514,551,"1,288",298,"1,494",530,"3,112","3,222","2,382","1,157",134
2020년12월_계_40~49세,"36,687",611,"3,356","1,043","2,772",387,716,401,201,307,"3,828",734,700,645,744,"1,823",501,"2,579",754,"4,078","5,314","3,681","1,302",210
2020년12월_계_50~59세,"46,852","1,024","5,051","1,727","4,137",662,"1,322",885,585,562,"3,569","1,291","1,047",883,"1,176","2,402",853,"2,776","1,037","3,842","5,441","4,499","1,756",325
2020년12월_계_60~69세,"41,169","1,251","4,422","2,053","3,635",829,"1,325","1,140",983,757,"2,398","1,328","1,080","1,056","1,452","2,677","1,079","1,773","1,147","2,270","2,997","3,382","1,747",388
2020년12월_계_70~79세,"24,523",946,"2,940","1,470","1,931",615,743,816,648,665,"1,144",906,720,753,989,"1,773",827,927,778,911,"1,179","1,535","1,047",260
2020년12월_계_80~89세,"13,012",517,"1,623",843,"1,096",426,399,572,384,362,619,559,380,332,433,651,512,478,424,465,607,647,564,119
2020년12월_계_90~99세,"1,754",74,178,109,156,63,78,61,50,42,83,84,44,33,67,85,60,65,66,74,89,78,93,22
2020년12월_계_100세 이상,92,3,13,8,8,3,3,3,1,2,0,2,1,8,11,2,8,1,1,4,2,1,5,2
2020년12월_남_총인구수,"126,911","2,744","12,415","4,823","10,819","2,262","3,361","2,368","1,620","1,607","10,822","3,215","2,981","2,634","3,171","6,964","2,367","7,487","2,908","11,124","14,160","11,370","4,803",886
2020년12월_남_연령구간인구수,"126,911","2,744","12,415","4,823","10,819","2,262","3,361","2,368","1,620","1,607","10,822","3,215","2,981","2,634","3,171","6,964","2,367","7,487","2,908","11,124","14,160","11,370","4,803",886
2020년12월_남_0~9세,"8,296",79,622,184,602,120,149,50,30,27,"1,275",89,139,106,76,248,46,616,175,"1,391","1,263",651,331,27
2020년12월_남_10~19세,"10,892",109,"1,050",277,595,119,173,106,48,86,"1,223",173,166,179,178,435,97,904,192,"1,257","1,986","1,192",305,42
2020년12월_남_20~29세,"15,192",231,"1,370",458,"1,184",281,406,162,82,116,"1,253",288,315,311,350,"1,168",207,"1,069",287,"1,411","2,033","1,683",443,84
2020년12월_남_30~39세,"13,588",201,958,396,"1,395",287,302,166,69,84,"1,532",228,334,284,319,757,176,775,259,"1,521","1,552","1,293",620,80
2020년12월_남_40~49세,"19,117",384,"1,758",616,"1,649",253,429,236,116,185,"1,875",428,403,361,413,990,288,"1,253",407,"2,011","2,446","1,805",696,115
2020년12월_남_50~59세,"24,216",566,"2,613",925,"2,256",383,742,502,306,324,"1,791",720,576,451,613,"1,180",480,"1,416",543,"1,867","2,684","2,191",915,172
2020년12월_남_60~69세,"20,281",612,"2,188","1,010","1,904",429,665,594,515,363,"1,165",696,565,475,649,"1,165",542,869,544,"1,141","1,514","1,634",839,203
2020년12월_남_70~79세,"10,872",379,"1,309",645,895,264,349,371,311,289,516,411,346,339,403,762,349,407,352,390,509,689,467,120
2020년12월_남_80~89세,"4,094",168,511,290,305,117,132,165,135,126,184,158,125,121,152,243,165,164,135,119,161,212,171,35
2020년12월_남_90~99세,341,14,34,21,30,8,14,15,8,6,8,24,12,5,15,15,14,14,14,16,12,19,16,7
2020년12월_남_100세 이상,22,1,2,1,4,1,0,1,0,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1
2020년12월_여_총인구수,"126,591","2,757","12,602","4,679","9,612","2,065","2,961","2,344","1,648","1,612","11,125","3,108","2,749","2,674","3,396","7,083","2,412","7,427","3,017","11,397","14,677","11,383","4,968",895
